trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
int_11_trace,Baseline,4.2059,6.1095%,3.6219,16565909
int_10_trace,Baseline,0.5363,0.4576%,6.2024,9673683
infra_7_trace,Baseline,1.4983,0.8923%,1.8298,21860677
infra_6_trace,Baseline,1.2642,0.8905%,4.2029,15398661
compress_3_trace,Baseline,8.2499,6.8299%,2.174,59797903
compress_2_trace,Baseline,1.4826,1.3314%,4.8703,6640048
web_21_trace,Baseline,1.7274,0.9909%,2.5087,5979248
web_20_trace,Baseline,4.218,2.6471%,1.8828,10622365
int_5_trace,Baseline,2.855,3.3392%,4.5103,6651431
int_4_trace,Baseline,4.1379,3.2311%,4.3386,13829330
web_15_trace,Baseline,6.1054,3.7980%,1.8357,8171185
web_14_trace,Baseline,3.6627,2.3182%,3.5309,19825074
web_0_trace,Baseline,1.3961,0.4691%,2.0176,19824864
web_1_trace,Baseline,3.5186,2.5519%,3.2816,12188839
int_25_trace,Baseline,1.3243,1.9148%,5.2067,7682478
int_24_trace,Baseline,0.5662,0.2701%,2.7443,14575551
fp_9_trace,Baseline,4.5518,3.6322%,2.3941,16707684
fp_8_trace,Baseline,7.8738,13.5631%,3.0273,13212988
fp_3_trace,Baseline,2.0315,3.9575%,2.3448,12794203
fp_2_trace,Baseline,2.5615,3.1089%,4.8269,6215210
int_32_trace,Baseline,6.9551,6.0546%,1.2745,86305978
int_33_trace,Baseline,7.9877,5.4702%,2.0288,54219198
fp_4_trace,Baseline,0.5736,0.6687%,4.5872,6539941
fp_5_trace,Baseline,0.9364,5.0589%,5.2855,7567836
int_35_trace,Baseline,2.4647,1.7382%,3.4767,11505122
int_34_trace,Baseline,3.0703,1.9249%,3.5795,11174604
web_18_trace,Baseline,2.8461,2.3029%,3.7811,3967093
web_19_trace,Baseline,6.0075,3.5173%,1.5451,9708057
fp_13_trace,Baseline,12.6898,7.8644%,2.6157,15292133
fp_12_trace,Baseline,1.2157,1.1001%,4.9286,8115976
int_16_trace,Baseline,8.1253,4.8267%,2.105,19002465
int_17_trace,Baseline,6.3949,3.8408%,2.4057,16627232
infra_0_trace,Baseline,1.2832,0.9984%,4.5201,8849295
infra_1_trace,Baseline,0.3574,0.3114%,4.6162,8188465
compress_4_trace,Baseline,1.8228,1.6245%,4.736,6579572
compress_5_trace,Baseline,1.9322,1.6792%,4.8355,6992420
int_28_trace,Baseline,3.6745,3.6688%,4.7283,8459793
int_29_trace,Baseline,12.4572,12.3069%,2.5082,15947770
int_2_trace,Baseline,10.9652,6.1300%,1.5895,18874188
int_3_trace,Baseline,0.8818,0.7468%,5.6607,7066304
web_12_trace,Baseline,4.4363,2.9519%,1.6057,9341910
web_13_trace,Baseline,3.3938,2.8202%,2.3259,17197650
web_7_trace,Baseline,7.7526,4.6745%,3.8279,10449578
web_6_trace,Baseline,4.8893,3.2581%,3.0317,13193899
media_3_trace,Baseline,1.3813,2.4439%,5.6766,3523269
media_2_trace,Baseline,0.5317,1.5587%,6.4394,3105888
infra_11_trace,Baseline,1.0885,0.7018%,2.7221,18368522
int_8_trace,Baseline,7.1931,5.0665%,2.4495,16330173
infra_10_trace,Baseline,5.3543,4.0884%,2.7142,18421599
int_9_trace,Baseline,4.8555,3.3481%,2.7893,14340761
int_22_trace,Baseline,5.3965,3.2353%,1.7294,23128965
int_23_trace,Baseline,3.4824,2.6139%,2.1613,18507313
fp_0_trace,Baseline,3.227,5.9765%,4.4074,6806762
fp_1_trace,Baseline,15.5816,7.8552%,0.9861,30423720
int_31_trace,Baseline,0.8411,0.7048%,8.5144,4697945
int_30_trace,Baseline,12.9427,12.2684%,2.4538,16300972
web_16_trace,Baseline,1.8538,2.4946%,1.994,10030330
web_17_trace,Baseline,1.7267,1.1691%,2.4182,6203005
int_18_trace,Baseline,0.8474,0.3584%,3.6986,10814890
int_19_trace,Baseline,0.8482,0.5797%,4.9863,8021952
infra_15_trace,Baseline,8.4547,6.0760%,1.454,34389055
infra_14_trace,Baseline,5.4033,4.1332%,2.7868,17941983
web_3_trace,Baseline,3.979,2.6445%,3.2353,12363767
web_2_trace,Baseline,4.166,2.8520%,3.2887,12162743
int_26_trace,Baseline,1.3377,2.5115%,5.868,6816682
int_27_trace,Baseline,0.8728,1.8459%,6.2755,6374047
int_12_trace,Baseline,0.4566,0.4310%,3.2512,18454516
int_13_trace,Baseline,0.9248,0.8716%,6.4124,6237898
infra_4_trace,Baseline,2.479,1.6560%,1.6698,23955251
infra_5_trace,Baseline,2.2119,1.2173%,1.1596,34494956
compress_0_trace,Baseline,3.2681,3.3382%,4.709,25483005
compress_1_trace,Baseline,1.6834,1.5631%,4.6962,6554021
web_22_trace,Baseline,3.3895,2.8043%,3.3212,6022013
web_23_trace,Baseline,1.1539,0.7023%,3.1548,6339599
web_9_trace,Baseline,2.9326,1.6873%,2.8064,14253065
web_8_trace,Baseline,5.1087,3.2903%,2.8338,14115315
int_6_trace,Baseline,2.9584,2.8446%,3.9401,7614002
int_7_trace,Baseline,5.7589,3.8754%,2.7131,14743504
infra_9_trace,Baseline,4.5907,3.1866%,1.7178,29107563
infra_8_trace,Baseline,1.2568,0.6738%,1.6282,24567609
web_11_trace,Baseline,5.7895,4.1616%,0.8555,11690760
web_10_trace,Baseline,3.366,2.5675%,1.7771,11254432
web_4_trace,Baseline,4.4385,2.8337%,2.9772,13435257
web_5_trace,Baseline,4.7119,3.0409%,3.1982,12506945
media_0_trace,Baseline,1.1764,2.0913%,5.9117,3383121
media_1_trace,Baseline,1.159,2.2031%,5.5872,3579648
infra_12_trace,Baseline,1.0706,0.6808%,2.8465,17565210
infra_13_trace,Baseline,4.2404,3.2456%,2.4332,20549472
int_21_trace,Baseline,24.1502,10.6633%,0.8614,46437161
int_20_trace,Baseline,2.7912,1.7515%,3.4631,17325628
int_15_trace,Baseline,0.4788,0.3646%,3.7827,18505236
int_14_trace,Baseline,0.3966,0.2078%,5.7221,6990422
infra_3_trace,Baseline,1.0632,0.7828%,4.958,8067704
infra_2_trace,Baseline,0.4838,0.3953%,4.4709,10634682
fp_10_trace,Baseline,2.1174,2.4252%,5.7916,6906521
fp_11_trace,Baseline,0.6989,0.7927%,5.2504,7618526
web_25_trace,Baseline,6.3793,3.7545%,2.0175,7434913
web_24_trace,Baseline,2.0456,1.5451%,1.7766,8442950
compress_7_trace,Baseline,2.048,1.7699%,5.4157,24004499
compress_6_trace,Baseline,1.9036,1.6565%,4.8274,7007211
int_1_trace,Baseline,11.6458,6.5906%,1.5926,18836926
int_0_trace,Baseline,5.1327,3.2991%,2.7209,14701131
fp_7_trace,Baseline,1.1277,0.9564%,5.075,7881807
fp_6_trace,Baseline,1.0193,0.5796%,6.8423,5845956
int_36_trace,Baseline,3.9821,2.7605%,1.5109,35582808
compress_3_trace,LVCP,8.1504,6.7475%,2.1877,59421982
compress_2_trace,LVCP,1.4219,1.2768%,4.8909,6612057
compress_4_trace,LVCP,1.7475,1.5574%,4.7629,6542402
compress_5_trace,LVCP,1.8485,1.6064%,4.8642,6951162
compress_0_trace,LVCP,3.1984,3.2670%,4.7351,25342838
compress_1_trace,LVCP,1.612,1.4968%,4.721,6519567
compress_7_trace,LVCP,1.9181,1.6577%,5.4661,23782761
compress_6_trace,LVCP,1.8222,1.5857%,4.8563,6965508
infra_7_trace,LVCP,1.2093,0.7202%,1.8445,21685872
infra_6_trace,LVCP,1.2138,0.8550%,4.2215,15330663
infra_0_trace,LVCP,0.9872,0.7681%,4.5832,8727445
infra_1_trace,LVCP,0.2923,0.2547%,4.6313,8161678
infra_11_trace,LVCP,1.0022,0.6462%,2.7431,18227296
infra_10_trace,LVCP,5.2171,3.9837%,2.7267,18337405
infra_15_trace,LVCP,8.3267,5.9840%,1.4585,34281262
infra_14_trace,LVCP,5.2684,4.0300%,2.8014,17848134
infra_4_trace,LVCP,1.8311,1.2232%,1.7587,22743797
infra_5_trace,LVCP,2.0907,1.1506%,1.1612,34447204
infra_9_trace,LVCP,4.5513,3.1592%,1.7129,29189694
infra_8_trace,LVCP,1.2484,0.6694%,1.6267,24589950
infra_12_trace,LVCP,0.9932,0.6317%,2.8674,17437142
infra_13_trace,LVCP,4.0586,3.1065%,2.4587,20335754
infra_3_trace,LVCP,0.8049,0.5926%,5.0246,7960804
infra_2_trace,LVCP,0.4288,0.3504%,4.4869,10596886
web_21_trace,LVCP,1.5863,0.9099%,2.5325,5923041
web_20_trace,LVCP,3.2987,2.0702%,1.9477,10268737
web_15_trace,LVCP,5.1507,3.2041%,1.8968,7907999
web_14_trace,LVCP,3.4933,2.2110%,3.5618,19653185
web_0_trace,LVCP,1.3157,0.4421%,2.0618,19400668
web_1_trace,LVCP,3.1357,2.2742%,3.3614,11899402
web_18_trace,LVCP,2.7595,2.2328%,3.8234,3923200
web_19_trace,LVCP,5.1496,3.0150%,1.5873,9449913
web_12_trace,LVCP,3.9974,2.6598%,1.6316,9193638
web_13_trace,LVCP,2.9187,2.4254%,2.3769,16828627
web_7_trace,LVCP,6.1216,3.6910%,4.258,9394116
web_6_trace,LVCP,4.6256,3.0824%,3.0768,13000535
web_16_trace,LVCP,1.6099,2.1664%,2.0161,9920361
web_17_trace,LVCP,1.4879,1.0074%,2.4515,6118746
web_3_trace,LVCP,3.6024,2.3943%,3.3046,12104151
web_2_trace,LVCP,3.8193,2.6147%,3.3592,11907395
web_22_trace,LVCP,3.2715,2.7067%,3.3645,5944494
web_23_trace,LVCP,1.0186,0.6200%,3.1836,6282188
web_9_trace,LVCP,2.5072,1.4426%,2.8661,13955985
web_8_trace,LVCP,4.6254,2.9790%,2.8994,13796132
web_11_trace,LVCP,4.7179,3.3913%,0.8712,11479583
web_10_trace,LVCP,2.8788,2.1959%,1.809,11055820
web_4_trace,LVCP,4.0909,2.6118%,3.0365,13173178
web_5_trace,LVCP,4.32,2.7879%,3.2687,12237196
web_25_trace,LVCP,5.8123,3.4208%,2.0631,7270438
web_24_trace,LVCP,1.7205,1.2995%,1.7994,8336077
fp_9_trace,LVCP,4.1005,3.2721%,2.4793,16133360
fp_8_trace,LVCP,6.6877,11.5199%,3.2904,12156556
fp_3_trace,LVCP,2.0291,3.9529%,2.356,12733259
fp_2_trace,LVCP,2.5381,3.0805%,4.8431,6194365
fp_4_trace,LVCP,0.5457,0.6362%,4.6287,6481355
fp_5_trace,LVCP,0.9302,5.0253%,5.2848,7568941
