Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_1_trace,108.6102991104126,Pass,430.9936671257019,30778699,6552889,4.6970,3314657,51835,0.5058,0.0079,1.5638%,1.6841,1309966,25.2718,42.5608,15778699,3011366,5.2397,1700956,28952,0.5648,0.0096,1.7021%,1.8349,631657,21.8174,40.0323
compress,compress_4_trace,108.21294689178467,Pass,432.5105028152466,31160801,6579739,4.7359,3496423,56870,0.5314,0.0086,1.6265%,1.8250,1465263,25.7651,47.0226,16160801,3012370,5.3648,1816226,27305,0.6029,0.0091,1.5034%,1.6896,655946,24.0229,40.5887
compress,compress_2_trace,111.43396472930908,Pass,450.57376194000244,32339109,6641474,4.8693,3601347,48013,0.5423,0.0072,1.3332%,1.4847,1250335,26.0416,38.6632,16339109,3023742,5.4036,1821008,26841,0.6022,0.0089,1.4740%,1.6427,609507,22.7081,37.3036
compress,compress_6_trace,111.95520496368408,Pass,470.34946727752686,33826271,7003052,4.8302,3887104,64071,0.5551,0.0091,1.6483%,1.8941,1655408,25.8371,48.9385,17826271,3239531,5.5027,2060235,30071,0.6360,0.0093,1.4596%,1.6869,747731,24.8655,41.9455
compress,compress_5_trace,111.82196044921875,Pass,472.6430778503418,33811883,6992971,4.8351,3890650,65203,0.5564,0.0093,1.6759%,1.9284,1686650,25.8677,49.8834,17811883,3235368,5.5054,2056891,30420,0.6358,0.0094,1.4789%,1.7078,762243,25.0573,42.7941
infra,infra_7_trace,65.31903553009033,Pass,565.7104198932648,40000016,21835503,1.8319,6716982,59867,0.3076,0.0027,0.8913%,1.4967,8200660,136.9813,205.0164,20000016,11198894,1.7859,3345402,16885,0.2987,0.0015,0.5047%,0.8442,3443158,203.9182,172.1578
infra,infra_1_trace,175.13615703582764,Pass,569.5382537841797,37799521,8190751,4.6149,4337669,13536,0.5296,0.0017,0.3121%,0.3581,595157,43.9685,15.7451,19799521,3727780,5.3113,2263258,3755,0.6071,0.0010,0.1659%,0.1897,124596,33.1814,6.2929
infra,infra_0_trace,94.09143447875977,Pass,572.8936359882355,40000016,8846101,4.5218,5140781,51129,0.5811,0.0058,0.9946%,1.2782,1489469,29.1316,37.2367,20000016,4401541,4.5439,2582400,26385,0.5867,0.0060,1.0217%,1.3192,794587,30.1151,39.7293
infra,infra_6_trace,168.09687328338623,Pass,946.4496619701385,64718349,15391167,4.2049,9187928,81639,0.5970,0.0053,0.8885%,1.2615,3160965,38.7188,48.8419,32718349,7741198,4.2265,5004718,39452,0.6465,0.0051,0.7883%,1.2058,1806661,45.7939,55.2186
infra,infra_4_trace,84.87091732025146,Pass,554.9997839927673,40000016,23930276,1.6715,5988066,98346,0.2502,0.0041,1.6424%,2.4586,12252214,124.5827,306.3052,20000016,11978428,1.6697,2971304,49753,0.2481,0.0042,1.6745%,2.4876,6163674,123.8855,308.1835
infra,infra_10_trace,117.67702960968018,Pass,602.3120682239532,50000052,18434741,2.7123,6548159,268450,0.3552,0.0146,4.0996%,5.3690,13156590,49.0095,263.1315,25000052,6374958,3.9216,3150015,120503,0.4941,0.0189,3.8255%,4.8201,4123993,34.2232,164.9594
infra,infra_15_trace,101.22027969360352,Pass,591.8454248905182,50000052,34408352,1.4531,6957507,423955,0.2022,0.0123,6.0935%,8.4791,29884684,70.4902,597.6931,25000052,6419147,3.8946,3466846,147783,0.5401,0.0230,4.2628%,5.9113,4142310,28.0297,165.6921
infra,infra_11_trace,209.36411476135254,Pass,617.8678739070892,50000052,18360550,2.7232,7754708,54195,0.4224,0.0030,0.6989%,1.0839,3970013,73.2542,79.4002,25000052,9226076,2.7097,3881908,25440,0.4208,0.0028,0.6553%,1.0176,2242717,88.1571,89.7085
infra,infra_14_trace,118.4549331665039,Pass,613.86456990242,50000052,17950586,2.7854,6536492,270890,0.3641,0.0151,4.1443%,5.4178,12850549,47.4383,257.0107,25000052,6340505,3.9429,3156210,119607,0.4978,0.0189,3.7896%,4.7843,4095041,34.2375,163.8013
infra,infra_8_trace,54.09443473815918,Pass,562.48402094841,40000016,24566737,1.6282,7460282,50262,0.3037,0.0020,0.6737%,1.2565,15876868,315.8821,396.9215,20000016,12253119,1.6322,3730712,24940,0.3045,0.0020,0.6685%,1.2470,7902133,316.8457,395.1063
infra,infra_5_trace,58.871103286743164,Pass,578.4502787590027,40000016,34494072,1.1596,7268207,88459,0.2107,0.0026,1.2171%,2.2115,26312813,297.4577,657.8201,20000016,22159845,0.9025,3539219,63073,0.1597,0.0028,1.7821%,3.1536,18320925,290.4718,916.0455
infra,infra_9_trace,141.69822597503662,Pass,607.6236772537231,50000052,29198766,1.7124,7203244,229934,0.2467,0.0079,3.1921%,4.5987,19650857,85.4630,393.0167,25000052,17199088,1.4536,3405201,171221,0.1980,0.0100,5.0282%,6.8488,14590489,85.2144,583.6183
web,web_21_trace,37.0328950881958,Pass,183.9291021823883,15000054,5979923,2.5084,2614946,25991,0.4373,0.0043,0.9939%,1.7327,2105969,81.0269,140.3974,8000054,4786620,1.6713,1411368,20960,0.2949,0.0044,1.4851%,2.6200,1912701,91.2548,239.0860
web,web_15_trace,61.94837951660156,Pass,187.84670305252075,14999858,8171327,1.8357,2411251,91103,0.2951,0.0111,3.7782%,6.0736,2606807,28.6138,173.7888,7999858,3404395,2.3499,1229867,43611,0.3613,0.0128,3.5460%,5.4515,1094518,25.0973,136.8172
compress,compress_0_trace,334.9084711074829,Pass,1327.0071477890015,120000052,25490450,4.7076,11747875,392347,0.4609,0.0154,3.3397%,3.2696,13909326,35.4516,115.9110,60000052,11927800,5.0303,5895554,196027,0.4943,0.0164,3.3250%,3.2671,6417254,32.7366,106.9541
web,web_20_trace,91.22524166107178,Pass,247.24860906600952,20000004,10624404,1.8825,3186911,84097,0.3000,0.0079,2.6388%,4.2048,2405888,28.6085,120.2944,10000004,3868432,2.5850,1586755,24961,0.4102,0.0065,1.5731%,2.4961,704702,28.2321,70.4702
compress,compress_3_trace,334.29114055633545,Pass,1423.4355289936066,130000020,59780295,2.1746,15702832,1070028,0.2627,0.0179,6.8142%,8.2310,47840421,44.7095,368.0032,65000020,26388635,2.4632,7896218,501838,0.2992,0.0190,6.3554%,7.7206,20077130,40.0072,308.8788
web,web_18_trace,40.12125015258789,Pass,157.33540105819702,15000059,3956627,3.7911,1853795,42547,0.4685,0.0108,2.2951%,2.8365,2077371,48.8253,138.4909,8000059,1996021,4.0080,994147,21325,0.4981,0.0107,2.1451%,2.6656,1049291,49.2047,131.1604
web,web_19_trace,46.80075454711914,Pass,179.39788603782654,15000016,9708647,1.5450,2562002,90369,0.2639,0.0093,3.5273%,6.0246,2666125,29.5027,177.7415,8000016,4479438,1.7859,1380363,60164,0.3082,0.0134,4.3586%,7.5205,1396369,23.2094,174.5458
web,web_12_trace,61.48514461517334,Pass,181.0822081565857,15000009,9334651,1.6069,2254326,66269,0.2415,0.0071,2.9396%,4.4179,2162780,32.6364,144.1852,8000009,4320948,1.8514,1175254,39889,0.2720,0.0092,3.3941%,4.9861,1193167,29.9122,149.1457
