Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_4_trace,108.21294689178467,Pass,307.2409200668335,31160801,6563668,4.7475,3496423,55927,0.5327,0.0085,1.5995%,1.7948,1446223,25.8591,46.4116,16160801,3004711,5.3785,1816226,26849,0.6045,0.0089,1.4783%,1.6614,647087,24.1010,40.0405
compress,compress_1_trace,108.6102991104126,Pass,309.35113310813904,30778699,6535680,4.7093,3314657,50830,0.5072,0.0078,1.5335%,1.6515,1291655,25.4113,41.9659,15778699,3003732,5.2530,1700956,28469,0.5663,0.0095,1.6737%,1.8043,622372,21.8614,39.4438
compress,compress_2_trace,111.43396472930908,Pass,326.39699697494507,32339109,6626013,4.8806,3601347,47118,0.5435,0.0071,1.3083%,1.4570,1233050,26.1694,38.1288,16339109,3016316,5.4169,1821008,26449,0.6037,0.0088,1.4524%,1.6188,601172,22.7295,36.7934
compress,compress_5_trace,111.82196044921875,Pass,330.78485679626465,33811883,6974016,4.8483,3890650,64176,0.5579,0.0092,1.6495%,1.8980,1663651,25.9233,49.2031,17811883,3227372,5.5190,2056891,29988,0.6373,0.0093,1.4579%,1.6836,752716,25.1006,42.2592
compress,compress_6_trace,111.95520496368408,Pass,334.84234595298767,33826271,6992371,4.8376,3887104,63381,0.5559,0.0091,1.6305%,1.8737,1642846,25.9202,48.5672,17826271,3234891,5.5106,2060235,29852,0.6369,0.0092,1.4490%,1.6746,742899,24.8861,41.6744
infra,infra_1_trace,175.13615703582764,Pass,390.21796584129333,37799521,8180169,4.6209,4337669,12849,0.5303,0.0016,0.2962%,0.3399,577497,44.9449,15.2779,19799521,3726964,5.3125,2263258,3708,0.6073,0.0010,0.1638%,0.1873,123586,33.3296,6.2419
infra,infra_0_trace,94.09143447875977,Pass,401.72140407562256,40000016,8828186,4.5309,5140781,50198,0.5823,0.0057,0.9765%,1.2549,1454963,28.9845,36.3741,20000016,4388568,4.5573,2582400,25814,0.5884,0.0059,0.9996%,1.2907,769323,29.8025,38.4661
infra,infra_7_trace,65.31903553009033,Pass,410.4654972553253,40000016,21719841,1.8416,6716982,57129,0.3093,0.0026,0.8505%,1.4282,7945257,139.0757,198.6313,20000016,11155836,1.7928,3345402,15893,0.2999,0.0014,0.4751%,0.7946,3331482,209.6195,166.5740
infra,infra_6_trace,168.09687328338623,Pass,648.5790357589722,64718349,15319103,4.2247,9187928,78179,0.5998,0.0051,0.8509%,1.2080,3065469,39.2109,47.3663,32718349,7707024,4.2453,5004718,38025,0.6494,0.0049,0.7598%,1.1622,1756754,46.2000,53.6932
infra,infra_4_trace,84.87091732025146,Pass,402.2528221607208,40000016,23885916,1.6746,5988066,97103,0.2507,0.0041,1.6216%,2.4276,12156472,125.1915,303.9117,20000016,11942535,1.6747,2971304,48870,0.2488,0.0041,1.6447%,2.4435,6096568,124.7507,304.8282
infra,infra_11_trace,209.36411476135254,Pass,442.12507009506226,50000052,18236456,2.7418,7754708,49845,0.4252,0.0027,0.6428%,0.9969,3780249,75.8401,75.6049,25000052,9191859,2.7198,3881908,24201,0.4223,0.0026,0.6234%,0.9680,2172534,89.7704,86.9012
infra,infra_10_trace,117.67702960968018,Pass,449.6427490711212,50000052,18319028,2.7294,6548159,261829,0.3575,0.0143,3.9985%,5.2366,13032449,49.7747,260.6487,25000052,6288776,3.9753,3150015,115727,0.5009,0.0184,3.6739%,4.6291,4033894,34.8570,161.3554
infra,infra_15_trace,101.22027969360352,Pass,440.3990647792816,50000052,34325841,1.4566,6957507,417840,0.2027,0.0122,6.0056%,8.3568,29801631,71.3231,596.0320,25000052,6319324,3.9561,3466846,142169,0.5486,0.0225,4.1008%,5.6867,4038755,28.4081,161.5499
infra,infra_14_trace,118.4549331665039,Pass,453.6892430782318,50000052,17833382,2.8037,6536492,264405,0.3665,0.0148,4.0451%,5.2881,12726142,48.1312,254.5226,25000052,6251409,3.9991,3156210,114861,0.5049,0.0184,3.6392%,4.5944,4002201,34.8439,160.0877
infra,infra_5_trace,58.871103286743164,Pass,396.4226050376892,40000016,34436916,1.1615,7268207,87962,0.2111,0.0026,1.2102%,2.1990,26250094,298.4254,656.2521,20000016,22131069,0.9037,3539219,62856,0.1599,0.0028,1.7760%,3.1428,18294833,291.0595,914.7409
infra,infra_8_trace,54.09443473815918,Pass,399.03510093688965,40000016,24540909,1.6299,7460282,49974,0.3040,0.0020,0.6699%,1.2493,15849003,317.1450,396.2249,20000016,12244093,1.6334,3730712,24828,0.3047,0.0020,0.6655%,1.2414,7890768,317.8173,394.5381
infra,infra_9_trace,141.69822597503662,Pass,448.1715941429138,50000052,29148635,1.7153,7203244,226574,0.2471,0.0078,3.1454%,4.5315,19553956,86.3027,391.0787,25000052,17216613,1.4521,3405201,171376,0.1978,0.0100,5.0328%,6.8550,14603099,85.2109,584.1227
web,web_21_trace,37.0328950881958,Pass,143.03660798072815,15000054,5901074,2.5419,2614946,22538,0.4431,0.0038,0.8619%,1.5025,2015519,89.4276,134.3674,8000054,4719030,1.6953,1411368,17948,0.2991,0.0038,1.2717%,2.2435,1835267,102.2547,229.4068
web,web_15_trace,61.94837951660156,Pass,140.3058681488037,14999858,7896424,1.8996,2411251,76499,0.3054,0.0097,3.1726%,5.1000,2307654,30.1658,153.8451,7999858,3225182,2.4804,1229867,33762,0.3813,0.0105,2.7452%,4.2203,899893,26.6540,112.4886
web,web_20_trace,91.22524166107178,Pass,186.35216522216797,20000004,10232554,1.9545,3186911,64779,0.3114,0.0063,2.0327%,3.2389,1996108,30.8141,99.8054,10000004,3737263,2.6758,1586755,18185,0.4246,0.0049,1.1460%,1.8185,572267,31.4692,57.2267
compress,compress_0_trace,334.9084711074829,Pass,1033.5383369922638,120000052,25416570,4.7213,11747875,387244,0.4622,0.0152,3.2963%,3.2270,13828642,35.7104,115.2386,60000052,11890113,5.0462,5895554,193496,0.4958,0.0163,3.2821%,3.2249,6378088,32.9624,106.3014
web,web_18_trace,40.12125015258789,Pass,126.9897301197052,15000059,3924393,3.8223,1853795,41173,0.4724,0.0105,2.2210%,2.7449,2042664,49.6117,136.1771,8000059,1977739,4.0451,994147,20547,0.5027,0.0104,2.0668%,2.5684,1028862,50.0736,128.6068
infra,infra_12_trace,207.57365608215332,Pass,434.8927607536316,50000052,17436675,2.8675,7862103,48861,0.4509,0.0028,0.6215%,0.9772,3324112,68.0320,66.4822,25000052,8309424,3.0086,3927069,23098,0.4726,0.0028,0.5882%,0.9239,1636180,70.8364,65.4471
compress,compress_3_trace,334.29114055633545,Pass,1103.4958441257477,130000020,59554980,2.1829,15702832,1056137,0.2637,0.0177,6.7258%,8.1241,47599315,45.0693,366.1485,65000020,26286064,2.4728,7896218,495387,0.3004,0.0188,6.2737%,7.6213,19967744,40.3074,307.1960
web,web_19_trace,46.80075454711914,Pass,136.07923769950867,15000016,9436047,1.5897,2562002,76354,0.2715,0.0081,2.9802%,5.0903,2362774,30.9450,157.5181,8000016,4287065,1.8661,1380363,49814,0.3220,0.0116,3.6088%,6.2267,1193448,23.9581,149.1807
infra,infra_3_trace,83.57435989379883,Pass,383.96744084358215,40000016,8042374,4.9737,5433078,41107,0.6756,0.0051,0.7566%,1.0277,1055943,25.6877,26.3986,20000016,3985592,5.0181,2737308,18944,0.6868,0.0048,0.6921%,0.9472,492321,25.9882,24.6160
web,web_12_trace,61.48514461517334,Pass,140.89383912086487,15000009,9153431,1.6387,2254326,58000,0.2463,0.0063,2.5728%,3.8667,1950723,33.6332,130.0481,8000009,4241638,1.8861,1175254,36231,0.2771,0.0085,3.0828%,4.5289,1102292,30.4240,137.7863
