trace_name,predictor_name,MPKI,miss_rate,IPC,Cycles
compress_4_trace,ball-fun,1.825,1.6265%,4.7359,6579739
compress_1_trace,ball-fun,1.6841,1.5638%,4.697,6552889
compress_2_trace,ball-fun,1.4847,1.3332%,4.8693,6641474
compress_6_trace,ball-fun,1.8941,1.6483%,4.8302,7003052
compress_5_trace,ball-fun,1.9284,1.6759%,4.8351,6992971
infra_7_trace,ball-fun,1.4967,0.8913%,1.8319,21835503
infra_1_trace,ball-fun,0.3581,0.3121%,4.6149,8190751
infra_0_trace,ball-fun,1.2782,0.9946%,4.5218,8846101
infra_6_trace,ball-fun,1.2615,0.8885%,4.2049,15391167
infra_4_trace,ball-fun,2.4586,1.6424%,1.6715,23930276
infra_10_trace,ball-fun,5.369,4.0996%,2.7123,18434741
infra_11_trace,ball-fun,1.0839,0.6989%,2.7232,18360550
infra_15_trace,ball-fun,8.4791,6.0935%,1.4531,34408352
infra_14_trace,ball-fun,5.4178,4.1443%,2.7854,17950586
infra_5_trace,ball-fun,2.2115,1.2171%,1.1596,34494072
infra_8_trace,ball-fun,1.2565,0.6737%,1.6282,24566737
infra_9_trace,ball-fun,4.5987,3.1921%,1.7124,29198766
web_21_trace,ball-fun,1.7327,0.9939%,2.5084,5979923
compress_0_trace,ball-fun,3.2696,3.3397%,4.7076,25490450
web_15_trace,ball-fun,6.0736,3.7782%,1.8357,8171327
web_20_trace,ball-fun,4.2048,2.6388%,1.8825,10624404
compress_3_trace,ball-fun,8.231,6.8142%,2.1746,59780295
web_18_trace,ball-fun,2.8365,2.2951%,3.7911,3956627
web_19_trace,ball-fun,6.0246,3.5273%,1.545,9708647
web_12_trace,ball-fun,4.4179,2.9396%,1.6069,9334651
infra_12_trace,ball-fun,1.0757,0.6841%,2.8458,17569854
infra_3_trace,ball-fun,1.0538,0.7758%,4.9623,8060848
infra_13_trace,ball-fun,4.2496,3.2527%,2.4305,20572116
compress_7_trace,ball-fun,2.0491,1.7709%,5.4152,24006538
web_17_trace,ball-fun,1.7308,1.1719%,2.4188,6201512
web_0_trace,ball-fun,1.4009,0.4707%,2.0196,19805661
web_1_trace,ball-fun,3.5288,2.5592%,3.2799,12195076
web_16_trace,ball-fun,1.8571,2.4991%,1.993,10035127
web_7_trace,ball-fun,7.7208,4.6553%,3.835,10430218
web_22_trace,ball-fun,3.3822,2.7983%,3.3237,6017361
web_11_trace,ball-fun,5.7855,4.1587%,0.8558,11686213
web_23_trace,ball-fun,1.1653,0.7092%,3.1547,6339693
