trace_name,MPKI_A,MPKI_B,delta
fp_0_trace,3.227,3.2399,-0.012900000000000134
media_3_trace,1.3813,1.3927,-0.011400000000000077
media_0_trace,1.1764,1.1808,-0.0044000000000001815
fp_1_trace,15.5816,15.5856,-0.0039999999999995595
int_25_trace,1.3243,1.3277,-0.0034000000000000696
media_2_trace,0.5317,0.5296,0.0020999999999999908
fp_3_trace,2.0315,2.0291,0.0023999999999997357
fp_5_trace,0.9364,0.9302,0.006199999999999983
media_1_trace,1.159,1.1521,0.006900000000000128
infra_8_trace,1.2568,1.2484,0.008399999999999963
int_10_trace,0.5363,0.525,0.011299999999999977
int_15_trace,0.4788,0.4652,0.013600000000000001
int_31_trace,0.8411,0.8205,0.02059999999999995
fp_2_trace,2.5615,2.5381,0.023400000000000087
int_3_trace,0.8818,0.8552,0.026600000000000068
int_14_trace,0.3966,0.3692,0.027400000000000035
fp_4_trace,0.5736,0.5457,0.027900000000000036
int_27_trace,0.8728,0.8447,0.028100000000000014
int_13_trace,0.9248,0.8864,0.03839999999999999
infra_9_trace,4.5907,4.5513,0.03939999999999966
fp_6_trace,1.0193,0.979,0.040300000000000114
int_26_trace,1.3377,1.2961,0.04159999999999986
infra_6_trace,1.2642,1.2138,0.0504
int_5_trace,2.855,2.8042,0.05080000000000018
infra_2_trace,0.4838,0.4288,0.05499999999999999
int_19_trace,0.8482,0.7913,0.05689999999999995
int_18_trace,0.8474,0.7882,0.05920000000000003
compress_2_trace,1.4826,1.4219,0.060699999999999976
infra_1_trace,0.3574,0.2923,0.06509999999999999
int_24_trace,0.5662,0.4979,0.06830000000000003
compress_0_trace,3.2681,3.1984,0.0697000000000001
compress_1_trace,1.6834,1.612,0.07139999999999991
compress_4_trace,1.8228,1.7475,0.07529999999999992
int_23_trace,3.4824,3.4064,0.07600000000000007
infra_12_trace,1.0706,0.9932,0.07740000000000002
web_0_trace,1.3961,1.3157,0.0803999999999998
compress_6_trace,1.9036,1.8222,0.08139999999999992
compress_5_trace,1.9322,1.8485,0.08369999999999989
int_6_trace,2.9584,2.874,0.08440000000000003
infra_11_trace,1.0885,1.0022,0.08630000000000004
web_18_trace,2.8461,2.7595,0.08659999999999979
int_12_trace,0.4566,0.3669,0.0897
fp_7_trace,1.1277,1.037,0.0907
fp_11_trace,0.6989,0.6056,0.09329999999999994
int_35_trace,2.4647,2.3653,0.09940000000000015
compress_3_trace,8.2499,8.1504,0.09950000000000081
web_22_trace,3.3895,3.2715,0.11799999999999988
infra_5_trace,2.2119,2.0907,0.12119999999999997
infra_15_trace,8.4547,8.3267,0.1280000000000001
compress_7_trace,2.048,1.9181,0.12990000000000013
infra_14_trace,5.4033,5.2684,0.13490000000000002
web_23_trace,1.1539,1.0186,0.13529999999999998
infra_10_trace,5.3543,5.2171,0.1372
web_21_trace,1.7274,1.5863,0.1411
fp_10_trace,2.1174,1.9704,0.14700000000000002
web_14_trace,3.6627,3.4933,0.1694
infra_13_trace,4.2404,4.0586,0.18179999999999996
int_11_trace,4.2059,3.9954,0.2104999999999997
web_17_trace,1.7267,1.4879,0.2387999999999999
web_16_trace,1.8538,1.6099,0.24389999999999978
int_34_trace,3.0703,2.8241,0.24619999999999997
infra_3_trace,1.0632,0.8049,0.2583
web_6_trace,4.8893,4.6256,0.26370000000000005
int_4_trace,4.1379,3.8723,0.26560000000000006
int_32_trace,6.9551,6.6835,0.2715999999999994
infra_7_trace,1.4983,1.2093,0.2889999999999999
infra_0_trace,1.2832,0.9872,0.29599999999999993
web_24_trace,2.0456,1.7205,0.32509999999999994
web_2_trace,4.166,3.8193,0.34670000000000023
web_4_trace,4.4385,4.0909,0.3475999999999999
int_28_trace,3.6745,3.3205,0.3540000000000001
int_33_trace,7.9877,7.6336,0.35409999999999986
web_3_trace,3.979,3.6024,0.37660000000000027
web_1_trace,3.5186,3.1357,0.38290000000000024
web_5_trace,4.7119,4.32,0.3918999999999997
fp_12_trace,1.2157,0.8073,0.4084
web_9_trace,2.9326,2.5072,0.4253999999999998
int_20_trace,2.7912,2.358,0.4331999999999998
web_12_trace,4.4363,3.9974,0.4389000000000003
fp_9_trace,4.5518,4.1005,0.4512999999999998
web_13_trace,3.3938,2.9187,0.4751000000000003
int_0_trace,5.1327,4.6538,0.47889999999999944
web_8_trace,5.1087,4.6254,0.48329999999999984
web_10_trace,3.366,2.8788,0.4872000000000001
int_22_trace,5.3965,4.8609,0.5355999999999996
web_25_trace,6.3793,5.8123,0.5670000000000002
int_21_trace,24.1502,23.5688,0.5814000000000021
infra_4_trace,2.479,1.8311,0.6479000000000001
fp_13_trace,12.6898,11.952,0.7378
web_19_trace,6.0075,5.1496,0.8578999999999999
int_2_trace,10.9652,10.0902,0.875
web_20_trace,4.218,3.2987,0.9192999999999998
web_15_trace,6.1054,5.1507,0.9547000000000008
int_1_trace,11.6458,10.6773,0.9684999999999988
int_36_trace,3.9821,2.9848,0.9973000000000001
web_11_trace,5.7895,4.7179,1.0716
int_29_trace,12.4572,11.376,1.0812000000000008
int_9_trace,4.8555,3.7634,1.0921000000000003
int_30_trace,12.9427,11.7655,1.177200000000001
fp_8_trace,7.8738,6.6877,1.1860999999999997
int_7_trace,5.7589,4.4331,1.3258
int_8_trace,7.1931,5.8525,1.3406000000000002
int_17_trace,6.3949,4.8546,1.5403000000000002
web_7_trace,7.7526,6.1216,1.6310000000000002
int_16_trace,8.1253,5.8167,2.3085999999999993
