trace_name,MPKI_A,MPKI_B,delta
int_25_trace,1.3243,1.3232,0.001100000000000101
fp_0_trace,3.227,3.2189,0.008099999999999774
infra_8_trace,1.2568,1.2466,0.010199999999999987
fp_5_trace,0.9364,0.925,0.011399999999999966
int_14_trace,0.3966,0.3713,0.02529999999999999
media_2_trace,0.5317,0.5058,0.025899999999999923
int_12_trace,0.4566,0.4177,0.03889999999999999
int_10_trace,0.5363,0.4966,0.03970000000000001
int_15_trace,0.4788,0.4318,0.046999999999999986
int_24_trace,0.5662,0.5127,0.05349999999999999
fp_4_trace,0.5736,0.5119,0.06169999999999998
infra_1_trace,0.3574,0.2954,0.062
int_13_trace,0.9248,0.8514,0.07339999999999991
int_19_trace,0.8482,0.7603,0.08789999999999998
web_0_trace,1.3961,1.3079,0.08819999999999983
int_27_trace,0.8728,0.782,0.09079999999999999
infra_6_trace,1.2642,1.1585,0.1056999999999999
int_3_trace,0.8818,0.776,0.1058
fp_6_trace,1.0193,0.9122,0.10710000000000008
infra_9_trace,4.5907,4.4829,0.10780000000000012
infra_11_trace,1.0885,0.9728,0.11570000000000003
media_1_trace,1.159,1.0414,0.11759999999999993
infra_12_trace,1.0706,0.9525,0.11809999999999998
compress_2_trace,1.4826,1.3543,0.12829999999999986
int_26_trace,1.3377,1.2045,0.13319999999999999
fp_11_trace,0.6989,0.5646,0.13429999999999997
fp_2_trace,2.5615,2.4245,0.137
fp_10_trace,2.1174,1.9757,0.14169999999999994
media_0_trace,1.1764,1.033,0.14339999999999997
fp_7_trace,1.1277,0.9805,0.1471999999999999
int_5_trace,2.855,2.7058,0.1492
media_3_trace,1.3813,1.2256,0.15569999999999995
compress_1_trace,1.6834,1.5125,0.17090000000000005
compress_0_trace,3.2681,3.0968,0.1713
infra_2_trace,0.4838,0.3041,0.17970000000000003
web_18_trace,2.8461,2.6603,0.18579999999999997
fp_12_trace,1.2157,1.0294,0.1862999999999999
compress_4_trace,1.8228,1.6297,0.19310000000000005
compress_5_trace,1.9322,1.7338,0.1983999999999999
fp_3_trace,2.0315,1.8233,0.20819999999999994
web_22_trace,3.3895,3.1805,0.20900000000000007
web_23_trace,1.1539,0.9431,0.21079999999999988
compress_6_trace,1.9036,1.6906,0.21299999999999986
int_6_trace,2.9584,2.7427,0.2157
infra_5_trace,2.2119,1.9951,0.21679999999999988
int_18_trace,0.8474,0.63,0.21740000000000004
web_14_trace,3.6627,3.4365,0.22619999999999996
int_31_trace,0.8411,0.6026,0.23849999999999993
compress_7_trace,2.048,1.8067,0.24130000000000007
web_21_trace,1.7274,1.4572,0.2702
web_16_trace,1.8538,1.5812,0.27259999999999995
infra_15_trace,8.4547,8.1676,0.2871000000000006
int_0_trace,5.1327,4.8418,0.2908999999999997
int_34_trace,3.0703,2.7686,0.30169999999999986
infra_7_trace,1.4983,1.1914,0.30689999999999995
int_23_trace,3.4824,3.1675,0.3149000000000002
int_11_trace,4.2059,3.8873,0.31859999999999955
web_6_trace,4.8893,4.5642,0.32510000000000083
web_17_trace,1.7267,1.3943,0.3323999999999998
infra_10_trace,5.3543,5.0157,0.33860000000000046
infra_14_trace,5.4033,5.0633,0.33999999999999986
web_1_trace,3.5186,3.1522,0.36640000000000006
infra_3_trace,1.0632,0.6962,0.3669999999999999
infra_0_trace,1.2832,0.9098,0.37339999999999984
web_2_trace,4.166,3.7775,0.3885000000000005
web_5_trace,4.7119,4.3207,0.39119999999999955
web_3_trace,3.979,3.5768,0.4022000000000001
infra_13_trace,4.2404,3.8347,0.40569999999999995
web_4_trace,4.4385,4.0301,0.4084000000000003
int_35_trace,2.4647,2.0515,0.41320000000000023
web_9_trace,2.9326,2.5137,0.41889999999999983
web_24_trace,2.0456,1.6068,0.43879999999999986
int_28_trace,3.6745,3.2288,0.4457
int_20_trace,2.7912,2.3305,0.4607000000000001
fp_13_trace,12.6898,12.2224,0.4673999999999996
infra_4_trace,2.479,2.0099,0.4691000000000001
fp_9_trace,4.5518,4.0783,0.4735000000000005
web_13_trace,3.3938,2.9155,0.47829999999999995
web_8_trace,5.1087,4.6201,0.4885999999999999
web_10_trace,3.366,2.8319,0.5341
int_4_trace,4.1379,3.593,0.5449000000000002
web_12_trace,4.4363,3.8556,0.5807000000000002
compress_3_trace,8.2499,7.6547,0.5952000000000002
int_32_trace,6.9551,6.3313,0.6238000000000001
web_25_trace,6.3793,5.7401,0.6391999999999998
fp_1_trace,15.5816,14.9323,0.6493000000000002
int_33_trace,7.9877,7.2565,0.7312000000000003
web_19_trace,6.0075,5.0857,0.9218000000000002
web_20_trace,4.218,3.2357,0.9823
web_15_trace,6.1054,5.1194,0.9860000000000007
int_36_trace,3.9821,2.9736,1.0085000000000002
int_29_trace,12.4572,11.4097,1.0474999999999994
web_11_trace,5.7895,4.644,1.1455000000000002
int_30_trace,12.9427,11.7569,1.1858000000000004
int_9_trace,4.8555,3.6499,1.2056
int_8_trace,7.1931,5.7914,1.4017
int_7_trace,5.7589,4.3413,1.4175999999999993
int_22_trace,5.3965,3.9029,1.4935999999999998
int_17_trace,6.3949,4.7567,1.6381999999999994
int_2_trace,10.9652,9.2321,1.7330999999999985
int_1_trace,11.6458,9.7511,1.8947000000000003
int_16_trace,8.1253,5.7002,2.4250999999999996
int_21_trace,24.1502,21.6842,2.466000000000001
web_7_trace,7.7526,4.3005,3.4520999999999997
fp_8_trace,7.8738,3.6875,4.1863
