trace_name,MPKI_A,MPKI_B,delta
int_24_trace,0.5662,0.5882,-0.02199999999999991
fp_1_trace,15.5816,15.5963,-0.014699999999999491
fp_5_trace,0.9364,0.9369,-0.0004999999999999449
fp_0_trace,3.227,3.2242,0.0027999999999996916
fp_4_trace,0.5736,0.5696,0.0040000000000000036
int_15_trace,0.4788,0.4705,0.00830000000000003
infra_8_trace,1.2568,1.2477,0.009099999999999886
compress_7_trace,2.048,2.0384,0.009599999999999831
infra_1_trace,0.3574,0.3472,0.010199999999999987
fp_2_trace,2.5615,2.5507,0.010800000000000143
int_14_trace,0.3966,0.3844,0.012199999999999989
int_25_trace,1.3243,1.3109,0.013400000000000079
int_10_trace,0.5363,0.5221,0.01419999999999999
infra_5_trace,2.2119,2.1961,0.015800000000000036
int_6_trace,2.9584,2.9419,0.01650000000000018
int_5_trace,2.855,2.8367,0.018299999999999983
compress_4_trace,1.8228,1.8006,0.022199999999999998
compress_6_trace,1.9036,1.8788,0.024799999999999933
compress_2_trace,1.4826,1.4576,0.02499999999999991
media_2_trace,0.5317,0.5065,0.0252
compress_1_trace,1.6834,1.658,0.02540000000000009
compress_5_trace,1.9322,1.905,0.02719999999999989
infra_0_trace,1.2832,1.2553,0.027899999999999814
infra_2_trace,0.4838,0.4526,0.031200000000000006
int_12_trace,0.4566,0.424,0.03260000000000002
infra_3_trace,1.0632,1.0284,0.03479999999999994
int_13_trace,0.9248,0.8891,0.035699999999999954
infra_4_trace,2.479,2.4266,0.0524
compress_0_trace,3.2681,3.2129,0.05520000000000014
infra_6_trace,1.2642,1.2048,0.0593999999999999
web_14_trace,3.6627,3.6001,0.06260000000000021
infra_9_trace,4.5907,4.5259,0.06479999999999997
int_3_trace,0.8818,0.8168,0.06500000000000006
int_27_trace,0.8728,0.8068,0.06600000000000006
web_0_trace,1.3961,1.3299,0.06619999999999981
fp_11_trace,0.6989,0.628,0.07089999999999996
infra_7_trace,1.4983,1.4115,0.08679999999999999
int_23_trace,3.4824,3.3888,0.09360000000000035
infra_11_trace,1.0885,0.9942,0.09430000000000005
infra_12_trace,1.0706,0.9739,0.09670000000000001
int_19_trace,0.8482,0.7515,0.09670000000000001
int_0_trace,5.1327,5.0346,0.09809999999999963
int_26_trace,1.3377,1.2387,0.09899999999999998
int_18_trace,0.8474,0.7357,0.11170000000000002
int_34_trace,3.0703,2.9562,0.11410000000000009
media_0_trace,1.1764,1.0617,0.1146999999999998
fp_6_trace,1.0193,0.8987,0.12060000000000004
fp_12_trace,1.2157,1.0944,0.12129999999999996
media_1_trace,1.159,1.0357,0.12329999999999997
fp_7_trace,1.1277,1.0028,0.12490000000000001
fp_3_trace,2.0315,1.906,0.12549999999999994
web_18_trace,2.8461,2.7196,0.12650000000000006
infra_14_trace,5.4033,5.2755,0.1277999999999997
media_3_trace,1.3813,1.2518,0.12949999999999995
infra_10_trace,5.3543,5.2213,0.133
compress_3_trace,8.2499,8.1117,0.13819999999999943
infra_15_trace,8.4547,8.3148,0.1399000000000008
web_23_trace,1.1539,1.0101,0.14379999999999993
web_22_trace,3.3895,3.2305,0.1589999999999998
int_11_trace,4.2059,4.0381,0.16779999999999973
infra_13_trace,4.2404,4.063,0.17740000000000045
web_21_trace,1.7274,1.5309,0.19650000000000012
fp_10_trace,2.1174,1.9156,0.20179999999999998
int_1_trace,11.6458,11.4406,0.2051999999999996
int_35_trace,2.4647,2.2551,0.2096
int_31_trace,0.8411,0.6166,0.22449999999999992
fp_13_trace,12.6898,12.4504,0.23939999999999984
int_2_trace,10.9652,10.7227,0.24249999999999972
web_16_trace,1.8538,1.6055,0.24829999999999997
web_17_trace,1.7267,1.4521,0.27459999999999996
int_28_trace,3.6745,3.3954,0.2791000000000001
web_1_trace,3.5186,3.2097,0.30889999999999995
int_33_trace,7.9877,7.6605,0.3272000000000004
web_6_trace,4.8893,4.5613,0.3280000000000003
int_32_trace,6.9551,6.6269,0.3281999999999998
int_21_trace,24.1502,23.7948,0.35540000000000305
web_24_trace,2.0456,1.6777,0.3678999999999999
int_4_trace,4.1379,3.7664,0.37150000000000016
fp_8_trace,7.8738,7.467,0.4068000000000005
web_4_trace,4.4385,4.0201,0.4184000000000001
web_2_trace,4.166,3.7474,0.4186000000000005
web_3_trace,3.979,3.5579,0.42110000000000003
int_20_trace,2.7912,2.3512,0.43999999999999995
web_13_trace,3.3938,2.9537,0.44010000000000016
fp_9_trace,4.5518,4.1115,0.4402999999999997
web_5_trace,4.7119,4.2642,0.4477000000000002
web_9_trace,2.9326,2.4648,0.4678
web_12_trace,4.4363,3.9415,0.49480000000000013
web_10_trace,3.366,2.8395,0.5265
web_8_trace,5.1087,4.5731,0.5355999999999996
web_25_trace,6.3793,5.7951,0.5842
int_22_trace,5.3965,4.8095,0.5869999999999997
int_29_trace,12.4572,11.716,0.741200000000001
int_30_trace,12.9427,12.1062,0.8365000000000009
web_19_trace,6.0075,5.0555,0.952
web_20_trace,4.218,3.1869,1.0311
web_15_trace,6.1054,5.0656,1.0398000000000005
int_36_trace,3.9821,2.9342,1.0478999999999998
web_11_trace,5.7895,4.6736,1.1159
int_9_trace,4.8555,3.6406,1.2149
int_7_trace,5.7589,4.3662,1.3926999999999996
int_8_trace,7.1931,5.7846,1.4085
int_17_trace,6.3949,4.6916,1.7032999999999996
web_7_trace,7.7526,6.009,1.7435999999999998
int_16_trace,8.1253,5.5268,2.5984999999999996
