trace_name,MPKI_A,MPKI_B,delta
infra_1_trace,0.3574,0.3743,-0.016900000000000026
int_25_trace,1.3243,1.3297,-0.005400000000000071
infra_5_trace,2.2119,2.2161,-0.0041999999999999815
infra_8_trace,1.2568,1.2587,-0.0019000000000000128
infra_2_trace,0.4838,0.4805,0.003300000000000025
fp_0_trace,3.227,3.2161,0.01089999999999991
fp_5_trace,0.9364,0.9252,0.011199999999999988
int_10_trace,0.5363,0.5222,0.014100000000000001
int_15_trace,0.4788,0.462,0.01679999999999998
int_14_trace,0.3966,0.3781,0.018500000000000016
compress_7_trace,2.048,2.0263,0.021700000000000053
media_2_trace,0.5317,0.5057,0.025999999999999912
fp_2_trace,2.5615,2.5338,0.02770000000000028
fp_1_trace,15.5816,15.5537,0.027900000000000702
int_6_trace,2.9584,2.927,0.031400000000000095
int_5_trace,2.855,2.8235,0.03149999999999986
infra_0_trace,1.2832,1.2453,0.03789999999999982
compress_4_trace,1.8228,1.7816,0.0411999999999999
compress_2_trace,1.4826,1.4407,0.041899999999999826
compress_6_trace,1.9036,1.8582,0.045399999999999885
fp_4_trace,0.5736,0.5247,0.048899999999999944
infra_3_trace,1.0632,1.0135,0.049699999999999855
compress_5_trace,1.9322,1.882,0.05020000000000002
compress_1_trace,1.6834,1.633,0.0504
int_12_trace,0.4566,0.4037,0.0529
int_24_trace,0.5662,0.5115,0.05470000000000008
int_13_trace,0.9248,0.8585,0.06629999999999991
infra_6_trace,1.2642,1.19,0.07420000000000004
int_19_trace,0.8482,0.7618,0.08639999999999992
web_0_trace,1.3961,1.3052,0.09089999999999998
infra_4_trace,2.479,2.3855,0.09350000000000014
infra_7_trace,1.4983,1.4041,0.09420000000000006
int_3_trace,0.8818,0.7862,0.09560000000000002
compress_0_trace,3.2681,3.1701,0.09799999999999986
int_27_trace,0.8728,0.7727,0.10009999999999997
fp_10_trace,2.1174,2.0052,0.11220000000000008
fp_11_trace,0.6989,0.5807,0.11819999999999997
fp_12_trace,1.2157,1.0969,0.11880000000000002
media_0_trace,1.1764,1.0511,0.12529999999999997
infra_9_trace,4.5907,4.4643,0.1264000000000003
media_1_trace,1.159,1.0257,0.13329999999999997
media_3_trace,1.3813,1.2465,0.13480000000000003
web_18_trace,2.8461,2.7095,0.13660000000000005
infra_11_trace,1.0885,0.9468,0.14170000000000005
int_26_trace,1.3377,1.195,0.14269999999999983
infra_12_trace,1.0706,0.9276,0.14300000000000002
fp_3_trace,2.0315,1.8767,0.15479999999999983
web_22_trace,3.3895,3.23,0.15949999999999998
fp_7_trace,1.1277,0.9648,0.16289999999999993
fp_6_trace,1.0193,0.855,0.1643000000000001
infra_15_trace,8.4547,8.2764,0.17830000000000013
int_23_trace,3.4824,3.3033,0.17910000000000004
int_18_trace,0.8474,0.6654,0.18200000000000005
web_23_trace,1.1539,0.9623,0.19159999999999988
infra_14_trace,5.4033,5.1953,0.20800000000000018
infra_10_trace,5.3543,5.1442,0.21010000000000062
int_34_trace,3.0703,2.8455,0.2248000000000001
int_31_trace,0.8411,0.6011,0.24
web_16_trace,1.8538,1.5904,0.26339999999999986
web_21_trace,1.7274,1.4569,0.27049999999999996
infra_13_trace,4.2404,3.9686,0.27180000000000026
web_14_trace,3.6627,3.3625,0.30020000000000024
web_17_trace,1.7267,1.4197,0.30699999999999994
int_11_trace,4.2059,3.8809,0.32499999999999973
web_1_trace,3.5186,3.1889,0.3297000000000003
web_6_trace,4.8893,4.5376,0.3517000000000001
fp_13_trace,12.6898,12.3153,0.3744999999999994
int_0_trace,5.1327,4.7498,0.38290000000000024
int_20_trace,2.7912,2.3835,0.40769999999999973
web_4_trace,4.4385,4.014,0.4245000000000001
web_3_trace,3.979,3.5523,0.4267000000000003
web_13_trace,3.3938,2.9612,0.4326000000000003
fp_9_trace,4.5518,4.1168,0.4350000000000005
web_24_trace,2.0456,1.6105,0.4350999999999998
web_5_trace,4.7119,4.2738,0.4381000000000004
int_4_trace,4.1379,3.6946,0.44330000000000025
int_35_trace,2.4647,2.0167,0.44799999999999995
web_9_trace,2.9326,2.4821,0.4504999999999999
web_2_trace,4.166,3.7103,0.4557000000000002
int_28_trace,3.6745,3.2163,0.45820000000000016
compress_3_trace,8.2499,7.7625,0.48740000000000006
fp_8_trace,7.8738,7.3856,0.48819999999999997
web_10_trace,3.366,2.8471,0.5188999999999999
web_8_trace,5.1087,4.5779,0.5308000000000002
int_33_trace,7.9877,7.4416,0.5461
web_12_trace,4.4363,3.8768,0.5595000000000003
int_32_trace,6.9551,6.3487,0.6063999999999998
web_25_trace,6.3793,5.713,0.6662999999999997
int_21_trace,24.1502,23.3263,0.8239000000000019
web_19_trace,6.0075,5.0628,0.9447000000000001
int_2_trace,10.9652,9.9876,0.9775999999999989
int_36_trace,3.9821,3.0001,0.9819999999999998
int_29_trace,12.4572,11.4747,0.9824999999999999
int_30_trace,12.9427,11.9056,1.0371000000000006
web_20_trace,4.218,3.1562,1.0617999999999999
web_15_trace,6.1054,5.0241,1.0813000000000006
web_11_trace,5.7895,4.7055,1.0840000000000005
int_22_trace,5.3965,4.2827,1.1137999999999995
int_1_trace,11.6458,10.513,1.1327999999999996
int_9_trace,4.8555,3.6628,1.1927000000000003
int_8_trace,7.1931,5.838,1.3551000000000002
int_7_trace,5.7589,4.3978,1.3610999999999995
int_17_trace,6.3949,4.8436,1.5512999999999995
web_7_trace,7.7526,6.1046,1.6480000000000006
int_16_trace,8.1253,5.8279,2.2973999999999997
