trace_name,MPKI_A,MPKI_B,delta
int_7_trace,5.7589,5.7956,-0.03670000000000062
web_6_trace,4.8893,4.9189,-0.029599999999999405
infra_15_trace,8.4547,8.4791,-0.024399999999999977
web_4_trace,4.4385,4.4589,-0.02039999999999953
media_3_trace,1.3813,1.4012,-0.01990000000000003
web_19_trace,6.0075,6.0246,-0.017100000000000115
infra_10_trace,5.3543,5.369,-0.014699999999999491
infra_14_trace,5.4033,5.4178,-0.014499999999999957
int_35_trace,2.4647,2.4776,-0.01289999999999969
int_11_trace,4.2059,4.2187,-0.012800000000000367
web_2_trace,4.166,4.1788,-0.012799999999999478
web_23_trace,1.1539,1.1653,-0.011400000000000077
web_1_trace,3.5186,3.5288,-0.010199999999999765
infra_13_trace,4.2404,4.2496,-0.009199999999999875
infra_9_trace,4.5907,4.5987,-0.008000000000000007
web_14_trace,3.6627,3.6703,-0.007600000000000051
int_32_trace,6.9551,6.9621,-0.007000000000000561
media_0_trace,1.1764,1.1819,-0.00550000000000006
web_21_trace,1.7274,1.7327,-0.00529999999999986
infra_12_trace,1.0706,1.0757,-0.0051000000000001044
web_0_trace,1.3961,1.4009,-0.0048000000000001375
int_9_trace,4.8555,4.8603,-0.004799999999999471
int_6_trace,2.9584,2.9626,-0.0041999999999999815
web_17_trace,1.7267,1.7308,-0.0040999999999999925
infra_2_trace,0.4838,0.4876,-0.00379999999999997
int_34_trace,3.0703,3.0739,-0.0036000000000000476
int_26_trace,1.3377,1.3413,-0.0036000000000000476
web_24_trace,2.0456,2.049,-0.0034000000000000696
web_16_trace,1.8538,1.8571,-0.0033000000000000806
int_5_trace,2.855,2.8583,-0.0032999999999998586
compress_4_trace,1.8228,1.825,-0.0021999999999999797
compress_2_trace,1.4826,1.4847,-0.0020999999999999908
fp_7_trace,1.1277,1.1295,-0.0018000000000000238
int_12_trace,0.4566,0.4582,-0.0015999999999999903
compress_0_trace,3.2681,3.2696,-0.0015000000000000568
compress_7_trace,2.048,2.0491,-0.001100000000000101
int_24_trace,0.5662,0.5673,-0.0010999999999999899
int_15_trace,0.4788,0.4797,-0.0009000000000000119
web_9_trace,2.9326,2.9333,-0.000700000000000145
infra_1_trace,0.3574,0.3581,-0.0006999999999999784
compress_1_trace,1.6834,1.6841,-0.0006999999999999229
int_10_trace,0.5363,0.5369,-0.0006000000000000449
fp_4_trace,0.5736,0.5742,-0.0006000000000000449
int_0_trace,5.1327,5.1331,-0.00039999999999995595
int_22_trace,5.3965,5.3966,-0.00010000000000065512
fp_1_trace,15.5816,15.5816,0.0
fp_0_trace,3.227,3.227,0.0
media_1_trace,1.159,1.1588,0.00019999999999997797
fp_5_trace,0.9364,0.9361,0.00029999999999996696
infra_8_trace,1.2568,1.2565,0.00029999999999996696
infra_5_trace,2.2119,2.2115,0.00039999999999995595
int_14_trace,0.3966,0.3952,0.0014000000000000123
infra_7_trace,1.4983,1.4967,0.0016000000000000458
fp_11_trace,0.6989,0.6972,0.0016999999999999238
fp_12_trace,1.2157,1.214,0.0017000000000000348
infra_6_trace,1.2642,1.2615,0.0026999999999999247
