trace_name,MPKI_A,MPKI_B,delta
fp_4_trace,0.5736,0.5749,-0.0012999999999999678
fp_0_trace,3.227,3.2262,0.0007999999999999119
fp_1_trace,15.5816,15.5798,0.0017999999999993577
media_2_trace,0.5317,0.5282,0.0034999999999999476
fp_5_trace,0.9364,0.9329,0.0035000000000000586
int_25_trace,1.3243,1.3181,0.006199999999999983
int_15_trace,0.4788,0.4719,0.006900000000000017
infra_8_trace,1.2568,1.2493,0.00749999999999984
compress_7_trace,2.048,2.0403,0.007700000000000262
infra_5_trace,2.2119,2.199,0.012900000000000134
int_14_trace,0.3966,0.3815,0.015100000000000002
fp_2_trace,2.5615,2.5453,0.016199999999999992
int_5_trace,2.855,2.838,0.016999999999999904
infra_1_trace,0.3574,0.3399,0.017500000000000016
int_10_trace,0.5363,0.5155,0.02080000000000004
int_12_trace,0.4566,0.4313,0.02529999999999999
compress_2_trace,1.4826,1.457,0.025599999999999845
compress_4_trace,1.8228,1.7948,0.028000000000000025
infra_0_trace,1.2832,1.2549,0.028299999999999992
compress_6_trace,1.9036,1.8737,0.029900000000000038
compress_1_trace,1.6834,1.6515,0.03190000000000004
int_6_trace,2.9584,2.9258,0.03259999999999996
compress_5_trace,1.9322,1.898,0.03420000000000001
infra_3_trace,1.0632,1.0277,0.035499999999999865
compress_0_trace,3.2681,3.227,0.041100000000000136
infra_4_trace,2.479,2.4276,0.05140000000000011
int_27_trace,0.8728,0.8212,0.05159999999999998
infra_6_trace,1.2642,1.208,0.05620000000000003
int_23_trace,3.4824,3.4248,0.05760000000000032
infra_9_trace,4.5907,4.5315,0.0591999999999997
int_3_trace,0.8818,0.8217,0.06010000000000004
int_0_trace,5.1327,5.0702,0.0625
web_14_trace,3.6627,3.598,0.0647000000000002
int_24_trace,0.5662,0.4986,0.06760000000000005
infra_7_trace,1.4983,1.4282,0.07010000000000005
infra_2_trace,0.4838,0.4135,0.07030000000000003
int_26_trace,1.3377,1.2644,0.07329999999999992
media_1_trace,1.159,1.0785,0.08050000000000002
fp_3_trace,2.0315,1.9455,0.08599999999999985
int_19_trace,0.8482,0.7603,0.08789999999999998
web_0_trace,1.3961,1.3081,0.08799999999999986
media_0_trace,1.1764,1.0855,0.09089999999999998
infra_11_trace,1.0885,0.9969,0.09160000000000001
media_3_trace,1.3813,1.2893,0.09200000000000008
infra_12_trace,1.0706,0.9772,0.09340000000000004
fp_6_trace,1.0193,0.9236,0.09570000000000012
infra_15_trace,8.4547,8.3568,0.09790000000000099
fp_7_trace,1.1277,1.0289,0.0988
web_18_trace,2.8461,2.7449,0.10119999999999996
int_34_trace,3.0703,2.9654,0.10490000000000022
int_11_trace,4.2059,4.0919,0.11399999999999988
infra_14_trace,5.4033,5.2881,0.11519999999999975
infra_10_trace,5.3543,5.2366,0.11770000000000014
fp_11_trace,0.6989,0.5791,0.11980000000000002
compress_3_trace,8.2499,8.1241,0.1257999999999999
int_18_trace,0.8474,0.7174,0.13
web_22_trace,3.3895,3.2539,0.13560000000000016
int_31_trace,0.8411,0.6936,0.14749999999999996
infra_13_trace,4.2404,4.0788,0.16159999999999997
fp_10_trace,2.1174,1.9399,0.1775
web_23_trace,1.1539,0.9654,0.1884999999999999
int_35_trace,2.4647,2.2559,0.2088000000000001
int_13_trace,0.9248,0.7048,0.21999999999999997
web_21_trace,1.7274,1.5025,0.2249000000000001
int_32_trace,6.9551,6.7235,0.23160000000000025
fp_13_trace,12.6898,12.4478,0.2419999999999991
int_28_trace,3.6745,3.4213,0.2532000000000001
fp_9_trace,4.5518,4.2942,0.25760000000000005
web_16_trace,1.8538,1.5849,0.2688999999999999
int_33_trace,7.9877,7.7135,0.27420000000000044
int_4_trace,4.1379,3.8634,0.2745000000000002
web_6_trace,4.8893,4.6074,0.28190000000000026
web_1_trace,3.5186,3.2294,0.2892000000000001
web_17_trace,1.7267,1.4167,0.30999999999999983
web_2_trace,4.166,3.7911,0.37490000000000023
web_24_trace,2.0456,1.6661,0.37949999999999995
web_4_trace,4.4385,4.0569,0.3816000000000006
web_3_trace,3.979,3.59,0.38900000000000023
int_21_trace,24.1502,23.759,0.3912000000000013
fp_12_trace,1.2157,0.8206,0.3951
web_5_trace,4.7119,4.3019,0.41000000000000014
web_9_trace,2.9326,2.4984,0.4341999999999997
int_20_trace,2.7912,2.3513,0.43989999999999974
web_13_trace,3.3938,2.9499,0.4439000000000002
fp_8_trace,7.8738,7.4114,0.4623999999999997
web_8_trace,5.1087,4.6136,0.4950999999999999
web_25_trace,6.3793,5.8386,0.5407000000000002
web_10_trace,3.366,2.8169,0.5491000000000001
web_12_trace,4.4363,3.8667,0.5696000000000003
int_29_trace,12.4572,11.8209,0.6363000000000003
int_30_trace,12.9427,12.2596,0.6830999999999996
web_19_trace,6.0075,5.0903,0.9172000000000002
web_20_trace,4.218,3.2389,0.9790999999999999
web_15_trace,6.1054,5.1,1.0054000000000007
int_36_trace,3.9821,2.9622,1.0198999999999998
int_2_trace,10.9652,9.8611,1.104099999999999
int_9_trace,4.8555,3.7132,1.1423
web_11_trace,5.7895,4.6089,1.1806
int_1_trace,11.6458,10.3681,1.2776999999999994
int_7_trace,5.7589,4.4556,1.3033000000000001
int_8_trace,7.1931,5.8786,1.3145000000000007
int_22_trace,5.3965,3.9788,1.4176999999999995
web_7_trace,7.7526,6.2471,1.5055000000000005
int_17_trace,6.3949,4.7592,1.6357
int_16_trace,8.1253,5.6722,2.453099999999999
