trace_name,MPKI_A,MPKI_B,delta
int_25_trace,1.3243,1.3236,0.0006999999999999229
infra_5_trace,2.2119,2.2083,0.0036000000000000476
fp_4_trace,0.5736,0.5696,0.0040000000000000036
infra_2_trace,0.4838,0.4797,0.0040999999999999925
infra_8_trace,1.2568,1.252,0.0047999999999999154
int_10_trace,0.5363,0.5307,0.005600000000000049
infra_1_trace,0.3574,0.3503,0.007099999999999995
media_2_trace,0.5317,0.5231,0.008599999999999941
fp_0_trace,3.227,3.2165,0.010499999999999954
fp_11_trace,0.6989,0.688,0.01090000000000002
int_14_trace,0.3966,0.3832,0.013400000000000023
fp_5_trace,0.9364,0.9212,0.015199999999999991
int_15_trace,0.4788,0.4631,0.015699999999999992
fp_10_trace,2.1174,2.0976,0.01980000000000004
compress_2_trace,1.4826,1.443,0.03959999999999986
compress_1_trace,1.6834,1.6407,0.04269999999999996
compress_7_trace,2.048,2.0051,0.04289999999999994
infra_3_trace,1.0632,1.019,0.04420000000000002
compress_4_trace,1.8228,1.7784,0.044399999999999995
int_12_trace,0.4566,0.4069,0.04970000000000002
compress_5_trace,1.9322,1.8814,0.050799999999999956
compress_6_trace,1.9036,1.8515,0.052100000000000035
infra_7_trace,1.4983,1.445,0.0532999999999999
fp_1_trace,15.5816,15.524,0.05760000000000076
int_19_trace,0.8482,0.7875,0.060699999999999976
int_18_trace,0.8474,0.7793,0.06810000000000005
infra_0_trace,1.2832,1.2135,0.06969999999999987
int_3_trace,0.8818,0.8104,0.07140000000000002
int_24_trace,0.5662,0.4935,0.07270000000000004
infra_9_trace,4.5907,4.5178,0.07289999999999974
infra_6_trace,1.2642,1.1873,0.07689999999999997
compress_0_trace,3.2681,3.1891,0.07900000000000018
infra_11_trace,1.0885,0.9933,0.09520000000000006
infra_12_trace,1.0706,0.9752,0.09540000000000004
fp_2_trace,2.5615,2.4614,0.1001000000000003
infra_4_trace,2.479,2.3702,0.10880000000000001
int_27_trace,0.8728,0.7625,0.11030000000000006
web_18_trace,2.8461,2.7317,0.11439999999999984
web_0_trace,1.3961,1.2718,0.12429999999999986
int_6_trace,2.9584,2.8209,0.13750000000000018
int_5_trace,2.855,2.7096,0.14539999999999997
fp_7_trace,1.1277,0.9759,0.15179999999999993
web_7_trace,7.7526,7.5938,0.15880000000000027
int_13_trace,0.9248,0.7659,0.15889999999999993
infra_15_trace,8.4547,8.2957,0.1590000000000007
web_22_trace,3.3895,3.2276,0.16190000000000015
int_26_trace,1.3377,1.1711,0.16659999999999986
media_1_trace,1.159,0.9916,0.1674
infra_14_trace,5.4033,5.2247,0.17859999999999943
web_23_trace,1.1539,0.9747,0.17919999999999991
media_0_trace,1.1764,0.9918,0.18459999999999988
infra_10_trace,5.3543,5.1697,0.18460000000000054
fp_6_trace,1.0193,0.8251,0.19420000000000015
media_3_trace,1.3813,1.1746,0.20669999999999988
infra_13_trace,4.2404,4.0324,0.20800000000000018
fp_3_trace,2.0315,1.8114,0.22009999999999996
web_6_trace,4.8893,4.6389,0.25040000000000084
fp_9_trace,4.5518,4.2939,0.25790000000000024
int_20_trace,2.7912,2.5326,0.25859999999999994
web_21_trace,1.7274,1.4603,0.2671000000000001
int_34_trace,3.0703,2.7982,0.2721
fp_8_trace,7.8738,7.5897,0.28410000000000046
int_31_trace,0.8411,0.5529,0.2882
web_4_trace,4.4385,4.1487,0.2898000000000005
web_16_trace,1.8538,1.561,0.29279999999999995
int_23_trace,3.4824,3.1809,0.3015000000000003
web_14_trace,3.6627,3.3479,0.31479999999999997
web_17_trace,1.7267,1.4043,0.3223999999999998
web_5_trace,4.7119,4.386,0.32589999999999986
web_1_trace,3.5186,3.1778,0.3408000000000002
int_11_trace,4.2059,3.8485,0.3573999999999997
web_2_trace,4.166,3.7939,0.37210000000000054
web_24_trace,2.0456,1.6677,0.3778999999999999
int_0_trace,5.1327,4.7547,0.3780000000000001
web_8_trace,5.1087,4.7212,0.3875000000000002
web_13_trace,3.3938,2.9919,0.40190000000000037
web_3_trace,3.979,3.5754,0.40359999999999996
web_9_trace,2.9326,2.5177,0.4148999999999998
fp_12_trace,1.2157,0.7924,0.4233
int_35_trace,2.4647,1.9749,0.4898
int_4_trace,4.1379,3.6396,0.49829999999999997
int_28_trace,3.6745,3.1619,0.5126
web_10_trace,3.366,2.834,0.532
web_25_trace,6.3793,5.8373,0.5419999999999998
fp_13_trace,12.6898,12.1305,0.5593000000000004
web_12_trace,4.4363,3.855,0.5813000000000001
compress_3_trace,8.2499,7.6342,0.6157000000000004
int_29_trace,12.4572,11.7517,0.7055000000000007
int_30_trace,12.9427,12.2311,0.7116000000000007
web_19_trace,6.0075,5.1898,0.8177000000000003
int_33_trace,7.9877,7.1681,0.8196000000000003
int_36_trace,3.9821,3.1277,0.8544
int_21_trace,24.1502,23.2648,0.8854000000000006
web_20_trace,4.218,3.3176,0.9003999999999999
web_15_trace,6.1054,5.1798,0.9256000000000002
int_17_trace,6.3949,5.4692,0.9257
int_9_trace,4.8555,3.9141,0.9414000000000002
int_32_trace,6.9551,5.9951,0.96
int_8_trace,7.1931,6.1344,1.0587
int_7_trace,5.7589,4.682,1.0768999999999993
web_11_trace,5.7895,4.6299,1.1596000000000002
int_16_trace,8.1253,6.814,1.3112999999999992
int_22_trace,5.3965,3.5724,1.8240999999999996
int_2_trace,10.9652,8.6194,2.3457999999999988
int_1_trace,11.6458,9.0328,2.6129999999999995
