trace_name,MPKI_A,MPKI_B,delta
infra_8_trace,1.2568,1.3508,-0.09400000000000008
infra_5_trace,2.2119,2.2723,-0.06040000000000001
fp_1_trace,15.5816,15.625,-0.043400000000000105
fp_0_trace,3.227,3.261,-0.03400000000000025
fp_2_trace,2.5615,2.5788,-0.017300000000000093
int_6_trace,2.9584,2.9749,-0.016499999999999737
int_5_trace,2.855,2.8708,-0.015800000000000036
media_2_trace,0.5317,0.5319,-0.000200000000000089
infra_1_trace,0.3574,0.3543,0.0030999999999999917
int_25_trace,1.3243,1.3197,0.0045999999999999375
int_15_trace,0.4788,0.4732,0.005599999999999994
infra_2_trace,0.4838,0.4766,0.007199999999999984
int_23_trace,3.4824,3.4717,0.010700000000000376
web_14_trace,3.6627,3.6513,0.011400000000000077
int_12_trace,0.4566,0.4406,0.016000000000000014
int_24_trace,0.5662,0.5457,0.020500000000000074
int_11_trace,4.2059,4.1844,0.02149999999999963
int_14_trace,0.3966,0.3731,0.02350000000000002
compress_7_trace,2.048,2.021,0.027000000000000135
int_1_trace,11.6458,11.6182,0.027599999999999625
infra_15_trace,8.4547,8.4228,0.03190000000000026
int_19_trace,0.8482,0.8155,0.03269999999999995
infra_9_trace,4.5907,4.5559,0.03479999999999972
int_27_trace,0.8728,0.8364,0.03639999999999999
fp_3_trace,2.0315,1.9942,0.03729999999999989
int_10_trace,0.5363,0.4983,0.03799999999999998
fp_4_trace,0.5736,0.5332,0.04039999999999999
infra_14_trace,5.4033,5.3572,0.04610000000000003
int_26_trace,1.3377,1.2909,0.04679999999999995
int_18_trace,0.8474,0.8006,0.046800000000000064
infra_6_trace,1.2642,1.2155,0.048699999999999966
compress_4_trace,1.8228,1.7729,0.049900000000000055
infra_10_trace,5.3543,5.3028,0.05149999999999988
fp_11_trace,0.6989,0.6464,0.05249999999999999
compress_6_trace,1.9036,1.8499,0.05369999999999986
infra_0_trace,1.2832,1.2289,0.05429999999999979
compress_1_trace,1.6834,1.6289,0.05449999999999999
compress_2_trace,1.4826,1.4278,0.05479999999999996
fp_6_trace,1.0193,0.9645,0.05480000000000007
infra_3_trace,1.0632,1.0074,0.05579999999999985
fp_7_trace,1.1277,1.0718,0.05589999999999984
int_13_trace,0.9248,0.8664,0.05840000000000001
infra_11_trace,1.0885,1.0299,0.058599999999999985
infra_12_trace,1.0706,1.0097,0.060899999999999954
media_0_trace,1.1764,1.1127,0.06369999999999987
media_3_trace,1.3813,1.315,0.06630000000000003
compress_5_trace,1.9322,1.863,0.06919999999999993
media_1_trace,1.159,1.0802,0.07879999999999998
web_0_trace,1.3961,1.3145,0.0815999999999999
fp_9_trace,4.5518,4.4698,0.08199999999999985
fp_13_trace,12.6898,12.6051,0.08469999999999978
int_31_trace,0.8411,0.7521,0.08899999999999997
int_2_trace,10.9652,10.8678,0.0973999999999986
infra_13_trace,4.2404,4.1401,0.10029999999999983
int_3_trace,0.8818,0.763,0.11880000000000002
fp_12_trace,1.2157,1.0914,0.12430000000000008
web_18_trace,2.8461,2.7211,0.125
infra_4_trace,2.479,2.3511,0.1278999999999999
int_22_trace,5.3965,5.247,0.14949999999999974
infra_7_trace,1.4983,1.3292,0.16910000000000003
web_22_trace,3.3895,3.2192,0.17030000000000012
web_23_trace,1.1539,0.9772,0.17669999999999997
int_35_trace,2.4647,2.2847,0.18000000000000016
web_21_trace,1.7274,1.5466,0.18080000000000007
fp_10_trace,2.1174,1.9276,0.18979999999999997
int_34_trace,3.0703,2.8801,0.19019999999999992
fp_8_trace,7.8738,7.6591,0.21470000000000056
web_16_trace,1.8538,1.617,0.2367999999999999
compress_3_trace,8.2499,7.9811,0.2688000000000006
int_4_trace,4.1379,3.8687,0.2692000000000001
web_6_trace,4.8893,4.6115,0.27780000000000005
web_17_trace,1.7267,1.4479,0.27879999999999994
web_1_trace,3.5186,3.2226,0.29600000000000026
int_28_trace,3.6745,3.3729,0.3016000000000001
web_24_trace,2.0456,1.7147,0.33089999999999997
web_2_trace,4.166,3.833,0.3330000000000002
int_20_trace,2.7912,2.4574,0.3338000000000001
web_3_trace,3.979,3.6031,0.3759000000000001
int_32_trace,6.9551,6.5669,0.38819999999999943
web_13_trace,3.3938,3.0009,0.3929
web_4_trace,4.4385,4.0377,0.40080000000000027
web_5_trace,4.7119,4.2907,0.4211999999999998
fp_5_trace,0.9364,0.5128,0.4236
web_9_trace,2.9326,2.4984,0.4341999999999997
web_12_trace,4.4363,3.9832,0.45310000000000006
int_29_trace,12.4572,11.9748,0.48240000000000016
web_8_trace,5.1087,4.6116,0.49709999999999965
int_30_trace,12.9427,12.4295,0.5131999999999994
web_25_trace,6.3793,5.8643,0.5149999999999997
int_33_trace,7.9877,7.4723,0.5154000000000005
compress_0_trace,3.2681,2.7349,0.5331999999999999
web_10_trace,3.366,2.7344,0.6316000000000002
web_7_trace,7.7526,6.9881,0.7645
int_0_trace,5.1327,4.3111,0.8216000000000001
web_15_trace,6.1054,5.2809,0.8245000000000005
web_19_trace,6.0075,5.1795,0.8280000000000003
web_20_trace,4.218,3.3873,0.8306999999999998
int_9_trace,4.8555,3.9419,0.9136000000000002
int_21_trace,24.1502,23.2204,0.9298000000000002
int_36_trace,3.9821,3.0431,0.9390000000000001
web_11_trace,5.7895,4.7711,1.0184000000000006
int_7_trace,5.7589,4.6386,1.1202999999999994
int_8_trace,7.1931,5.9655,1.2276000000000007
int_17_trace,6.3949,5.0345,1.3603999999999994
int_16_trace,8.1253,6.0105,2.114799999999999
