trace_name,MPKI_A,MPKI_B,delta
fp_13_trace,11.952,12.2224,-0.2704000000000004
fp_12_trace,0.8073,1.0294,-0.22210000000000008
int_0_trace,4.6538,4.8418,-0.18799999999999972
infra_4_trace,1.8311,2.0099,-0.17880000000000007
int_12_trace,0.3669,0.4177,-0.05080000000000001
int_29_trace,11.376,11.4097,-0.033700000000001396
web_1_trace,3.1357,3.1522,-0.01650000000000018
int_24_trace,0.4979,0.5127,-0.014800000000000035
web_9_trace,2.5072,2.5137,-0.00649999999999995
fp_10_trace,1.9704,1.9757,-0.005300000000000082
infra_1_trace,0.2923,0.2954,-0.0030999999999999917
int_14_trace,0.3692,0.3713,-0.0021000000000000463
web_5_trace,4.32,4.3207,-0.000700000000000145
infra_8_trace,1.2484,1.2466,0.0018000000000000238
web_13_trace,2.9187,2.9155,0.0031999999999996476
int_25_trace,1.3277,1.3232,0.0045000000000001705
fp_5_trace,0.9302,0.925,0.005199999999999982
web_8_trace,4.6254,4.6201,0.005300000000000082
web_0_trace,1.3157,1.3079,0.007800000000000029
int_30_trace,11.7655,11.7569,0.008599999999999497
int_36_trace,2.9848,2.9736,0.011200000000000099
infra_7_trace,1.2093,1.1914,0.017900000000000027
fp_0_trace,3.2399,3.2189,0.020999999999999908
fp_9_trace,4.1005,4.0783,0.022200000000000664
media_2_trace,0.5296,0.5058,0.023799999999999932
web_3_trace,3.6024,3.5768,0.025599999999999845
int_20_trace,2.358,2.3305,0.027500000000000302
int_10_trace,0.525,0.4966,0.028400000000000036
web_16_trace,1.6099,1.5812,0.02870000000000017
infra_11_trace,1.0022,0.9728,0.02939999999999998
int_19_trace,0.7913,0.7603,0.031000000000000028
web_15_trace,5.1507,5.1194,0.031299999999999883
int_15_trace,0.4652,0.4318,0.033399999999999985
fp_4_trace,0.5457,0.5119,0.03379999999999994
int_13_trace,0.8864,0.8514,0.03499999999999992
infra_12_trace,0.9932,0.9525,0.04069999999999996
fp_11_trace,0.6056,0.5646,0.041000000000000036
web_2_trace,3.8193,3.7775,0.04180000000000028
web_10_trace,2.8788,2.8319,0.04689999999999994
infra_6_trace,1.2138,1.1585,0.055299999999999905
int_34_trace,2.8241,2.7686,0.05549999999999988
fp_7_trace,1.037,0.9805,0.056499999999999884
web_14_trace,3.4933,3.4365,0.05679999999999996
web_4_trace,4.0909,4.0301,0.06080000000000041
int_8_trace,5.8525,5.7914,0.06109999999999971
web_6_trace,4.6256,4.5642,0.06140000000000079
int_27_trace,0.8447,0.782,0.06269999999999998
web_20_trace,3.2987,3.2357,0.06300000000000017
web_19_trace,5.1496,5.0857,0.06390000000000029
fp_6_trace,0.979,0.9122,0.06679999999999997
compress_2_trace,1.4219,1.3543,0.06759999999999988
infra_9_trace,4.5513,4.4829,0.06840000000000046
web_25_trace,5.8123,5.7401,0.0721999999999996
web_11_trace,4.7179,4.644,0.07390000000000008
web_23_trace,1.0186,0.9431,0.0754999999999999
infra_0_trace,0.9872,0.9098,0.07739999999999991
int_3_trace,0.8552,0.776,0.07919999999999994
web_22_trace,3.2715,3.1805,0.09100000000000019
int_26_trace,1.2961,1.2045,0.09160000000000013
int_28_trace,3.3205,3.2288,0.09169999999999989
int_7_trace,4.4331,4.3413,0.09179999999999922
web_17_trace,1.4879,1.3943,0.0935999999999999
infra_5_trace,2.0907,1.9951,0.09559999999999991
int_17_trace,4.8546,4.7567,0.09789999999999921
int_5_trace,2.8042,2.7058,0.09839999999999982
web_18_trace,2.7595,2.6603,0.09920000000000018
compress_1_trace,1.612,1.5125,0.09950000000000014
compress_0_trace,3.1984,3.0968,0.10159999999999991
int_11_trace,3.9954,3.8873,0.10809999999999986
infra_3_trace,0.8049,0.6962,0.10869999999999991
media_1_trace,1.1521,1.0414,0.1106999999999998
compress_7_trace,1.9181,1.8067,0.11139999999999994
int_9_trace,3.7634,3.6499,0.11349999999999971
fp_2_trace,2.5381,2.4245,0.11359999999999992
web_24_trace,1.7205,1.6068,0.11369999999999991
compress_5_trace,1.8485,1.7338,0.11470000000000002
int_16_trace,5.8167,5.7002,0.11650000000000027
compress_4_trace,1.7475,1.6297,0.11780000000000013
infra_2_trace,0.4288,0.3041,0.12470000000000003
web_21_trace,1.5863,1.4572,0.1291
int_6_trace,2.874,2.7427,0.13129999999999997
compress_6_trace,1.8222,1.6906,0.13159999999999994
web_12_trace,3.9974,3.8556,0.14179999999999993
media_0_trace,1.1808,1.033,0.14780000000000015
int_18_trace,0.7882,0.63,0.1582
infra_15_trace,8.3267,8.1676,0.15910000000000046
media_3_trace,1.3927,1.2256,0.16710000000000003
infra_10_trace,5.2171,5.0157,0.20140000000000047
infra_14_trace,5.2684,5.0633,0.20509999999999984
fp_3_trace,2.0291,1.8233,0.2058000000000002
int_31_trace,0.8205,0.6026,0.21789999999999998
infra_13_trace,4.0586,3.8347,0.2239
int_23_trace,3.4064,3.1675,0.2389000000000001
int_4_trace,3.8723,3.593,0.2793000000000001
int_35_trace,2.3653,2.0515,0.3138000000000001
int_32_trace,6.6835,6.3313,0.35220000000000073
int_33_trace,7.6336,7.2565,0.37710000000000043
compress_3_trace,8.1504,7.6547,0.49569999999999936
fp_1_trace,15.5856,14.9323,0.6532999999999998
int_2_trace,10.0902,9.2321,0.8580999999999985
int_1_trace,10.6773,9.7511,0.9262000000000015
int_22_trace,4.8609,3.9029,0.9580000000000002
web_7_trace,6.1216,4.3005,1.8210999999999995
int_21_trace,23.5688,21.6842,1.884599999999999
fp_8_trace,6.6877,3.6875,3.0002000000000004
