trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,6.6877,7.467,-0.7792999999999992
int_1_trace,10.6773,11.4406,-0.7632999999999992
int_2_trace,10.0902,10.7227,-0.6325000000000003
infra_4_trace,1.8311,2.4266,-0.5955000000000001
fp_13_trace,11.952,12.4504,-0.4984000000000002
int_0_trace,4.6538,5.0346,-0.3807999999999998
int_30_trace,11.7655,12.1062,-0.3407
int_29_trace,11.376,11.716,-0.33999999999999986
fp_12_trace,0.8073,1.0944,-0.2871
infra_0_trace,0.9872,1.2553,-0.2681000000000001
int_21_trace,23.5688,23.7948,-0.2259999999999991
infra_3_trace,0.8049,1.0284,-0.22350000000000003
infra_7_trace,1.2093,1.4115,-0.20219999999999994
int_34_trace,2.8241,2.9562,-0.13209999999999988
compress_7_trace,1.9181,2.0384,-0.1203000000000003
web_14_trace,3.4933,3.6001,-0.10679999999999978
infra_5_trace,2.0907,2.1961,-0.10539999999999994
int_24_trace,0.4979,0.5882,-0.09029999999999994
int_28_trace,3.3205,3.3954,-0.07489999999999997
web_1_trace,3.1357,3.2097,-0.07400000000000029
int_6_trace,2.874,2.9419,-0.06789999999999985
int_12_trace,0.3669,0.424,-0.057099999999999984
compress_6_trace,1.8222,1.8788,-0.056599999999999984
compress_5_trace,1.8485,1.905,-0.056499999999999995
infra_1_trace,0.2923,0.3472,-0.054900000000000004
compress_4_trace,1.7475,1.8006,-0.053099999999999925
compress_1_trace,1.612,1.658,-0.04599999999999982
int_11_trace,3.9954,4.0381,-0.04269999999999996
compress_2_trace,1.4219,1.4576,-0.035700000000000065
web_13_trace,2.9187,2.9537,-0.03500000000000014
int_5_trace,2.8042,2.8367,-0.032500000000000195
int_33_trace,7.6336,7.6605,-0.02689999999999948
fp_4_trace,0.5457,0.5696,-0.023900000000000032
infra_2_trace,0.4288,0.4526,-0.023799999999999988
fp_11_trace,0.6056,0.628,-0.022399999999999975
int_14_trace,0.3692,0.3844,-0.015200000000000047
compress_0_trace,3.1984,3.2129,-0.014499999999999957
web_0_trace,1.3157,1.3299,-0.01419999999999999
fp_2_trace,2.5381,2.5507,-0.012599999999999945
fp_9_trace,4.1005,4.1115,-0.01100000000000012
fp_1_trace,15.5856,15.5963,-0.010699999999999932
infra_14_trace,5.2684,5.2755,-0.007100000000000328
fp_5_trace,0.9302,0.9369,-0.006699999999999928
int_15_trace,0.4652,0.4705,-0.005299999999999971
infra_13_trace,4.0586,4.063,-0.004399999999999515
infra_10_trace,5.2171,5.2213,-0.0041999999999999815
int_13_trace,0.8864,0.8891,-0.0027000000000000357
infra_8_trace,1.2484,1.2477,0.0006999999999999229
int_10_trace,0.525,0.5221,0.0029000000000000137
web_16_trace,1.6099,1.6055,0.0044000000000001815
int_20_trace,2.358,2.3512,0.006800000000000139
infra_11_trace,1.0022,0.9942,0.008000000000000007
web_23_trace,1.0186,1.0101,0.008499999999999952
infra_6_trace,1.2138,1.2048,0.008999999999999897
infra_15_trace,8.3267,8.3148,0.011900000000000688
fp_0_trace,3.2399,3.2242,0.015699999999999825
int_25_trace,1.3277,1.3109,0.016800000000000148
web_25_trace,5.8123,5.7951,0.017199999999999882
int_23_trace,3.4064,3.3888,0.017600000000000282
infra_12_trace,0.9932,0.9739,0.019299999999999984
media_2_trace,0.5296,0.5065,0.02310000000000001
infra_9_trace,4.5513,4.5259,0.02540000000000031
fp_7_trace,1.037,1.0028,0.03420000000000001
web_17_trace,1.4879,1.4521,0.035800000000000054
int_27_trace,0.8447,0.8068,0.037900000000000045
int_3_trace,0.8552,0.8168,0.03839999999999999
compress_3_trace,8.1504,8.1117,0.038699999999998624
web_10_trace,2.8788,2.8395,0.03929999999999989
int_19_trace,0.7913,0.7515,0.03980000000000006
web_18_trace,2.7595,2.7196,0.03990000000000027
web_22_trace,3.2715,3.2305,0.040999999999999925
web_9_trace,2.5072,2.4648,0.042400000000000215
web_24_trace,1.7205,1.6777,0.04279999999999995
web_11_trace,4.7179,4.6736,0.044299999999999784
web_3_trace,3.6024,3.5579,0.04449999999999976
int_36_trace,2.9848,2.9342,0.050599999999999756
int_22_trace,4.8609,4.8095,0.05140000000000011
web_8_trace,4.6254,4.5731,0.05229999999999979
int_18_trace,0.7882,0.7357,0.05249999999999999
fp_10_trace,1.9704,1.9156,0.05479999999999996
web_21_trace,1.5863,1.5309,0.055400000000000116
web_5_trace,4.32,4.2642,0.055800000000000516
web_12_trace,3.9974,3.9415,0.05589999999999984
int_32_trace,6.6835,6.6269,0.05660000000000043
int_26_trace,1.2961,1.2387,0.05740000000000012
web_6_trace,4.6256,4.5613,0.06430000000000025
int_7_trace,4.4331,4.3662,0.06689999999999952
int_8_trace,5.8525,5.7846,0.06789999999999985
web_4_trace,4.0909,4.0201,0.0708000000000002
web_2_trace,3.8193,3.7474,0.0719000000000003
fp_6_trace,0.979,0.8987,0.08029999999999993
web_15_trace,5.1507,5.0656,0.08509999999999973
web_19_trace,5.1496,5.0555,0.09410000000000007
int_4_trace,3.8723,3.7664,0.1059000000000001
int_35_trace,2.3653,2.2551,0.11019999999999985
web_20_trace,3.2987,3.1869,0.11180000000000012
web_7_trace,6.1216,6.009,0.11259999999999959
media_1_trace,1.1521,1.0357,0.11639999999999984
media_0_trace,1.1808,1.0617,0.11909999999999998
int_9_trace,3.7634,3.6406,0.1227999999999998
fp_3_trace,2.0291,1.906,0.12310000000000021
media_3_trace,1.3927,1.2518,0.14090000000000003
int_17_trace,4.8546,4.6916,0.16299999999999937
int_31_trace,0.8205,0.6166,0.20389999999999997
int_16_trace,5.8167,5.5268,0.28990000000000027
