trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,6.6877,7.3856,-0.6978999999999997
infra_4_trace,1.8311,2.3855,-0.5544
fp_13_trace,11.952,12.3153,-0.3633000000000006
fp_12_trace,0.8073,1.0969,-0.28959999999999997
infra_0_trace,0.9872,1.2453,-0.2581000000000001
infra_3_trace,0.8049,1.0135,-0.20860000000000012
infra_7_trace,1.2093,1.4041,-0.19479999999999986
int_30_trace,11.7655,11.9056,-0.14010000000000034
infra_5_trace,2.0907,2.2161,-0.12539999999999996
compress_7_trace,1.9181,2.0263,-0.10820000000000007
int_29_trace,11.376,11.4747,-0.0987000000000009
int_0_trace,4.6538,4.7498,-0.0959999999999992
infra_1_trace,0.2923,0.3743,-0.08200000000000002
web_1_trace,3.1357,3.1889,-0.053199999999999914
int_6_trace,2.874,2.927,-0.052999999999999936
infra_2_trace,0.4288,0.4805,-0.05169999999999997
web_13_trace,2.9187,2.9612,-0.04249999999999998
int_12_trace,0.3669,0.4037,-0.0368
compress_6_trace,1.8222,1.8582,-0.03600000000000003
fp_10_trace,1.9704,2.0052,-0.03479999999999994
compress_4_trace,1.7475,1.7816,-0.03410000000000002
compress_5_trace,1.8485,1.882,-0.03349999999999986
int_20_trace,2.358,2.3835,-0.025500000000000078
int_34_trace,2.8241,2.8455,-0.021399999999999864
compress_1_trace,1.612,1.633,-0.020999999999999908
int_5_trace,2.8042,2.8235,-0.019300000000000317
compress_2_trace,1.4219,1.4407,-0.01880000000000015
fp_9_trace,4.1005,4.1168,-0.016299999999999315
int_36_trace,2.9848,3.0001,-0.015300000000000313
int_24_trace,0.4979,0.5115,-0.013599999999999945
int_16_trace,5.8167,5.8279,-0.011199999999999655
infra_8_trace,1.2484,1.2587,-0.010299999999999976
int_14_trace,0.3692,0.3781,-0.008900000000000019
int_25_trace,1.3277,1.3297,-0.0020000000000000018
int_10_trace,0.525,0.5222,0.0028000000000000247
int_15_trace,0.4652,0.462,0.0031999999999999806
fp_2_trace,2.5381,2.5338,0.0043000000000001926
fp_5_trace,0.9302,0.9252,0.0050000000000000044
web_0_trace,1.3157,1.3052,0.010500000000000176
int_17_trace,4.8546,4.8436,0.010999999999999233
web_11_trace,4.7179,4.7055,0.01240000000000041
int_8_trace,5.8525,5.838,0.014499999999999957
web_7_trace,6.1216,6.1046,0.017000000000000348
web_16_trace,1.6099,1.5904,0.019500000000000073
fp_4_trace,0.5457,0.5247,0.020999999999999908
infra_6_trace,1.2138,1.19,0.023800000000000043
fp_0_trace,3.2399,3.2161,0.023800000000000043
media_2_trace,0.5296,0.5057,0.02389999999999992
fp_11_trace,0.6056,0.5807,0.024900000000000033
web_9_trace,2.5072,2.4821,0.025100000000000122
int_13_trace,0.8864,0.8585,0.027899999999999925
compress_0_trace,3.1984,3.1701,0.02829999999999977
int_19_trace,0.7913,0.7618,0.02949999999999997
web_10_trace,2.8788,2.8471,0.03169999999999984
fp_1_trace,15.5856,15.5537,0.03190000000000026
int_7_trace,4.4331,4.3978,0.03529999999999944
web_22_trace,3.2715,3.23,0.04150000000000009
web_5_trace,4.32,4.2738,0.046200000000000685
web_8_trace,4.6254,4.5779,0.04750000000000032
web_18_trace,2.7595,2.7095,0.050000000000000266
web_3_trace,3.6024,3.5523,0.05010000000000003
infra_15_trace,8.3267,8.2764,0.05030000000000001
infra_11_trace,1.0022,0.9468,0.055400000000000005
web_23_trace,1.0186,0.9623,0.056299999999999906
infra_12_trace,0.9932,0.9276,0.06559999999999999
web_17_trace,1.4879,1.4197,0.06820000000000004
int_3_trace,0.8552,0.7862,0.06899999999999995
int_27_trace,0.8447,0.7727,0.07199999999999995
fp_7_trace,1.037,0.9648,0.07219999999999993
infra_10_trace,5.2171,5.1442,0.07290000000000063
infra_14_trace,5.2684,5.1953,0.07310000000000016
web_4_trace,4.0909,4.014,0.07690000000000019
web_19_trace,5.1496,5.0628,0.08680000000000021
infra_9_trace,4.5513,4.4643,0.08700000000000063
web_6_trace,4.6256,4.5376,0.08800000000000008
infra_13_trace,4.0586,3.9686,0.0900000000000003
web_25_trace,5.8123,5.713,0.0992999999999995
int_9_trace,3.7634,3.6628,0.10060000000000002
int_26_trace,1.2961,1.195,0.10109999999999997
int_2_trace,10.0902,9.9876,0.10259999999999891
int_23_trace,3.4064,3.3033,0.10309999999999997
int_28_trace,3.3205,3.2163,0.10420000000000007
web_2_trace,3.8193,3.7103,0.10899999999999999
web_24_trace,1.7205,1.6105,0.10999999999999988
int_11_trace,3.9954,3.8809,0.11450000000000005
web_12_trace,3.9974,3.8768,0.12060000000000004
int_18_trace,0.7882,0.6654,0.12280000000000002
fp_6_trace,0.979,0.855,0.124
media_1_trace,1.1521,1.0257,0.12639999999999985
web_15_trace,5.1507,5.0241,0.12659999999999982
web_21_trace,1.5863,1.4569,0.12939999999999996
media_0_trace,1.1808,1.0511,0.12970000000000015
web_14_trace,3.4933,3.3625,0.13080000000000025
web_20_trace,3.2987,3.1562,0.14250000000000007
media_3_trace,1.3927,1.2465,0.1462000000000001
fp_3_trace,2.0291,1.8767,0.1524000000000001
int_1_trace,10.6773,10.513,0.16430000000000078
int_4_trace,3.8723,3.6946,0.1777000000000002
int_33_trace,7.6336,7.4416,0.19200000000000017
int_31_trace,0.8205,0.6011,0.21940000000000004
int_21_trace,23.5688,23.3263,0.24249999999999972
int_32_trace,6.6835,6.3487,0.33480000000000043
int_35_trace,2.3653,2.0167,0.3485999999999998
compress_3_trace,8.1504,7.7625,0.38789999999999925
int_22_trace,4.8609,4.2827,0.5781999999999998
