trace_name,MPKI_A,MPKI_B,delta
int_16_trace,5.8167,8.1005,-2.2838000000000003
web_7_trace,6.1216,7.7208,-1.5991999999999997
int_17_trace,4.8546,6.3587,-1.5041000000000002
int_7_trace,4.4331,5.7956,-1.3625000000000007
int_8_trace,5.8525,7.163,-1.3105000000000002
int_9_trace,3.7634,4.8603,-1.0968999999999998
web_11_trace,4.7179,5.7855,-1.0675999999999997
int_30_trace,11.7655,12.7675,-1.0020000000000007
int_36_trace,2.9848,3.9779,-0.9931000000000001
int_29_trace,11.376,12.3072,-0.9312000000000005
web_15_trace,5.1507,6.0736,-0.9229000000000003
web_20_trace,3.2987,4.2048,-0.9060999999999995
web_19_trace,5.1496,6.0246,-0.875
infra_4_trace,1.8311,2.4586,-0.6275000000000002
web_25_trace,5.8123,6.3681,-0.5558000000000005
int_22_trace,4.8609,5.3966,-0.5357000000000003
int_0_trace,4.6538,5.1331,-0.4792999999999994
web_10_trace,2.8788,3.3555,-0.4767000000000001
web_8_trace,4.6254,5.1003,-0.4748999999999999
web_13_trace,2.9187,3.3888,-0.47009999999999996
fp_9_trace,4.1005,4.5477,-0.4471999999999996
web_9_trace,2.5072,2.9333,-0.4260999999999999
web_12_trace,3.9974,4.4179,-0.42050000000000054
fp_12_trace,0.8073,1.214,-0.40669999999999995
int_20_trace,2.358,2.76,-0.4019999999999997
web_1_trace,3.1357,3.5288,-0.3931
web_4_trace,4.0909,4.4589,-0.36799999999999944
web_5_trace,4.32,4.6806,-0.3605999999999998
web_2_trace,3.8193,4.1788,-0.3594999999999997
int_28_trace,3.3205,3.6692,-0.3487
web_3_trace,3.6024,3.947,-0.34460000000000024
int_33_trace,7.6336,7.9657,-0.3320999999999996
web_24_trace,1.7205,2.049,-0.3285
web_6_trace,4.6256,4.9189,-0.29329999999999945
infra_0_trace,0.9872,1.2782,-0.29100000000000004
infra_7_trace,1.2093,1.4967,-0.2873999999999999
int_32_trace,6.6835,6.9621,-0.27859999999999996
int_4_trace,3.8723,4.1305,-0.25819999999999954
int_34_trace,2.8241,3.0739,-0.24980000000000002
infra_3_trace,0.8049,1.0538,-0.24890000000000012
web_16_trace,1.6099,1.8571,-0.24719999999999986
web_17_trace,1.4879,1.7308,-0.2428999999999999
int_11_trace,3.9954,4.2187,-0.22330000000000005
infra_13_trace,4.0586,4.2496,-0.19099999999999984
web_14_trace,3.4933,3.6703,-0.17700000000000005
infra_15_trace,8.3267,8.4791,-0.1524000000000001
infra_10_trace,5.2171,5.369,-0.15189999999999948
infra_14_trace,5.2684,5.4178,-0.14939999999999998
web_23_trace,1.0186,1.1653,-0.14670000000000005
web_21_trace,1.5863,1.7327,-0.14639999999999986
compress_7_trace,1.9181,2.0491,-0.13100000000000023
infra_5_trace,2.0907,2.2115,-0.12080000000000002
int_35_trace,2.3653,2.4776,-0.11229999999999984
web_22_trace,3.2715,3.3822,-0.11070000000000002
fp_7_trace,1.037,1.1295,-0.09250000000000003
fp_11_trace,0.6056,0.6972,-0.09160000000000001
int_12_trace,0.3669,0.4582,-0.09129999999999999
int_6_trace,2.874,2.9626,-0.08860000000000001
web_0_trace,1.3157,1.4009,-0.08519999999999994
infra_12_trace,0.9932,1.0757,-0.08250000000000013
infra_11_trace,1.0022,1.0839,-0.0817000000000001
compress_3_trace,8.1504,8.231,-0.08060000000000045
compress_5_trace,1.8485,1.9284,-0.07989999999999986
compress_4_trace,1.7475,1.825,-0.0774999999999999
web_18_trace,2.7595,2.8365,-0.07699999999999996
compress_1_trace,1.612,1.6841,-0.07209999999999983
compress_6_trace,1.8222,1.8941,-0.07189999999999985
compress_0_trace,3.1984,3.2696,-0.07120000000000015
int_24_trace,0.4979,0.5673,-0.06940000000000002
infra_1_trace,0.2923,0.3581,-0.06579999999999997
compress_2_trace,1.4219,1.4847,-0.06279999999999997
infra_2_trace,0.4288,0.4876,-0.05879999999999996
int_5_trace,2.8042,2.8583,-0.05410000000000004
int_18_trace,0.7882,0.8395,-0.05130000000000001
infra_6_trace,1.2138,1.2615,-0.047700000000000076
int_23_trace,3.4064,3.454,-0.04760000000000009
infra_9_trace,4.5513,4.5987,-0.047399999999999665
int_26_trace,1.2961,1.3413,-0.04519999999999991
int_13_trace,0.8864,0.9185,-0.03210000000000002
fp_4_trace,0.5457,0.5742,-0.02850000000000008
int_14_trace,0.3692,0.3952,-0.026000000000000023
int_27_trace,0.8447,0.8656,-0.02090000000000003
fp_2_trace,2.5381,2.5588,-0.020700000000000163
int_3_trace,0.8552,0.8721,-0.016900000000000026
int_15_trace,0.4652,0.4797,-0.014500000000000013
int_31_trace,0.8205,0.833,-0.012499999999999956
int_10_trace,0.525,0.5369,-0.011900000000000022
media_3_trace,1.3927,1.4012,-0.008499999999999952
infra_8_trace,1.2484,1.2565,-0.008099999999999996
media_1_trace,1.1521,1.1588,-0.00670000000000015
fp_5_trace,0.9302,0.9361,-0.005900000000000016
fp_6_trace,0.979,0.9836,-0.0046000000000000485
media_0_trace,1.1808,1.1819,-0.0010999999999998789
fp_1_trace,15.5856,15.5816,0.0039999999999995595
int_25_trace,1.3277,1.3214,0.006300000000000194
media_2_trace,0.5296,0.5226,0.007000000000000006
fp_3_trace,2.0291,2.0208,0.008300000000000196
fp_0_trace,3.2399,3.227,0.012900000000000134
fp_10_trace,1.9704,1.8923,0.07809999999999984
int_19_trace,0.7913,0.6642,0.1271
int_2_trace,10.0902,8.727,1.363199999999999
fp_8_trace,6.6877,5.2985,1.3892000000000007
int_1_trace,10.6773,9.2211,1.4562000000000008
fp_13_trace,11.952,8.9772,2.9748
int_21_trace,23.5688,15.7181,7.8507
