trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,6.6877,7.4114,-0.7237
infra_4_trace,1.8311,2.4276,-0.5965
fp_13_trace,11.952,12.4478,-0.4958000000000009
int_30_trace,11.7655,12.2596,-0.4941000000000013
int_29_trace,11.376,11.8209,-0.4449000000000005
int_0_trace,4.6538,5.0702,-0.41639999999999944
infra_0_trace,0.9872,1.2549,-0.26769999999999994
infra_3_trace,0.8049,1.0277,-0.2228000000000001
infra_7_trace,1.2093,1.4282,-0.21889999999999987
fp_9_trace,4.1005,4.2942,-0.19369999999999976
int_21_trace,23.5688,23.759,-0.1902000000000008
int_34_trace,2.8241,2.9654,-0.14129999999999976
web_7_trace,6.1216,6.2471,-0.12549999999999972
compress_7_trace,1.9181,2.0403,-0.12219999999999986
infra_5_trace,2.0907,2.199,-0.10829999999999984
web_14_trace,3.4933,3.598,-0.1046999999999998
int_28_trace,3.3205,3.4213,-0.1008
int_11_trace,3.9954,4.0919,-0.09649999999999981
web_1_trace,3.1357,3.2294,-0.09370000000000012
int_33_trace,7.6336,7.7135,-0.07989999999999942
int_12_trace,0.3669,0.4313,-0.06440000000000001
int_6_trace,2.874,2.9258,-0.05180000000000007
compress_6_trace,1.8222,1.8737,-0.05149999999999988
compress_5_trace,1.8485,1.898,-0.04949999999999988
infra_1_trace,0.2923,0.3399,-0.047599999999999976
compress_4_trace,1.7475,1.7948,-0.0472999999999999
int_32_trace,6.6835,6.7235,-0.03999999999999915
compress_1_trace,1.612,1.6515,-0.03949999999999987
compress_2_trace,1.4219,1.457,-0.03510000000000013
int_5_trace,2.8042,2.838,-0.033800000000000274
web_13_trace,2.9187,2.9499,-0.031200000000000117
infra_15_trace,8.3267,8.3568,-0.030099999999999127
fp_4_trace,0.5457,0.5749,-0.029200000000000004
compress_0_trace,3.1984,3.227,-0.02859999999999996
web_25_trace,5.8123,5.8386,-0.02629999999999999
int_8_trace,5.8525,5.8786,-0.026099999999999568
int_7_trace,4.4331,4.4556,-0.022499999999999964
infra_13_trace,4.0586,4.0788,-0.020199999999999996
infra_14_trace,5.2684,5.2881,-0.019700000000000273
infra_10_trace,5.2171,5.2366,-0.01949999999999985
int_23_trace,3.4064,3.4248,-0.01839999999999975
fp_12_trace,0.8073,0.8206,-0.013299999999999979
int_14_trace,0.3692,0.3815,-0.012300000000000033
fp_2_trace,2.5381,2.5453,-0.007200000000000095
int_15_trace,0.4652,0.4719,-0.006699999999999984
fp_5_trace,0.9302,0.9329,-0.0026999999999999247
infra_8_trace,1.2484,1.2493,-0.0009000000000001229
int_24_trace,0.4979,0.4986,-0.0006999999999999784
media_2_trace,0.5296,0.5282,0.0013999999999999568
infra_11_trace,1.0022,0.9969,0.005299999999999971
fp_1_trace,15.5856,15.5798,0.005799999999998917
infra_6_trace,1.2138,1.208,0.005800000000000027
int_20_trace,2.358,2.3513,0.006699999999999928
web_0_trace,1.3157,1.3081,0.007600000000000051
fp_7_trace,1.037,1.0289,0.008099999999999996
web_9_trace,2.5072,2.4984,0.008799999999999919
int_4_trace,3.8723,3.8634,0.00890000000000013
int_10_trace,0.525,0.5155,0.009500000000000064
int_25_trace,1.3277,1.3181,0.009600000000000053
web_8_trace,4.6254,4.6136,0.011800000000000033
web_3_trace,3.6024,3.59,0.012399999999999967
fp_0_trace,3.2399,3.2262,0.013700000000000045
web_18_trace,2.7595,2.7449,0.014600000000000168
infra_2_trace,0.4288,0.4135,0.015300000000000036
infra_12_trace,0.9932,0.9772,0.016000000000000014
web_22_trace,3.2715,3.2539,0.017600000000000282
web_5_trace,4.32,4.3019,0.01810000000000045
web_6_trace,4.6256,4.6074,0.018200000000000216
infra_9_trace,4.5513,4.5315,0.01980000000000004
int_36_trace,2.9848,2.9622,0.02259999999999973
int_27_trace,0.8447,0.8212,0.023499999999999965
web_16_trace,1.6099,1.5849,0.025000000000000133
compress_3_trace,8.1504,8.1241,0.026299999999999102
fp_11_trace,0.6056,0.5791,0.02650000000000008
web_2_trace,3.8193,3.7911,0.028200000000000003
fp_10_trace,1.9704,1.9399,0.03049999999999997
int_19_trace,0.7913,0.7603,0.031000000000000028
int_26_trace,1.2961,1.2644,0.03170000000000006
int_3_trace,0.8552,0.8217,0.033499999999999974
web_4_trace,4.0909,4.0569,0.034000000000000696
int_9_trace,3.7634,3.7132,0.0501999999999998
web_15_trace,5.1507,5.1,0.05069999999999997
web_23_trace,1.0186,0.9654,0.053199999999999914
web_24_trace,1.7205,1.6661,0.054400000000000004
fp_6_trace,0.979,0.9236,0.055400000000000005
web_19_trace,5.1496,5.0903,0.05930000000000035
web_20_trace,3.2987,3.2389,0.059800000000000075
web_10_trace,2.8788,2.8169,0.061900000000000066
int_18_trace,0.7882,0.7174,0.07079999999999997
web_17_trace,1.4879,1.4167,0.07119999999999993
media_1_trace,1.1521,1.0785,0.07359999999999989
fp_3_trace,2.0291,1.9455,0.08360000000000012
web_21_trace,1.5863,1.5025,0.0838000000000001
media_0_trace,1.1808,1.0855,0.09530000000000016
int_17_trace,4.8546,4.7592,0.09539999999999971
media_3_trace,1.3927,1.2893,0.10340000000000016
web_11_trace,4.7179,4.6089,0.10899999999999999
int_35_trace,2.3653,2.2559,0.10939999999999994
int_31_trace,0.8205,0.6936,0.1269
web_12_trace,3.9974,3.8667,0.13070000000000004
int_16_trace,5.8167,5.6722,0.14449999999999985
int_13_trace,0.8864,0.7048,0.18159999999999998
int_2_trace,10.0902,9.8611,0.22909999999999897
int_1_trace,10.6773,10.3681,0.3092000000000006
int_22_trace,4.8609,3.9788,0.8820999999999999
