trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.1216,7.5938,-1.4722
int_16_trace,5.8167,6.814,-0.9973000000000001
fp_8_trace,6.6877,7.5897,-0.9019999999999992
int_17_trace,4.8546,5.4692,-0.6146000000000003
infra_4_trace,1.8311,2.3702,-0.5391000000000001
int_30_trace,11.7655,12.2311,-0.46560000000000024
int_29_trace,11.376,11.7517,-0.37570000000000014
int_8_trace,5.8525,6.1344,-0.28190000000000026
int_7_trace,4.4331,4.682,-0.2489000000000008
infra_7_trace,1.2093,1.445,-0.23570000000000002
infra_0_trace,0.9872,1.2135,-0.22630000000000006
infra_3_trace,0.8049,1.019,-0.21409999999999996
fp_9_trace,4.1005,4.2939,-0.19339999999999957
fp_13_trace,11.952,12.1305,-0.17849999999999966
int_20_trace,2.358,2.5326,-0.17459999999999987
int_9_trace,3.7634,3.9141,-0.15070000000000006
int_36_trace,2.9848,3.1277,-0.14290000000000003
fp_10_trace,1.9704,2.0976,-0.12719999999999998
infra_5_trace,2.0907,2.2083,-0.11759999999999993
int_0_trace,4.6538,4.7547,-0.10089999999999932
web_8_trace,4.6254,4.7212,-0.09579999999999966
compress_7_trace,1.9181,2.0051,-0.08700000000000019
fp_11_trace,0.6056,0.688,-0.08239999999999992
web_13_trace,2.9187,2.9919,-0.07319999999999993
web_5_trace,4.32,4.386,-0.06599999999999984
infra_1_trace,0.2923,0.3503,-0.057999999999999996
web_4_trace,4.0909,4.1487,-0.05779999999999941
infra_2_trace,0.4288,0.4797,-0.0509
web_1_trace,3.1357,3.1778,-0.042100000000000026
web_19_trace,5.1496,5.1898,-0.04019999999999957
int_12_trace,0.3669,0.4069,-0.03999999999999998
compress_5_trace,1.8485,1.8814,-0.03289999999999993
compress_4_trace,1.7475,1.7784,-0.030899999999999928
compress_6_trace,1.8222,1.8515,-0.02929999999999988
web_15_trace,5.1507,5.1798,-0.02910000000000057
compress_1_trace,1.612,1.6407,-0.028699999999999948
web_25_trace,5.8123,5.8373,-0.025000000000000355
fp_4_trace,0.5457,0.5696,-0.023900000000000032
compress_2_trace,1.4219,1.443,-0.02110000000000012
web_20_trace,3.2987,3.3176,-0.018899999999999917
int_14_trace,0.3692,0.3832,-0.014000000000000012
web_6_trace,4.6256,4.6389,-0.013299999999999201
web_9_trace,2.5072,2.5177,-0.010499999999999954
int_10_trace,0.525,0.5307,-0.005699999999999927
infra_8_trace,1.2484,1.252,-0.0036000000000000476
int_15_trace,0.4652,0.4631,0.0020999999999999908
int_19_trace,0.7913,0.7875,0.0038000000000000256
int_25_trace,1.3277,1.3236,0.0040999999999999925
int_24_trace,0.4979,0.4935,0.004400000000000015
media_2_trace,0.5296,0.5231,0.00649999999999995
infra_11_trace,1.0022,0.9933,0.008900000000000019
int_18_trace,0.7882,0.7793,0.008900000000000019
fp_5_trace,0.9302,0.9212,0.009000000000000008
compress_0_trace,3.1984,3.1891,0.009300000000000086
fp_12_trace,0.8073,0.7924,0.014900000000000024
infra_12_trace,0.9932,0.9752,0.018000000000000016
fp_0_trace,3.2399,3.2165,0.023400000000000087
web_2_trace,3.8193,3.7939,0.02540000000000031
int_34_trace,2.8241,2.7982,0.025900000000000034
infra_13_trace,4.0586,4.0324,0.026200000000000223
infra_6_trace,1.2138,1.1873,0.026499999999999968
web_3_trace,3.6024,3.5754,0.02699999999999969
web_18_trace,2.7595,2.7317,0.027800000000000047
infra_15_trace,8.3267,8.2957,0.031000000000000583
infra_9_trace,4.5513,4.5178,0.033500000000000085
infra_14_trace,5.2684,5.2247,0.043699999999999406
web_23_trace,1.0186,0.9747,0.04389999999999994
web_0_trace,1.3157,1.2718,0.04390000000000005
web_22_trace,3.2715,3.2276,0.04390000000000027
int_3_trace,0.8552,0.8104,0.04479999999999995
web_10_trace,2.8788,2.834,0.04479999999999995
infra_10_trace,5.2171,5.1697,0.04740000000000055
web_16_trace,1.6099,1.561,0.048900000000000166
web_24_trace,1.7205,1.6677,0.05279999999999996
int_6_trace,2.874,2.8209,0.05310000000000015
fp_7_trace,1.037,0.9759,0.06109999999999993
fp_1_trace,15.5856,15.524,0.06160000000000032
fp_2_trace,2.5381,2.4614,0.07670000000000021
int_27_trace,0.8447,0.7625,0.08220000000000005
web_17_trace,1.4879,1.4043,0.0835999999999999
web_11_trace,4.7179,4.6299,0.08800000000000008
int_5_trace,2.8042,2.7096,0.0945999999999998
int_13_trace,0.8864,0.7659,0.12049999999999994
int_26_trace,1.2961,1.1711,0.125
web_21_trace,1.5863,1.4603,0.1260000000000001
web_12_trace,3.9974,3.855,0.14239999999999986
web_14_trace,3.4933,3.3479,0.14539999999999997
int_11_trace,3.9954,3.8485,0.14690000000000003
fp_6_trace,0.979,0.8251,0.15390000000000004
int_28_trace,3.3205,3.1619,0.15859999999999985
media_1_trace,1.1521,0.9916,0.16049999999999986
media_0_trace,1.1808,0.9918,0.18900000000000006
fp_3_trace,2.0291,1.8114,0.21770000000000023
media_3_trace,1.3927,1.1746,0.21809999999999996
int_23_trace,3.4064,3.1809,0.22550000000000026
int_4_trace,3.8723,3.6396,0.2326999999999999
int_31_trace,0.8205,0.5529,0.26760000000000006
int_21_trace,23.5688,23.2648,0.3039999999999985
int_35_trace,2.3653,1.9749,0.39039999999999986
int_33_trace,7.6336,7.1681,0.46550000000000047
compress_3_trace,8.1504,7.6342,0.5161999999999995
int_32_trace,6.6835,5.9951,0.6884000000000006
int_22_trace,4.8609,3.5724,1.2885
int_2_trace,10.0902,8.6194,1.4707999999999988
int_1_trace,10.6773,9.0328,1.6445000000000007
