trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,6.6877,7.6591,-0.9713999999999992
int_1_trace,10.6773,11.6182,-0.9408999999999992
web_7_trace,6.1216,6.9881,-0.8665000000000003
int_2_trace,10.0902,10.8678,-0.7776000000000014
int_30_trace,11.7655,12.4295,-0.6640000000000015
fp_13_trace,11.952,12.6051,-0.6531000000000002
int_29_trace,11.376,11.9748,-0.5988000000000007
infra_4_trace,1.8311,2.3511,-0.5200000000000002
int_22_trace,4.8609,5.247,-0.3860999999999999
fp_9_trace,4.1005,4.4698,-0.36929999999999996
fp_12_trace,0.8073,1.0914,-0.2840999999999999
infra_0_trace,0.9872,1.2289,-0.24170000000000014
int_7_trace,4.4331,4.6386,-0.20550000000000068
infra_3_trace,0.8049,1.0074,-0.20250000000000012
int_16_trace,5.8167,6.0105,-0.19380000000000042
int_11_trace,3.9954,4.1844,-0.18900000000000006
infra_5_trace,2.0907,2.2723,-0.18159999999999998
int_17_trace,4.8546,5.0345,-0.17990000000000084
int_9_trace,3.7634,3.9419,-0.1785000000000001
web_14_trace,3.4933,3.6513,-0.15799999999999992
web_15_trace,5.1507,5.2809,-0.13020000000000032
infra_7_trace,1.2093,1.3292,-0.1198999999999999
int_8_trace,5.8525,5.9655,-0.11299999999999955
compress_7_trace,1.9181,2.021,-0.10289999999999999
infra_8_trace,1.2484,1.3508,-0.10240000000000005
int_6_trace,2.874,2.9749,-0.10089999999999977
int_20_trace,2.358,2.4574,-0.09939999999999971
infra_15_trace,8.3267,8.4228,-0.09609999999999985
infra_14_trace,5.2684,5.3572,-0.08879999999999999
web_20_trace,3.2987,3.3873,-0.08860000000000001
web_1_trace,3.1357,3.2226,-0.08689999999999998
infra_10_trace,5.2171,5.3028,-0.08570000000000011
web_13_trace,2.9187,3.0009,-0.08220000000000027
infra_13_trace,4.0586,4.1401,-0.08150000000000013
int_12_trace,0.3669,0.4406,-0.07369999999999999
int_5_trace,2.8042,2.8708,-0.06660000000000021
int_23_trace,3.4064,3.4717,-0.06529999999999969
infra_1_trace,0.2923,0.3543,-0.062
int_36_trace,2.9848,3.0431,-0.05830000000000002
int_34_trace,2.8241,2.8801,-0.05600000000000005
web_11_trace,4.7179,4.7711,-0.05319999999999947
int_28_trace,3.3205,3.3729,-0.0524
web_25_trace,5.8123,5.8643,-0.05200000000000049
infra_2_trace,0.4288,0.4766,-0.04780000000000001
int_24_trace,0.4979,0.5457,-0.047799999999999954
fp_11_trace,0.6056,0.6464,-0.04079999999999995
fp_2_trace,2.5381,2.5788,-0.04070000000000018
fp_1_trace,15.5856,15.625,-0.039400000000000546
fp_7_trace,1.037,1.0718,-0.034800000000000164
web_19_trace,5.1496,5.1795,-0.029899999999999594
infra_11_trace,1.0022,1.0299,-0.027700000000000058
compress_6_trace,1.8222,1.8499,-0.027700000000000058
compress_4_trace,1.7475,1.7729,-0.025399999999999867
int_19_trace,0.7913,0.8155,-0.0242
fp_0_trace,3.2399,3.261,-0.02110000000000012
compress_1_trace,1.612,1.6289,-0.016899999999999915
infra_12_trace,0.9932,1.0097,-0.01650000000000007
compress_5_trace,1.8485,1.863,-0.014499999999999957
web_2_trace,3.8193,3.833,-0.013700000000000045
int_18_trace,0.7882,0.8006,-0.012399999999999967
int_15_trace,0.4652,0.4732,-0.008000000000000007
web_16_trace,1.6099,1.617,-0.007099999999999884
compress_2_trace,1.4219,1.4278,-0.005900000000000016
infra_9_trace,4.5513,4.5559,-0.0045999999999999375
int_14_trace,0.3692,0.3731,-0.0039000000000000146
media_2_trace,0.5296,0.5319,-0.0023000000000000798
infra_6_trace,1.2138,1.2155,-0.0017000000000000348
web_3_trace,3.6024,3.6031,-0.000700000000000145
web_0_trace,1.3157,1.3145,0.0012000000000000899
int_4_trace,3.8723,3.8687,0.0036000000000000476
int_26_trace,1.2961,1.2909,0.0052000000000000934
web_24_trace,1.7205,1.7147,0.005800000000000027
int_25_trace,1.3277,1.3197,0.008000000000000007
int_27_trace,0.8447,0.8364,0.008299999999999974
web_9_trace,2.5072,2.4984,0.008799999999999919
fp_4_trace,0.5457,0.5332,0.012499999999999956
web_8_trace,4.6254,4.6116,0.013799999999999812
web_6_trace,4.6256,4.6115,0.014100000000000001
web_12_trace,3.9974,3.9832,0.014199999999999768
fp_6_trace,0.979,0.9645,0.014499999999999957
int_13_trace,0.8864,0.8664,0.020000000000000018
int_10_trace,0.525,0.4983,0.0267
web_5_trace,4.32,4.2907,0.029300000000000104
fp_3_trace,2.0291,1.9942,0.03490000000000015
web_18_trace,2.7595,2.7211,0.03840000000000021
web_21_trace,1.5863,1.5466,0.03970000000000007
web_17_trace,1.4879,1.4479,0.040000000000000036
web_23_trace,1.0186,0.9772,0.04139999999999999
fp_10_trace,1.9704,1.9276,0.04279999999999995
web_22_trace,3.2715,3.2192,0.052300000000000235
web_4_trace,4.0909,4.0377,0.05320000000000036
media_0_trace,1.1808,1.1127,0.06810000000000005
int_31_trace,0.8205,0.7521,0.06840000000000002
media_1_trace,1.1521,1.0802,0.07189999999999985
media_3_trace,1.3927,1.315,0.0777000000000001
int_35_trace,2.3653,2.2847,0.0806
