trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,3.6875,7.3856,-3.6981
web_7_trace,4.3005,6.1046,-1.8040999999999991
int_21_trace,21.6842,23.3263,-1.6420999999999992
int_1_trace,9.7511,10.513,-0.7619000000000007
int_2_trace,9.2321,9.9876,-0.7554999999999996
fp_1_trace,14.9323,15.5537,-0.6213999999999995
int_22_trace,3.9029,4.2827,-0.37980000000000036
infra_4_trace,2.0099,2.3855,-0.37559999999999993
infra_0_trace,0.9098,1.2453,-0.3355
infra_3_trace,0.6962,1.0135,-0.3173
infra_5_trace,1.9951,2.2161,-0.22099999999999986
compress_7_trace,1.8067,2.0263,-0.21960000000000002
infra_7_trace,1.1914,1.4041,-0.2126999999999999
int_33_trace,7.2565,7.4416,-0.18510000000000026
int_6_trace,2.7427,2.927,-0.1842999999999999
infra_2_trace,0.3041,0.4805,-0.1764
compress_6_trace,1.6906,1.8582,-0.16759999999999997
compress_4_trace,1.6297,1.7816,-0.15190000000000015
int_30_trace,11.7569,11.9056,-0.14869999999999983
compress_5_trace,1.7338,1.882,-0.1481999999999999
int_23_trace,3.1675,3.3033,-0.13580000000000014
infra_13_trace,3.8347,3.9686,-0.13389999999999969
infra_14_trace,5.0633,5.1953,-0.13199999999999967
infra_10_trace,5.0157,5.1442,-0.12849999999999984
int_16_trace,5.7002,5.8279,-0.12769999999999992
compress_1_trace,1.5125,1.633,-0.12050000000000005
int_5_trace,2.7058,2.8235,-0.11770000000000014
fp_2_trace,2.4245,2.5338,-0.10929999999999973
infra_15_trace,8.1676,8.2764,-0.10880000000000045
compress_3_trace,7.6547,7.7625,-0.10780000000000012
int_4_trace,3.593,3.6946,-0.10159999999999991
fp_13_trace,12.2224,12.3153,-0.0929000000000002
int_17_trace,4.7567,4.8436,-0.08689999999999998
compress_2_trace,1.3543,1.4407,-0.08640000000000003
infra_1_trace,0.2954,0.3743,-0.07890000000000003
int_34_trace,2.7686,2.8455,-0.07689999999999975
compress_0_trace,3.0968,3.1701,-0.07330000000000014
fp_12_trace,1.0294,1.0969,-0.0674999999999999
int_29_trace,11.4097,11.4747,-0.0649999999999995
web_11_trace,4.644,4.7055,-0.061499999999999666
int_7_trace,4.3413,4.3978,-0.05649999999999977
fp_3_trace,1.8233,1.8767,-0.053400000000000114
int_20_trace,2.3305,2.3835,-0.05300000000000038
web_22_trace,3.1805,3.23,-0.0495000000000001
web_18_trace,2.6603,2.7095,-0.04919999999999991
int_8_trace,5.7914,5.838,-0.04659999999999975
web_13_trace,2.9155,2.9612,-0.04569999999999963
fp_9_trace,4.0783,4.1168,-0.03849999999999998
web_1_trace,3.1522,3.1889,-0.03669999999999973
int_18_trace,0.63,0.6654,-0.03539999999999999
infra_6_trace,1.1585,1.19,-0.03149999999999986
int_15_trace,0.4318,0.462,-0.030200000000000005
fp_10_trace,1.9757,2.0052,-0.02949999999999986
int_36_trace,2.9736,3.0001,-0.026500000000000412
int_10_trace,0.4966,0.5222,-0.02560000000000001
web_17_trace,1.3943,1.4197,-0.025399999999999867
web_12_trace,3.8556,3.8768,-0.021199999999999886
media_3_trace,1.2256,1.2465,-0.02089999999999992
web_23_trace,0.9431,0.9623,-0.019199999999999995
