trace_name,MPKI_A,MPKI_B,delta
web_7_trace,4.3005,7.7208,-3.4202999999999992
int_16_trace,5.7002,8.1005,-2.4003000000000005
fp_8_trace,3.6875,5.2985,-1.6109999999999998
int_17_trace,4.7567,6.3587,-1.6019999999999994
int_22_trace,3.9029,5.3966,-1.4937000000000005
int_7_trace,4.3413,5.7956,-1.4543
int_8_trace,5.7914,7.163,-1.3716
int_9_trace,3.6499,4.8603,-1.2103999999999995
web_11_trace,4.644,5.7855,-1.1414999999999997
int_30_trace,11.7569,12.7675,-1.0106000000000002
int_36_trace,2.9736,3.9779,-1.0043000000000002
web_20_trace,3.2357,4.2048,-0.9690999999999996
web_15_trace,5.1194,6.0736,-0.9542000000000002
web_19_trace,5.0857,6.0246,-0.9389000000000003
int_29_trace,11.4097,12.3072,-0.8974999999999991
int_33_trace,7.2565,7.9657,-0.7092
fp_1_trace,14.9323,15.5816,-0.6493000000000002
int_32_trace,6.3313,6.9621,-0.6308000000000007
web_25_trace,5.7401,6.3681,-0.6280000000000001
compress_3_trace,7.6547,8.231,-0.5762999999999998
web_12_trace,3.8556,4.4179,-0.5623000000000005
int_4_trace,3.593,4.1305,-0.5374999999999996
web_10_trace,2.8319,3.3555,-0.5236000000000001
web_8_trace,4.6201,5.1003,-0.48019999999999996
web_13_trace,2.9155,3.3888,-0.4732999999999996
fp_9_trace,4.0783,4.5477,-0.46940000000000026
infra_4_trace,2.0099,2.4586,-0.4487000000000001
web_24_trace,1.6068,2.049,-0.4421999999999999
int_28_trace,3.2288,3.6692,-0.4403999999999999
int_20_trace,2.3305,2.76,-0.4295
web_4_trace,4.0301,4.4589,-0.42879999999999985
int_35_trace,2.0515,2.4776,-0.4260999999999999
web_9_trace,2.5137,2.9333,-0.4196
infra_13_trace,3.8347,4.2496,-0.4148999999999998
web_2_trace,3.7775,4.1788,-0.4013
web_1_trace,3.1522,3.5288,-0.3765999999999998
web_3_trace,3.5768,3.947,-0.3702000000000001
infra_0_trace,0.9098,1.2782,-0.36839999999999995
web_5_trace,4.3207,4.6806,-0.35989999999999966
infra_3_trace,0.6962,1.0538,-0.35760000000000003
web_6_trace,4.5642,4.9189,-0.35470000000000024
infra_14_trace,5.0633,5.4178,-0.3544999999999998
infra_10_trace,5.0157,5.369,-0.35329999999999995
web_17_trace,1.3943,1.7308,-0.3364999999999998
int_11_trace,3.8873,4.2187,-0.3313999999999999
infra_15_trace,8.1676,8.4791,-0.31150000000000055
int_34_trace,2.7686,3.0739,-0.3052999999999999
infra_7_trace,1.1914,1.4967,-0.3052999999999999
int_0_trace,4.8418,5.1331,-0.29129999999999967
int_23_trace,3.1675,3.454,-0.2865000000000002
web_16_trace,1.5812,1.8571,-0.27590000000000003
web_21_trace,1.4572,1.7327,-0.27549999999999986
compress_7_trace,1.8067,2.0491,-0.24240000000000017
web_14_trace,3.4365,3.6703,-0.2338
int_31_trace,0.6026,0.833,-0.23039999999999994
web_23_trace,0.9431,1.1653,-0.22219999999999995
int_6_trace,2.7427,2.9626,-0.21989999999999998
infra_5_trace,1.9951,2.2115,-0.21639999999999993
int_18_trace,0.63,0.8395,-0.20950000000000002
compress_6_trace,1.6906,1.8941,-0.2034999999999998
web_22_trace,3.1805,3.3822,-0.2017000000000002
fp_3_trace,1.8233,2.0208,-0.1975
compress_4_trace,1.6297,1.825,-0.19530000000000003
compress_5_trace,1.7338,1.9284,-0.19459999999999988
fp_12_trace,1.0294,1.214,-0.18459999999999988
infra_2_trace,0.3041,0.4876,-0.1835
web_18_trace,2.6603,2.8365,-0.17620000000000013
media_3_trace,1.2256,1.4012,-0.17559999999999998
compress_0_trace,3.0968,3.2696,-0.17280000000000006
compress_1_trace,1.5125,1.6841,-0.17159999999999997
int_5_trace,2.7058,2.8583,-0.15249999999999986
fp_7_trace,0.9805,1.1295,-0.1489999999999999
media_0_trace,1.033,1.1819,-0.14890000000000003
int_26_trace,1.2045,1.3413,-0.13680000000000003
fp_2_trace,2.4245,2.5588,-0.13430000000000009
fp_11_trace,0.5646,0.6972,-0.13260000000000005
compress_2_trace,1.3543,1.4847,-0.13039999999999985
infra_12_trace,0.9525,1.0757,-0.12320000000000009
media_1_trace,1.0414,1.1588,-0.11739999999999995
infra_9_trace,4.4829,4.5987,-0.11580000000000013
infra_11_trace,0.9728,1.0839,-0.11110000000000009
infra_6_trace,1.1585,1.2615,-0.10299999999999998
int_3_trace,0.776,0.8721,-0.09609999999999996
web_0_trace,1.3079,1.4009,-0.09299999999999997
int_27_trace,0.782,0.8656,-0.08360000000000001
fp_6_trace,0.9122,0.9836,-0.07140000000000002
int_13_trace,0.8514,0.9185,-0.06709999999999994
infra_1_trace,0.2954,0.3581,-0.06269999999999998
fp_4_trace,0.5119,0.5742,-0.06230000000000002
int_24_trace,0.5127,0.5673,-0.05459999999999998
