trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,3.6875,7.4114,-3.7239000000000004
int_21_trace,21.6842,23.759,-2.0747999999999998
web_7_trace,4.3005,6.2471,-1.9465999999999992
fp_1_trace,14.9323,15.5798,-0.6475000000000009
int_2_trace,9.2321,9.8611,-0.6289999999999996
int_1_trace,9.7511,10.3681,-0.6170000000000009
int_30_trace,11.7569,12.2596,-0.5027000000000008
compress_3_trace,7.6547,8.1241,-0.46940000000000026
int_33_trace,7.2565,7.7135,-0.45699999999999985
infra_4_trace,2.0099,2.4276,-0.41769999999999996
int_29_trace,11.4097,11.8209,-0.4111999999999991
int_32_trace,6.3313,6.7235,-0.3921999999999999
infra_0_trace,0.9098,1.2549,-0.34509999999999985
infra_3_trace,0.6962,1.0277,-0.3315
int_4_trace,3.593,3.8634,-0.2704
int_23_trace,3.1675,3.4248,-0.25729999999999986
infra_13_trace,3.8347,4.0788,-0.24409999999999998
infra_7_trace,1.1914,1.4282,-0.2367999999999999
compress_7_trace,1.8067,2.0403,-0.2335999999999998
int_0_trace,4.8418,5.0702,-0.22839999999999971
fp_13_trace,12.2224,12.4478,-0.2254000000000005
infra_14_trace,5.0633,5.2881,-0.2248000000000001
infra_10_trace,5.0157,5.2366,-0.22090000000000032
fp_9_trace,4.0783,4.2942,-0.21590000000000042
int_11_trace,3.8873,4.0919,-0.20459999999999967
int_35_trace,2.0515,2.2559,-0.20440000000000014
infra_5_trace,1.9951,2.199,-0.20389999999999975
int_34_trace,2.7686,2.9654,-0.19679999999999964
int_28_trace,3.2288,3.4213,-0.1924999999999999
infra_15_trace,8.1676,8.3568,-0.1891999999999996
int_6_trace,2.7427,2.9258,-0.18310000000000004
compress_6_trace,1.6906,1.8737,-0.18309999999999982
compress_4_trace,1.6297,1.7948,-0.16510000000000002
compress_5_trace,1.7338,1.898,-0.1641999999999999
web_14_trace,3.4365,3.598,-0.16149999999999975
compress_1_trace,1.5125,1.6515,-0.139
int_5_trace,2.7058,2.838,-0.1322000000000001
compress_0_trace,3.0968,3.227,-0.13019999999999987
fp_3_trace,1.8233,1.9455,-0.12220000000000009
fp_2_trace,2.4245,2.5453,-0.12080000000000002
int_7_trace,4.3413,4.4556,-0.11429999999999918
infra_2_trace,0.3041,0.4135,-0.1094
