trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,3.6875,7.5897,-3.9021999999999997
web_7_trace,4.3005,7.5938,-3.2932999999999995
int_21_trace,21.6842,23.2648,-1.5806000000000004
int_16_trace,5.7002,6.814,-1.1138000000000003
int_17_trace,4.7567,5.4692,-0.7124999999999995
fp_1_trace,14.9323,15.524,-0.5916999999999994
int_30_trace,11.7569,12.2311,-0.47419999999999973
infra_4_trace,2.0099,2.3702,-0.36030000000000006
int_8_trace,5.7914,6.1344,-0.34299999999999997
int_29_trace,11.4097,11.7517,-0.34199999999999875
int_7_trace,4.3413,4.682,-0.3407
infra_3_trace,0.6962,1.019,-0.32279999999999986
infra_0_trace,0.9098,1.2135,-0.30369999999999997
int_9_trace,3.6499,3.9141,-0.26419999999999977
infra_7_trace,1.1914,1.445,-0.25360000000000005
fp_9_trace,4.0783,4.2939,-0.21560000000000024
infra_5_trace,1.9951,2.2083,-0.21319999999999983
int_20_trace,2.3305,2.5326,-0.20210000000000017
compress_7_trace,1.8067,2.0051,-0.19840000000000013
infra_13_trace,3.8347,4.0324,-0.19769999999999976
infra_2_trace,0.3041,0.4797,-0.17560000000000003
infra_14_trace,5.0633,5.2247,-0.16140000000000043
compress_6_trace,1.6906,1.8515,-0.16089999999999982
int_36_trace,2.9736,3.1277,-0.15410000000000013
infra_10_trace,5.0157,5.1697,-0.15399999999999991
int_18_trace,0.63,0.7793,-0.1493
compress_4_trace,1.6297,1.7784,-0.14870000000000005
compress_5_trace,1.7338,1.8814,-0.14759999999999995
compress_1_trace,1.5125,1.6407,-0.1282000000000001
infra_15_trace,8.1676,8.2957,-0.12809999999999988
fp_11_trace,0.5646,0.688,-0.12339999999999995
fp_10_trace,1.9757,2.0976,-0.1218999999999999
web_4_trace,4.0301,4.1487,-0.11859999999999982
web_19_trace,5.0857,5.1898,-0.10409999999999986
web_8_trace,4.6201,4.7212,-0.10109999999999975
web_25_trace,5.7401,5.8373,-0.09719999999999995
compress_0_trace,3.0968,3.1891,-0.09229999999999983
compress_2_trace,1.3543,1.443,-0.0887
web_20_trace,3.2357,3.3176,-0.08190000000000008
int_6_trace,2.7427,2.8209,-0.07819999999999983
web_13_trace,2.9155,2.9919,-0.07639999999999958
web_6_trace,4.5642,4.6389,-0.07469999999999999
web_18_trace,2.6603,2.7317,-0.07140000000000013
web_5_trace,4.3207,4.386,-0.06529999999999969
web_24_trace,1.6068,1.6677,-0.060899999999999954
web_15_trace,5.1194,5.1798,-0.06040000000000045
fp_4_trace,0.5119,0.5696,-0.057699999999999974
infra_1_trace,0.2954,0.3503,-0.054900000000000004
web_22_trace,3.1805,3.2276,-0.04709999999999992
int_4_trace,3.593,3.6396,-0.0466000000000002
fp_2_trace,2.4245,2.4614,-0.03689999999999971
infra_9_trace,4.4829,4.5178,-0.034900000000000375
int_3_trace,0.776,0.8104,-0.034399999999999986
int_10_trace,0.4966,0.5307,-0.034099999999999964
web_23_trace,0.9431,0.9747,-0.03159999999999996
int_15_trace,0.4318,0.4631,-0.031299999999999994
int_34_trace,2.7686,2.7982,-0.02959999999999985
infra_6_trace,1.1585,1.1873,-0.028799999999999937
int_19_trace,0.7603,0.7875,-0.027200000000000002
web_1_trace,3.1522,3.1778,-0.025599999999999845
infra_12_trace,0.9525,0.9752,-0.022699999999999942
