trace_name,MPKI_A,MPKI_B,delta
fp_8_trace,3.6875,7.6591,-3.9715999999999996
web_7_trace,4.3005,6.9881,-2.6875999999999998
int_1_trace,9.7511,11.6182,-1.8671000000000006
int_2_trace,9.2321,10.8678,-1.6357
int_21_trace,21.6842,23.2204,-1.536200000000001
int_22_trace,3.9029,5.247,-1.3441
fp_1_trace,14.9323,15.625,-0.6927000000000003
int_30_trace,11.7569,12.4295,-0.672600000000001
int_29_trace,11.4097,11.9748,-0.5650999999999993
fp_9_trace,4.0783,4.4698,-0.3915000000000006
fp_13_trace,12.2224,12.6051,-0.3826999999999998
infra_4_trace,2.0099,2.3511,-0.34120000000000017
compress_3_trace,7.6547,7.9811,-0.3263999999999996
infra_0_trace,0.9098,1.2289,-0.31910000000000005
infra_3_trace,0.6962,1.0074,-0.31120000000000003
int_16_trace,5.7002,6.0105,-0.3103000000000007
infra_13_trace,3.8347,4.1401,-0.3054000000000001
int_23_trace,3.1675,3.4717,-0.3041999999999998
int_7_trace,4.3413,4.6386,-0.2972999999999999
int_11_trace,3.8873,4.1844,-0.2970999999999999
infra_14_trace,5.0633,5.3572,-0.29389999999999983
int_9_trace,3.6499,3.9419,-0.2919999999999998
infra_10_trace,5.0157,5.3028,-0.2871000000000006
int_17_trace,4.7567,5.0345,-0.27780000000000005
infra_5_trace,1.9951,2.2723,-0.2771999999999999
int_4_trace,3.593,3.8687,-0.27570000000000006
infra_15_trace,8.1676,8.4228,-0.2552000000000003
int_32_trace,6.3313,6.5669,-0.2356000000000007
int_35_trace,2.0515,2.2847,-0.23320000000000007
int_6_trace,2.7427,2.9749,-0.23219999999999974
int_33_trace,7.2565,7.4723,-0.21579999999999977
web_14_trace,3.4365,3.6513,-0.21479999999999988
compress_7_trace,1.8067,2.021,-0.21429999999999993
int_8_trace,5.7914,5.9655,-0.17409999999999926
infra_2_trace,0.3041,0.4766,-0.17250000000000004
fp_3_trace,1.8233,1.9942,-0.17090000000000005
int_18_trace,0.63,0.8006,-0.17059999999999997
int_5_trace,2.7058,2.8708,-0.16500000000000004
web_15_trace,5.1194,5.2809,-0.1615000000000002
compress_6_trace,1.6906,1.8499,-0.1593
fp_2_trace,2.4245,2.5788,-0.1543000000000001
web_20_trace,3.2357,3.3873,-0.15160000000000018
int_31_trace,0.6026,0.7521,-0.14949999999999997
int_28_trace,3.2288,3.3729,-0.1440999999999999
compress_4_trace,1.6297,1.7729,-0.1432
infra_7_trace,1.1914,1.3292,-0.13779999999999992
compress_5_trace,1.7338,1.863,-0.12919999999999998
web_12_trace,3.8556,3.9832,-0.12760000000000016
web_11_trace,4.644,4.7711,-0.12709999999999955
int_20_trace,2.3305,2.4574,-0.1269
web_25_trace,5.7401,5.8643,-0.12420000000000009
compress_1_trace,1.5125,1.6289,-0.11640000000000006
int_34_trace,2.7686,2.8801,-0.11149999999999993
web_24_trace,1.6068,1.7147,-0.10789999999999988
infra_8_trace,1.2466,1.3508,-0.10420000000000007
web_19_trace,5.0857,5.1795,-0.09379999999999988
fp_7_trace,0.9805,1.0718,-0.09130000000000005
media_3_trace,1.2256,1.315,-0.08939999999999992
web_21_trace,1.4572,1.5466,-0.08939999999999992
int_26_trace,1.2045,1.2909,-0.08640000000000003
web_13_trace,2.9155,3.0009,-0.08539999999999992
fp_11_trace,0.5646,0.6464,-0.08179999999999998
media_0_trace,1.033,1.1127,-0.0797000000000001
compress_2_trace,1.3543,1.4278,-0.0734999999999999
infra_9_trace,4.4829,4.5559,-0.0730000000000004
web_1_trace,3.1522,3.2226,-0.0703999999999998
int_36_trace,2.9736,3.0431,-0.06950000000000012
fp_12_trace,1.0294,1.0914,-0.06199999999999983
web_18_trace,2.6603,2.7211,-0.060799999999999965
infra_1_trace,0.2954,0.3543,-0.05890000000000001
infra_12_trace,0.9525,1.0097,-0.05720000000000003
infra_11_trace,0.9728,1.0299,-0.05710000000000004
infra_6_trace,1.1585,1.2155,-0.05699999999999994
web_2_trace,3.7775,3.833,-0.05550000000000033
int_19_trace,0.7603,0.8155,-0.05520000000000003
int_27_trace,0.782,0.8364,-0.054400000000000004
web_17_trace,1.3943,1.4479,-0.05359999999999987
fp_6_trace,0.9122,0.9645,-0.05230000000000001
web_6_trace,4.5642,4.6115,-0.047300000000000786
fp_0_trace,3.2189,3.261,-0.042100000000000026
int_15_trace,0.4318,0.4732,-0.04139999999999999
media_1_trace,1.0414,1.0802,-0.038799999999999946
web_22_trace,3.1805,3.2192,-0.03869999999999996
web_16_trace,1.5812,1.617,-0.035800000000000054
web_23_trace,0.9431,0.9772,-0.03409999999999991
int_24_trace,0.5127,0.5457,-0.03299999999999992
web_3_trace,3.5768,3.6031,-0.02629999999999999
media_2_trace,0.5058,0.5319,-0.026100000000000012
int_12_trace,0.4177,0.4406,-0.022899999999999976
fp_4_trace,0.5119,0.5332,-0.021299999999999986
int_13_trace,0.8514,0.8664,-0.014999999999999902
web_4_trace,4.0301,4.0377,-0.007600000000000051
web_0_trace,1.3079,1.3145,-0.006599999999999939
int_14_trace,0.3713,0.3731,-0.0017999999999999683
int_10_trace,0.4966,0.4983,-0.0017000000000000348
int_25_trace,1.3232,1.3197,0.0034999999999998366
web_8_trace,4.6201,4.6116,0.00849999999999973
int_3_trace,0.776,0.763,0.013000000000000012
web_9_trace,2.5137,2.4984,0.01529999999999987
web_5_trace,4.3207,4.2907,0.03000000000000025
fp_10_trace,1.9757,1.9276,0.04810000000000003
web_10_trace,2.8319,2.7344,0.09750000000000014
compress_0_trace,3.0968,2.7349,0.3618999999999999
fp_5_trace,0.925,0.5128,0.4122
int_0_trace,4.8418,4.3111,0.5307000000000004
