trace_name,MPKI_A,MPKI_B,delta
int_16_trace,5.5268,5.8279,-0.3010999999999999
int_17_trace,4.6916,4.8436,-0.15200000000000014
web_7_trace,6.009,6.1046,-0.09559999999999924
fp_10_trace,1.9156,2.0052,-0.0895999999999999
int_36_trace,2.9342,3.0001,-0.06590000000000007
int_8_trace,5.7846,5.838,-0.05339999999999989
int_20_trace,2.3512,2.3835,-0.03230000000000022
web_11_trace,4.6736,4.7055,-0.03189999999999937
int_7_trace,4.3662,4.3978,-0.03160000000000007
infra_2_trace,0.4526,0.4805,-0.02789999999999998
infra_1_trace,0.3472,0.3743,-0.027100000000000013
int_9_trace,3.6406,3.6628,-0.022199999999999775
infra_5_trace,2.1961,2.2161,-0.020000000000000018
int_25_trace,1.3109,1.3297,-0.01880000000000015
web_9_trace,2.4648,2.4821,-0.017300000000000093
infra_8_trace,1.2477,1.2587,-0.010999999999999899
int_19_trace,0.7515,0.7618,-0.010300000000000087
web_5_trace,4.2642,4.2738,-0.009599999999999831
web_10_trace,2.8395,2.8471,-0.007600000000000051
web_13_trace,2.9537,2.9612,-0.00749999999999984
web_19_trace,5.0555,5.0628,-0.007299999999999862
fp_9_trace,4.1115,4.1168,-0.005299999999999194
web_8_trace,4.5731,4.5779,-0.004799999999999471
fp_12_trace,1.0944,1.0969,-0.0024999999999999467
int_10_trace,0.5221,0.5222,-9.999999999998899e-05
web_22_trace,3.2305,3.23,0.000500000000000167
media_2_trace,0.5065,0.5057,0.0007999999999999119
media_3_trace,1.2518,1.2465,0.005300000000000082
web_3_trace,3.5579,3.5523,0.005600000000000271
web_4_trace,4.0201,4.014,0.006099999999999994
int_14_trace,0.3844,0.3781,0.006300000000000028
infra_7_trace,1.4115,1.4041,0.007400000000000073
fp_0_trace,3.2242,3.2161,0.008100000000000218
int_15_trace,0.4705,0.462,0.008499999999999952
media_1_trace,1.0357,1.0257,0.010000000000000009
infra_0_trace,1.2553,1.2453,0.010000000000000009
web_18_trace,2.7196,2.7095,0.010099999999999998
media_0_trace,1.0617,1.0511,0.010600000000000165
fp_5_trace,0.9369,0.9252,0.011699999999999933
compress_7_trace,2.0384,2.0263,0.012100000000000222
int_5_trace,2.8367,2.8235,0.013199999999999878
infra_6_trace,1.2048,1.19,0.014800000000000146
int_6_trace,2.9419,2.927,0.014899999999999913
infra_3_trace,1.0284,1.0135,0.014899999999999913
web_16_trace,1.6055,1.5904,0.015099999999999891
int_31_trace,0.6166,0.6011,0.01550000000000007
compress_2_trace,1.4576,1.4407,0.016899999999999915
fp_2_trace,2.5507,2.5338,0.016900000000000137
compress_4_trace,1.8006,1.7816,0.018999999999999906
int_12_trace,0.424,0.4037,0.020299999999999985
compress_6_trace,1.8788,1.8582,0.02059999999999995
web_1_trace,3.2097,3.1889,0.020800000000000374
compress_5_trace,1.905,1.882,0.02300000000000013
web_6_trace,4.5613,4.5376,0.023699999999999832
web_0_trace,1.3299,1.3052,0.024700000000000166
compress_1_trace,1.658,1.633,0.02499999999999991
fp_3_trace,1.906,1.8767,0.02929999999999988
int_13_trace,0.8891,0.8585,0.03059999999999996
int_3_trace,0.8168,0.7862,0.03059999999999996
web_20_trace,3.1869,3.1562,0.03069999999999995
web_17_trace,1.4521,1.4197,0.032399999999999984
int_27_trace,0.8068,0.7727,0.03409999999999991
web_2_trace,3.7474,3.7103,0.03709999999999969
fp_7_trace,1.0028,0.9648,0.03799999999999992
infra_15_trace,8.3148,8.2764,0.038399999999999324
infra_4_trace,2.4266,2.3855,0.041100000000000136
web_15_trace,5.0656,5.0241,0.04150000000000009
fp_1_trace,15.5963,15.5537,0.04260000000000019
compress_0_trace,3.2129,3.1701,0.04279999999999973
int_26_trace,1.2387,1.195,0.04369999999999985
fp_6_trace,0.8987,0.855,0.04370000000000007
fp_4_trace,0.5696,0.5247,0.04489999999999994
infra_12_trace,0.9739,0.9276,0.04630000000000001
fp_11_trace,0.628,0.5807,0.04730000000000001
infra_11_trace,0.9942,0.9468,0.0474
web_23_trace,1.0101,0.9623,0.047799999999999954
infra_9_trace,4.5259,4.4643,0.06160000000000032
web_12_trace,3.9415,3.8768,0.0647000000000002
web_24_trace,1.6777,1.6105,0.06719999999999993
int_18_trace,0.7357,0.6654,0.07030000000000003
int_4_trace,3.7664,3.6946,0.07180000000000009
web_21_trace,1.5309,1.4569,0.07399999999999984
int_24_trace,0.5882,0.5115,0.07669999999999999
infra_10_trace,5.2213,5.1442,0.07710000000000061
infra_14_trace,5.2755,5.1953,0.0802000000000005
fp_8_trace,7.467,7.3856,0.08139999999999947
web_25_trace,5.7951,5.713,0.08209999999999962
int_23_trace,3.3888,3.3033,0.08549999999999969
infra_13_trace,4.063,3.9686,0.09439999999999982
int_34_trace,2.9562,2.8455,0.11070000000000002
fp_13_trace,12.4504,12.3153,0.13509999999999955
int_11_trace,4.0381,3.8809,0.1572
int_28_trace,3.3954,3.2163,0.17910000000000004
int_30_trace,12.1062,11.9056,0.20059999999999967
int_33_trace,7.6605,7.4416,0.21889999999999965
web_14_trace,3.6001,3.3625,0.23760000000000003
int_35_trace,2.2551,2.0167,0.23839999999999995
int_29_trace,11.716,11.4747,0.24129999999999896
int_32_trace,6.6269,6.3487,0.2782
int_0_trace,5.0346,4.7498,0.2848000000000006
compress_3_trace,8.1117,7.7625,0.3492000000000006
int_21_trace,23.7948,23.3263,0.4684999999999988
int_22_trace,4.8095,4.2827,0.5267999999999997
int_2_trace,10.7227,9.9876,0.7350999999999992
int_1_trace,11.4406,10.513,0.9276
