trace_name,MPKI_A,MPKI_B,delta
int_16_trace,5.5268,8.1005,-2.5737000000000005
web_7_trace,6.009,7.7208,-1.7117999999999993
int_17_trace,4.6916,6.3587,-1.6670999999999996
int_7_trace,4.3662,5.7956,-1.4294000000000002
int_8_trace,5.7846,7.163,-1.3784
int_9_trace,3.6406,4.8603,-1.2196999999999996
web_11_trace,4.6736,5.7855,-1.1118999999999994
int_36_trace,2.9342,3.9779,-1.0436999999999999
web_20_trace,3.1869,4.2048,-1.0178999999999996
web_15_trace,5.0656,6.0736,-1.008
web_19_trace,5.0555,6.0246,-0.9691000000000001
int_30_trace,12.1062,12.7675,-0.6613000000000007
int_29_trace,11.716,12.3072,-0.5912000000000006
int_22_trace,4.8095,5.3966,-0.5871000000000004
web_25_trace,5.7951,6.3681,-0.5730000000000004
web_8_trace,4.5731,5.1003,-0.5271999999999997
web_10_trace,2.8395,3.3555,-0.516
web_12_trace,3.9415,4.4179,-0.4764000000000004
web_9_trace,2.4648,2.9333,-0.46850000000000014
web_4_trace,4.0201,4.4589,-0.43879999999999963
fp_9_trace,4.1115,4.5477,-0.4361999999999995
web_13_trace,2.9537,3.3888,-0.4350999999999998
web_2_trace,3.7474,4.1788,-0.4314
web_5_trace,4.2642,4.6806,-0.4164000000000003
int_20_trace,2.3512,2.76,-0.40879999999999983
web_3_trace,3.5579,3.947,-0.3891
web_24_trace,1.6777,2.049,-0.37129999999999996
int_4_trace,3.7664,4.1305,-0.36409999999999965
web_6_trace,4.5613,4.9189,-0.3575999999999997
int_32_trace,6.6269,6.9621,-0.3352000000000004
web_1_trace,3.2097,3.5288,-0.3190999999999997
int_33_trace,7.6605,7.9657,-0.30520000000000014
web_17_trace,1.4521,1.7308,-0.27869999999999995
int_28_trace,3.3954,3.6692,-0.27380000000000004
web_16_trace,1.6055,1.8571,-0.25160000000000005
int_35_trace,2.2551,2.4776,-0.2224999999999997
int_31_trace,0.6166,0.833,-0.21639999999999993
web_21_trace,1.5309,1.7327,-0.20179999999999998
infra_13_trace,4.063,4.2496,-0.18660000000000032
int_11_trace,4.0381,4.2187,-0.1806000000000001
infra_15_trace,8.3148,8.4791,-0.16430000000000078
web_23_trace,1.0101,1.1653,-0.1552
