trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.009,6.2471,-0.2380999999999993
fp_9_trace,4.1115,4.2942,-0.18269999999999964
int_30_trace,12.1062,12.2596,-0.1534000000000013
int_16_trace,5.5268,5.6722,-0.14540000000000042
int_29_trace,11.716,11.8209,-0.10490000000000066
int_4_trace,3.7664,3.8634,-0.09699999999999998
int_32_trace,6.6269,6.7235,-0.09659999999999958
int_8_trace,5.7846,5.8786,-0.09399999999999942
int_7_trace,4.3662,4.4556,-0.08939999999999948
int_31_trace,0.6166,0.6936,-0.07699999999999996
int_9_trace,3.6406,3.7132,-0.0726
int_17_trace,4.6916,4.7592,-0.06759999999999966
int_11_trace,4.0381,4.0919,-0.05379999999999985
int_33_trace,7.6605,7.7135,-0.052999999999999936
web_20_trace,3.1869,3.2389,-0.052000000000000046
web_6_trace,4.5613,4.6074,-0.04610000000000003
web_2_trace,3.7474,3.7911,-0.043700000000000294
web_25_trace,5.7951,5.8386,-0.04349999999999987
media_1_trace,1.0357,1.0785,-0.04279999999999995
infra_15_trace,8.3148,8.3568,-0.041999999999999815
web_8_trace,4.5731,4.6136,-0.04049999999999976
fp_3_trace,1.906,1.9455,-0.03950000000000009
web_5_trace,4.2642,4.3019,-0.03770000000000007
media_3_trace,1.2518,1.2893,-0.03749999999999987
web_4_trace,4.0201,4.0569,-0.0367999999999995
int_23_trace,3.3888,3.4248,-0.03600000000000003
int_0_trace,5.0346,5.0702,-0.03559999999999963
web_19_trace,5.0555,5.0903,-0.03479999999999972
web_15_trace,5.0656,5.1,-0.034399999999999764
web_9_trace,2.4648,2.4984,-0.033600000000000296
web_3_trace,3.5579,3.59,-0.032099999999999795
int_36_trace,2.9342,2.9622,-0.028000000000000025
fp_7_trace,1.0028,1.0289,-0.026100000000000012
int_28_trace,3.3954,3.4213,-0.025900000000000034
int_26_trace,1.2387,1.2644,-0.025700000000000056
web_18_trace,2.7196,2.7449,-0.0253000000000001
fp_6_trace,0.8987,0.9236,-0.024899999999999922
fp_10_trace,1.9156,1.9399,-0.02429999999999999
media_0_trace,1.0617,1.0855,-0.02379999999999982
web_22_trace,3.2305,3.2539,-0.023399999999999643
media_2_trace,0.5065,0.5282,-0.021700000000000053
web_1_trace,3.2097,3.2294,-0.01969999999999983
infra_7_trace,1.4115,1.4282,-0.016699999999999937
infra_13_trace,4.063,4.0788,-0.01580000000000048
infra_10_trace,5.2213,5.2366,-0.01529999999999987
int_27_trace,0.8068,0.8212,-0.01440000000000008
compress_0_trace,3.2129,3.227,-0.014100000000000001
infra_14_trace,5.2755,5.2881,-0.012599999999999945
compress_3_trace,8.1117,8.1241,-0.012399999999999523
int_34_trace,2.9562,2.9654,-0.009199999999999875
int_19_trace,0.7515,0.7603,-0.00880000000000003
int_12_trace,0.424,0.4313,-0.007300000000000029
int_25_trace,1.3109,1.3181,-0.007200000000000095
infra_9_trace,4.5259,4.5315,-0.005600000000000271
fp_4_trace,0.5696,0.5749,-0.005299999999999971
int_3_trace,0.8168,0.8217,-0.0049000000000000155
infra_12_trace,0.9739,0.9772,-0.0032999999999999696
infra_6_trace,1.2048,1.208,-0.0031999999999998696
infra_5_trace,2.1961,2.199,-0.0028999999999999027
infra_11_trace,0.9942,0.9969,-0.0027000000000000357
fp_0_trace,3.2242,3.2262,-0.0019999999999997797
compress_7_trace,2.0384,2.0403,-0.0018999999999995687
infra_8_trace,1.2477,1.2493,-0.0016000000000000458
int_15_trace,0.4705,0.4719,-0.0014000000000000123
int_5_trace,2.8367,2.838,-0.0013000000000000789
infra_4_trace,2.4266,2.4276,-0.0009999999999998899
int_35_trace,2.2551,2.2559,-0.0007999999999999119
int_20_trace,2.3512,2.3513,-0.00010000000000021103
infra_0_trace,1.2553,1.2549,0.000400000000000178
compress_2_trace,1.4576,1.457,0.0005999999999999339
infra_3_trace,1.0284,1.0277,0.0006999999999999229
web_14_trace,3.6001,3.598,0.0020999999999999908
fp_13_trace,12.4504,12.4478,0.0025999999999992696
int_14_trace,0.3844,0.3815,0.0029000000000000137
web_13_trace,2.9537,2.9499,0.0038000000000000256
fp_5_trace,0.9369,0.9329,0.0040000000000000036
compress_6_trace,1.8788,1.8737,0.0051000000000001044
fp_2_trace,2.5507,2.5453,0.005399999999999849
compress_4_trace,1.8006,1.7948,0.005800000000000027
compress_1_trace,1.658,1.6515,0.00649999999999995
int_10_trace,0.5221,0.5155,0.00660000000000005
compress_5_trace,1.905,1.898,0.007000000000000117
infra_1_trace,0.3472,0.3399,0.007300000000000029
web_24_trace,1.6777,1.6661,0.011600000000000055
int_6_trace,2.9419,2.9258,0.01609999999999978
fp_1_trace,15.5963,15.5798,0.01649999999999885
int_18_trace,0.7357,0.7174,0.018299999999999983
web_16_trace,1.6055,1.5849,0.02059999999999995
web_0_trace,1.3299,1.3081,0.02180000000000004
web_10_trace,2.8395,2.8169,0.022600000000000176
web_21_trace,1.5309,1.5025,0.02839999999999998
web_17_trace,1.4521,1.4167,0.035399999999999876
int_21_trace,23.7948,23.759,0.03579999999999828
infra_2_trace,0.4526,0.4135,0.039100000000000024
web_23_trace,1.0101,0.9654,0.04469999999999996
fp_11_trace,0.628,0.5791,0.048900000000000055
fp_8_trace,7.467,7.4114,0.055599999999999206
web_11_trace,4.6736,4.6089,0.0647000000000002
web_12_trace,3.9415,3.8667,0.0748000000000002
int_24_trace,0.5882,0.4986,0.08959999999999996
int_13_trace,0.8891,0.7048,0.18430000000000002
fp_12_trace,1.0944,0.8206,0.27380000000000004
int_22_trace,4.8095,3.9788,0.8306999999999998
int_2_trace,10.7227,9.8611,0.8615999999999993
int_1_trace,11.4406,10.3681,1.0724999999999998
