trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.009,7.5938,-1.5847999999999995
int_16_trace,5.5268,6.814,-1.2872000000000003
int_17_trace,4.6916,5.4692,-0.7775999999999996
int_8_trace,5.7846,6.1344,-0.3498000000000001
int_7_trace,4.3662,4.682,-0.3158000000000003
int_9_trace,3.6406,3.9141,-0.27349999999999985
int_36_trace,2.9342,3.1277,-0.19349999999999978
fp_9_trace,4.1115,4.2939,-0.18239999999999945
fp_10_trace,1.9156,2.0976,-0.18199999999999994
int_20_trace,2.3512,2.5326,-0.1814
web_8_trace,4.5731,4.7212,-0.14809999999999945
web_19_trace,5.0555,5.1898,-0.13429999999999964
web_20_trace,3.1869,3.3176,-0.13070000000000004
web_4_trace,4.0201,4.1487,-0.1285999999999996
int_30_trace,12.1062,12.2311,-0.12490000000000023
fp_8_trace,7.467,7.5897,-0.12270000000000003
web_5_trace,4.2642,4.386,-0.12180000000000035
web_15_trace,5.0656,5.1798,-0.1142000000000003
web_6_trace,4.5613,4.6389,-0.07759999999999945
fp_11_trace,0.628,0.688,-0.05999999999999994
web_9_trace,2.4648,2.5177,-0.05290000000000017
web_2_trace,3.7474,3.7939,-0.046499999999999986
int_18_trace,0.7357,0.7793,-0.04359999999999997
web_25_trace,5.7951,5.8373,-0.04220000000000024
web_13_trace,2.9537,2.9919,-0.03819999999999979
int_19_trace,0.7515,0.7875,-0.03600000000000003
int_29_trace,11.716,11.7517,-0.03570000000000029
infra_7_trace,1.4115,1.445,-0.033500000000000085
infra_2_trace,0.4526,0.4797,-0.027100000000000013
web_3_trace,3.5579,3.5754,-0.01750000000000007
media_2_trace,0.5065,0.5231,-0.01660000000000006
int_25_trace,1.3109,1.3236,-0.012700000000000156
infra_5_trace,2.1961,2.2083,-0.012199999999999989
web_18_trace,2.7196,2.7317,-0.012100000000000222
int_10_trace,0.5221,0.5307,-0.008599999999999941
infra_8_trace,1.2477,1.252,-0.0042999999999999705
infra_1_trace,0.3472,0.3503,-0.0030999999999999917
infra_12_trace,0.9739,0.9752,-0.0012999999999999678
fp_4_trace,0.5696,0.5696,0.0
infra_11_trace,0.9942,0.9933,0.0009000000000000119
int_14_trace,0.3844,0.3832,0.0012000000000000344
web_22_trace,3.2305,3.2276,0.0029000000000003467
web_10_trace,2.8395,2.834,0.00550000000000006
int_3_trace,0.8168,0.8104,0.006399999999999961
int_15_trace,0.4705,0.4631,0.007399999999999962
fp_0_trace,3.2242,3.2165,0.007700000000000262
infra_9_trace,4.5259,4.5178,0.008099999999999774
infra_3_trace,1.0284,1.019,0.009400000000000075
web_24_trace,1.6777,1.6677,0.010000000000000009
compress_2_trace,1.4576,1.443,0.014599999999999946
fp_5_trace,0.9369,0.9212,0.015699999999999936
int_12_trace,0.424,0.4069,0.017100000000000004
compress_1_trace,1.658,1.6407,0.01729999999999987
infra_6_trace,1.2048,1.1873,0.01750000000000007
infra_15_trace,8.3148,8.2957,0.019099999999999895
compress_4_trace,1.8006,1.7784,0.022199999999999998
compress_5_trace,1.905,1.8814,0.023600000000000065
compress_0_trace,3.2129,3.1891,0.023800000000000043
fp_7_trace,1.0028,0.9759,0.026899999999999924
compress_6_trace,1.8788,1.8515,0.027300000000000102
infra_13_trace,4.063,4.0324,0.03059999999999974
web_1_trace,3.2097,3.1778,0.03190000000000026
compress_7_trace,2.0384,2.0051,0.03330000000000011
web_23_trace,1.0101,0.9747,0.03539999999999999
infra_0_trace,1.2553,1.2135,0.04180000000000006
web_11_trace,4.6736,4.6299,0.043700000000000294
media_1_trace,1.0357,0.9916,0.04410000000000003
int_27_trace,0.8068,0.7625,0.044300000000000006
web_16_trace,1.6055,1.561,0.044499999999999984
web_17_trace,1.4521,1.4043,0.04779999999999984
infra_14_trace,5.2755,5.2247,0.050799999999999734
infra_10_trace,5.2213,5.1697,0.051600000000000534
infra_4_trace,2.4266,2.3702,0.056400000000000006
web_0_trace,1.3299,1.2718,0.05810000000000004
int_31_trace,0.6166,0.5529,0.06370000000000009
int_26_trace,1.2387,1.1711,0.06759999999999988
media_0_trace,1.0617,0.9918,0.06990000000000007
web_21_trace,1.5309,1.4603,0.0706
fp_1_trace,15.5963,15.524,0.07230000000000025
fp_6_trace,0.8987,0.8251,0.07360000000000011
media_3_trace,1.2518,1.1746,0.07719999999999994
web_12_trace,3.9415,3.855,0.08650000000000002
fp_2_trace,2.5507,2.4614,0.08930000000000016
fp_3_trace,1.906,1.8114,0.09460000000000002
int_24_trace,0.5882,0.4935,0.09469999999999995
int_6_trace,2.9419,2.8209,0.121
int_13_trace,0.8891,0.7659,0.12319999999999998
int_4_trace,3.7664,3.6396,0.1267999999999998
int_5_trace,2.8367,2.7096,0.1271
int_34_trace,2.9562,2.7982,0.15799999999999992
int_11_trace,4.0381,3.8485,0.1896
int_23_trace,3.3888,3.1809,0.20789999999999997
int_28_trace,3.3954,3.1619,0.23349999999999982
web_14_trace,3.6001,3.3479,0.25219999999999976
int_0_trace,5.0346,4.7547,0.2799000000000005
int_35_trace,2.2551,1.9749,0.2802
fp_12_trace,1.0944,0.7924,0.30200000000000005
fp_13_trace,12.4504,12.1305,0.3199000000000005
compress_3_trace,8.1117,7.6342,0.4775000000000009
int_33_trace,7.6605,7.1681,0.49239999999999995
int_21_trace,23.7948,23.2648,0.5299999999999976
int_32_trace,6.6269,5.9951,0.6318000000000001
int_22_trace,4.8095,3.5724,1.2370999999999999
int_2_trace,10.7227,8.6194,2.103299999999999
int_1_trace,11.4406,9.0328,2.4078
