trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.009,6.9881,-0.9790999999999999
int_16_trace,5.5268,6.0105,-0.4837000000000007
int_22_trace,4.8095,5.247,-0.4375
fp_9_trace,4.1115,4.4698,-0.35829999999999984
int_17_trace,4.6916,5.0345,-0.3429000000000002
int_30_trace,12.1062,12.4295,-0.3233000000000015
int_9_trace,3.6406,3.9419,-0.3012999999999999
int_7_trace,4.3662,4.6386,-0.2724000000000002
int_29_trace,11.716,11.9748,-0.2588000000000008
web_15_trace,5.0656,5.2809,-0.21530000000000005
web_20_trace,3.1869,3.3873,-0.20040000000000013
fp_8_trace,7.467,7.6591,-0.19209999999999994
int_8_trace,5.7846,5.9655,-0.1808999999999994
int_1_trace,11.4406,11.6182,-0.17759999999999998
fp_13_trace,12.4504,12.6051,-0.15470000000000006
int_11_trace,4.0381,4.1844,-0.1463000000000001
int_2_trace,10.7227,10.8678,-0.14510000000000112
int_31_trace,0.6166,0.7521,-0.13549999999999995
web_19_trace,5.0555,5.1795,-0.12399999999999967
int_36_trace,2.9342,3.0431,-0.10889999999999977
infra_15_trace,8.3148,8.4228,-0.10800000000000054
int_20_trace,2.3512,2.4574,-0.10619999999999985
infra_8_trace,1.2477,1.3508,-0.10309999999999997
int_4_trace,3.7664,3.8687,-0.10230000000000006
web_11_trace,4.6736,4.7711,-0.09749999999999925
fp_3_trace,1.906,1.9942,-0.08820000000000006
web_2_trace,3.7474,3.833,-0.08560000000000034
int_23_trace,3.3888,3.4717,-0.08289999999999997
infra_14_trace,5.2755,5.3572,-0.08169999999999966
infra_10_trace,5.2213,5.3028,-0.08150000000000013
infra_13_trace,4.063,4.1401,-0.07710000000000061
infra_5_trace,2.1961,2.2723,-0.07620000000000005
web_25_trace,5.7951,5.8643,-0.06920000000000037
fp_7_trace,1.0028,1.0718,-0.06900000000000017
fp_6_trace,0.8987,0.9645,-0.06579999999999997
int_18_trace,0.7357,0.8006,-0.06489999999999996
int_19_trace,0.7515,0.8155,-0.06400000000000006
media_3_trace,1.2518,1.315,-0.06319999999999992
int_26_trace,1.2387,1.2909,-0.052200000000000024
web_14_trace,3.6001,3.6513,-0.051200000000000134
media_0_trace,1.0617,1.1127,-0.050999999999999934
web_6_trace,4.5613,4.6115,-0.050200000000000244
web_13_trace,2.9537,3.0009,-0.04720000000000013
web_3_trace,3.5579,3.6031,-0.04519999999999991
media_1_trace,1.0357,1.0802,-0.044499999999999984
web_12_trace,3.9415,3.9832,-0.04170000000000007
web_8_trace,4.5731,4.6116,-0.03849999999999998
web_24_trace,1.6777,1.7147,-0.03699999999999992
fp_0_trace,3.2242,3.261,-0.036799999999999944
infra_12_trace,0.9739,1.0097,-0.035800000000000054
infra_11_trace,0.9942,1.0299,-0.035700000000000065
int_5_trace,2.8367,2.8708,-0.03410000000000002
web_9_trace,2.4648,2.4984,-0.033600000000000296
int_6_trace,2.9419,2.9749,-0.03299999999999992
infra_9_trace,4.5259,4.5559,-0.03000000000000025
int_27_trace,0.8068,0.8364,-0.02960000000000007
int_35_trace,2.2551,2.2847,-0.02959999999999985
fp_1_trace,15.5963,15.625,-0.028700000000000614
fp_2_trace,2.5507,2.5788,-0.028100000000000236
web_5_trace,4.2642,4.2907,-0.026500000000000412
media_2_trace,0.5065,0.5319,-0.02540000000000009
infra_2_trace,0.4526,0.4766,-0.02400000000000002
fp_11_trace,0.628,0.6464,-0.018399999999999972
web_4_trace,4.0201,4.0377,-0.017599999999999838
int_12_trace,0.424,0.4406,-0.016600000000000004
web_21_trace,1.5309,1.5466,-0.015700000000000047
web_1_trace,3.2097,3.2226,-0.01289999999999969
fp_10_trace,1.9156,1.9276,-0.01200000000000001
web_16_trace,1.6055,1.617,-0.011500000000000066
infra_6_trace,1.2048,1.2155,-0.010699999999999932
int_25_trace,1.3109,1.3197,-0.008800000000000141
infra_1_trace,0.3472,0.3543,-0.007099999999999995
int_15_trace,0.4705,0.4732,-0.0027000000000000357
web_18_trace,2.7196,2.7211,-0.0015000000000000568
fp_12_trace,1.0944,1.0914,0.0030000000000001137
web_17_trace,1.4521,1.4479,0.0041999999999999815
int_14_trace,0.3844,0.3731,0.011300000000000032
web_22_trace,3.2305,3.2192,0.01130000000000031
web_0_trace,1.3299,1.3145,0.01540000000000008
compress_7_trace,2.0384,2.021,0.017400000000000304
infra_3_trace,1.0284,1.0074,0.020999999999999908
int_28_trace,3.3954,3.3729,0.022499999999999964
int_13_trace,0.8891,0.8664,0.022700000000000053
int_10_trace,0.5221,0.4983,0.023799999999999988
infra_0_trace,1.2553,1.2289,0.02639999999999998
compress_4_trace,1.8006,1.7729,0.027700000000000058
compress_6_trace,1.8788,1.8499,0.028899999999999926
compress_1_trace,1.658,1.6289,0.029099999999999904
compress_2_trace,1.4576,1.4278,0.02980000000000005
web_23_trace,1.0101,0.9772,0.03290000000000004
fp_4_trace,0.5696,0.5332,0.03639999999999999
compress_5_trace,1.905,1.863,0.04200000000000004
int_24_trace,0.5882,0.5457,0.04249999999999998
int_3_trace,0.8168,0.763,0.05379999999999996
int_32_trace,6.6269,6.5669,0.05999999999999961
infra_4_trace,2.4266,2.3511,0.0754999999999999
int_34_trace,2.9562,2.8801,0.07609999999999983
infra_7_trace,1.4115,1.3292,0.08230000000000004
