trace_name,MPKI_A,MPKI_B,delta
int_16_trace,5.8279,8.1005,-2.2726000000000006
web_7_trace,6.1046,7.7208,-1.6162
int_17_trace,4.8436,6.3587,-1.5150999999999994
int_7_trace,4.3978,5.7956,-1.3978000000000002
int_8_trace,5.838,7.163,-1.3250000000000002
int_9_trace,3.6628,4.8603,-1.1974999999999998
int_22_trace,4.2827,5.3966,-1.1139000000000001
web_11_trace,4.7055,5.7855,-1.08
web_15_trace,5.0241,6.0736,-1.0495
web_20_trace,3.1562,4.2048,-1.0485999999999995
int_36_trace,3.0001,3.9779,-0.9777999999999998
web_19_trace,5.0628,6.0246,-0.9618000000000002
int_30_trace,11.9056,12.7675,-0.8619000000000003
int_29_trace,11.4747,12.3072,-0.8324999999999996
web_25_trace,5.713,6.3681,-0.6551
int_32_trace,6.3487,6.9621,-0.6134000000000004
web_12_trace,3.8768,4.4179,-0.5411000000000006
int_33_trace,7.4416,7.9657,-0.5240999999999998
web_8_trace,4.5779,5.1003,-0.5224000000000002
web_10_trace,2.8471,3.3555,-0.5084
web_2_trace,3.7103,4.1788,-0.4684999999999997
compress_3_trace,7.7625,8.231,-0.4684999999999997
int_35_trace,2.0167,2.4776,-0.46089999999999964
int_28_trace,3.2163,3.6692,-0.4529000000000001
web_9_trace,2.4821,2.9333,-0.45120000000000005
web_4_trace,4.014,4.4589,-0.44489999999999963
web_24_trace,1.6105,2.049,-0.4384999999999999
int_4_trace,3.6946,4.1305,-0.43589999999999973
fp_9_trace,4.1168,4.5477,-0.4309000000000003
web_13_trace,2.9612,3.3888,-0.4276
web_5_trace,4.2738,4.6806,-0.4068000000000005
web_3_trace,3.5523,3.947,-0.3947000000000003
int_0_trace,4.7498,5.1331,-0.3833000000000002
web_6_trace,4.5376,4.9189,-0.38129999999999953
int_20_trace,2.3835,2.76,-0.3764999999999996
web_1_trace,3.1889,3.5288,-0.3399000000000001
int_11_trace,3.8809,4.2187,-0.3378000000000001
web_17_trace,1.4197,1.7308,-0.31109999999999993
