trace_name,MPKI_A,MPKI_B,delta
int_21_trace,23.3263,23.759,-0.43270000000000053
int_32_trace,6.3487,6.7235,-0.3747999999999996
compress_3_trace,7.7625,8.1241,-0.36160000000000014
int_30_trace,11.9056,12.2596,-0.354000000000001
int_29_trace,11.4747,11.8209,-0.3461999999999996
int_0_trace,4.7498,5.0702,-0.32040000000000024
int_33_trace,7.4416,7.7135,-0.2718999999999996
int_35_trace,2.0167,2.2559,-0.23919999999999986
web_14_trace,3.3625,3.598,-0.23550000000000004
int_11_trace,3.8809,4.0919,-0.21099999999999985
int_28_trace,3.2163,3.4213,-0.20500000000000007
fp_9_trace,4.1168,4.2942,-0.17740000000000045
int_4_trace,3.6946,3.8634,-0.16880000000000006
web_7_trace,6.1046,6.2471,-0.14250000000000007
fp_13_trace,12.3153,12.4478,-0.13250000000000028
web_25_trace,5.713,5.8386,-0.1255999999999995
int_23_trace,3.3033,3.4248,-0.12149999999999972
int_34_trace,2.8455,2.9654,-0.1198999999999999
infra_13_trace,3.9686,4.0788,-0.1102000000000003
infra_14_trace,5.1953,5.2881,-0.09280000000000044
int_31_trace,0.6011,0.6936,-0.09250000000000003
infra_10_trace,5.1442,5.2366,-0.09240000000000048
web_20_trace,3.1562,3.2389,-0.0827
web_2_trace,3.7103,3.7911,-0.08079999999999998
infra_15_trace,8.2764,8.3568,-0.08039999999999914
web_15_trace,5.0241,5.1,-0.07589999999999986
web_6_trace,4.5376,4.6074,-0.06979999999999986
int_26_trace,1.195,1.2644,-0.0693999999999999
fp_3_trace,1.8767,1.9455,-0.06879999999999997
fp_6_trace,0.855,0.9236,-0.0686
infra_9_trace,4.4643,4.5315,-0.06720000000000059
fp_7_trace,0.9648,1.0289,-0.06409999999999993
int_7_trace,4.3978,4.4556,-0.05779999999999941
compress_0_trace,3.1701,3.227,-0.05689999999999973
web_24_trace,1.6105,1.6661,-0.05559999999999987
media_1_trace,1.0257,1.0785,-0.05279999999999996
int_18_trace,0.6654,0.7174,-0.052000000000000046
int_9_trace,3.6628,3.7132,-0.05040000000000022
fp_4_trace,0.5247,0.5749,-0.05019999999999991
infra_11_trace,0.9468,0.9969,-0.05010000000000003
infra_12_trace,0.9276,0.9772,-0.04959999999999998
int_27_trace,0.7727,0.8212,-0.04849999999999999
web_21_trace,1.4569,1.5025,-0.04559999999999986
web_4_trace,4.014,4.0569,-0.042899999999999494
media_3_trace,1.2465,1.2893,-0.04279999999999995
infra_4_trace,2.3855,2.4276,-0.042100000000000026
int_8_trace,5.838,5.8786,-0.040599999999999525
web_1_trace,3.1889,3.2294,-0.0405000000000002
web_3_trace,3.5523,3.59,-0.03770000000000007
web_8_trace,4.5779,4.6136,-0.03570000000000029
int_3_trace,0.7862,0.8217,-0.035499999999999976
web_18_trace,2.7095,2.7449,-0.0354000000000001
media_0_trace,1.0511,1.0855,-0.034399999999999986
web_5_trace,4.2738,4.3019,-0.028100000000000236
int_12_trace,0.4037,0.4313,-0.027600000000000013
web_19_trace,5.0628,5.0903,-0.027499999999999858
fp_1_trace,15.5537,15.5798,-0.026100000000001344
fp_8_trace,7.3856,7.4114,-0.025800000000000267
infra_7_trace,1.4041,1.4282,-0.02410000000000001
web_22_trace,3.23,3.2539,-0.02389999999999981
media_2_trace,0.5057,0.5282,-0.022499999999999964
compress_1_trace,1.633,1.6515,-0.01849999999999996
infra_6_trace,1.19,1.208,-0.018000000000000016
web_9_trace,2.4821,2.4984,-0.016300000000000203
compress_2_trace,1.4407,1.457,-0.01629999999999998
compress_5_trace,1.882,1.898,-0.016000000000000014
compress_6_trace,1.8582,1.8737,-0.015499999999999847
int_5_trace,2.8235,2.838,-0.014499999999999957
infra_3_trace,1.0135,1.0277,-0.01419999999999999
compress_7_trace,2.0263,2.0403,-0.01399999999999979
compress_4_trace,1.7816,1.7948,-0.013199999999999878
fp_2_trace,2.5338,2.5453,-0.011500000000000288
fp_0_trace,3.2161,3.2262,-0.010099999999999998
int_15_trace,0.462,0.4719,-0.009899999999999964
infra_0_trace,1.2453,1.2549,-0.009599999999999831
fp_5_trace,0.9252,0.9329,-0.007699999999999929
int_14_trace,0.3781,0.3815,-0.003400000000000014
web_23_trace,0.9623,0.9654,-0.0030999999999999917
web_0_trace,1.3052,1.3081,-0.0029000000000001247
int_6_trace,2.927,2.9258,0.0011999999999998678
