trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.1046,7.5938,-1.4892000000000003
int_16_trace,5.8279,6.814,-0.9861000000000004
int_17_trace,4.8436,5.4692,-0.6255999999999995
int_30_trace,11.9056,12.2311,-0.3254999999999999
int_8_trace,5.838,6.1344,-0.2964000000000002
int_7_trace,4.3978,4.682,-0.28420000000000023
int_29_trace,11.4747,11.7517,-0.27699999999999925
int_9_trace,3.6628,3.9141,-0.2513000000000001
fp_8_trace,7.3856,7.5897,-0.2040999999999995
fp_9_trace,4.1168,4.2939,-0.17710000000000026
web_20_trace,3.1562,3.3176,-0.1614
web_15_trace,5.0241,5.1798,-0.1557000000000004
int_20_trace,2.3835,2.5326,-0.1490999999999998
web_8_trace,4.5779,4.7212,-0.14329999999999998
web_4_trace,4.014,4.1487,-0.1346999999999996
int_36_trace,3.0001,3.1277,-0.1275999999999997
web_19_trace,5.0628,5.1898,-0.12699999999999978
web_25_trace,5.713,5.8373,-0.12429999999999986
int_18_trace,0.6654,0.7793,-0.1139
web_5_trace,4.2738,4.386,-0.11220000000000052
fp_11_trace,0.5807,0.688,-0.10729999999999995
web_6_trace,4.5376,4.6389,-0.10129999999999928
fp_10_trace,2.0052,2.0976,-0.09240000000000004
web_2_trace,3.7103,3.7939,-0.08359999999999967
infra_13_trace,3.9686,4.0324,-0.06380000000000008
web_24_trace,1.6105,1.6677,-0.05719999999999992
infra_9_trace,4.4643,4.5178,-0.05350000000000055
infra_12_trace,0.9276,0.9752,-0.047599999999999976
infra_11_trace,0.9468,0.9933,-0.046499999999999986
fp_4_trace,0.5247,0.5696,-0.04489999999999994
infra_7_trace,1.4041,1.445,-0.04090000000000016
web_9_trace,2.4821,2.5177,-0.035600000000000076
web_13_trace,2.9612,2.9919,-0.03069999999999995
infra_14_trace,5.1953,5.2247,-0.02940000000000076
int_19_trace,0.7618,0.7875,-0.025699999999999945
infra_10_trace,5.1442,5.1697,-0.025500000000000078
int_3_trace,0.7862,0.8104,-0.0242
web_3_trace,3.5523,3.5754,-0.023100000000000342
web_18_trace,2.7095,2.7317,-0.02220000000000022
infra_15_trace,8.2764,8.2957,-0.01929999999999943
compress_0_trace,3.1701,3.1891,-0.018999999999999684
media_2_trace,0.5057,0.5231,-0.01739999999999997
web_23_trace,0.9623,0.9747,-0.012399999999999967
fp_7_trace,0.9648,0.9759,-0.011099999999999999
int_10_trace,0.5222,0.5307,-0.008499999999999952
compress_1_trace,1.633,1.6407,-0.00770000000000004
infra_3_trace,1.0135,1.019,-0.005499999999999838
int_14_trace,0.3781,0.3832,-0.005099999999999993
int_0_trace,4.7498,4.7547,-0.0049000000000001265
web_21_trace,1.4569,1.4603,-0.0033999999999998476
int_12_trace,0.4037,0.4069,-0.0031999999999999806
compress_2_trace,1.4407,1.443,-0.0022999999999999687
int_15_trace,0.462,0.4631,-0.0010999999999999899
fp_0_trace,3.2161,3.2165,-0.00039999999999995595
compress_5_trace,1.882,1.8814,0.0005999999999999339
infra_2_trace,0.4805,0.4797,0.0007999999999999674
web_22_trace,3.23,3.2276,0.0024000000000001798
infra_6_trace,1.19,1.1873,0.0026999999999999247
compress_4_trace,1.7816,1.7784,0.0032000000000000917
fp_5_trace,0.9252,0.9212,0.0040000000000000036
int_25_trace,1.3297,1.3236,0.006099999999999994
infra_8_trace,1.2587,1.252,0.006699999999999928
compress_6_trace,1.8582,1.8515,0.00670000000000015
infra_5_trace,2.2161,2.2083,0.007800000000000029
int_27_trace,0.7727,0.7625,0.010200000000000098
web_1_trace,3.1889,3.1778,0.011099999999999888
web_10_trace,2.8471,2.834,0.013100000000000112
web_14_trace,3.3625,3.3479,0.014599999999999724
infra_4_trace,2.3855,2.3702,0.01529999999999987
web_17_trace,1.4197,1.4043,0.015399999999999858
int_24_trace,0.5115,0.4935,0.01799999999999996
compress_7_trace,2.0263,2.0051,0.021199999999999886
web_12_trace,3.8768,3.855,0.02179999999999982
int_26_trace,1.195,1.1711,0.023900000000000032
infra_1_trace,0.3743,0.3503,0.02400000000000002
web_16_trace,1.5904,1.561,0.029400000000000093
fp_1_trace,15.5537,15.524,0.02970000000000006
fp_6_trace,0.855,0.8251,0.029900000000000038
infra_0_trace,1.2453,1.2135,0.03180000000000005
int_11_trace,3.8809,3.8485,0.032399999999999984
web_0_trace,1.3052,1.2718,0.033399999999999874
media_1_trace,1.0257,0.9916,0.03410000000000002
int_35_trace,2.0167,1.9749,0.04180000000000006
int_34_trace,2.8455,2.7982,0.0472999999999999
int_31_trace,0.6011,0.5529,0.04820000000000002
