trace_name,MPKI_A,MPKI_B,delta
int_1_trace,10.513,11.6182,-1.1052
int_22_trace,4.2827,5.247,-0.9642999999999997
web_7_trace,6.1046,6.9881,-0.8835000000000006
int_2_trace,9.9876,10.8678,-0.8802000000000003
int_30_trace,11.9056,12.4295,-0.5239000000000011
int_29_trace,11.4747,11.9748,-0.5000999999999998
fp_9_trace,4.1168,4.4698,-0.35300000000000065
int_11_trace,3.8809,4.1844,-0.3035000000000001
fp_13_trace,12.3153,12.6051,-0.2897999999999996
web_14_trace,3.3625,3.6513,-0.28880000000000017
int_9_trace,3.6628,3.9419,-0.2791000000000001
fp_8_trace,7.3856,7.6591,-0.2734999999999994
int_35_trace,2.0167,2.2847,-0.2679999999999998
web_15_trace,5.0241,5.2809,-0.25680000000000014
int_7_trace,4.3978,4.6386,-0.24080000000000013
web_20_trace,3.1562,3.3873,-0.23110000000000008
compress_3_trace,7.7625,7.9811,-0.21859999999999946
int_32_trace,6.3487,6.5669,-0.2182000000000004
int_17_trace,4.8436,5.0345,-0.19090000000000007
int_16_trace,5.8279,6.0105,-0.18260000000000076
int_4_trace,3.6946,3.8687,-0.17410000000000014
infra_13_trace,3.9686,4.1401,-0.17150000000000043
int_23_trace,3.3033,3.4717,-0.16839999999999966
infra_14_trace,5.1953,5.3572,-0.16190000000000015
infra_10_trace,5.1442,5.3028,-0.15860000000000074
int_28_trace,3.2163,3.3729,-0.15660000000000007
web_25_trace,5.713,5.8643,-0.1513
int_31_trace,0.6011,0.7521,-0.15100000000000002
infra_15_trace,8.2764,8.4228,-0.14639999999999986
int_18_trace,0.6654,0.8006,-0.1352
int_8_trace,5.838,5.9655,-0.1274999999999995
web_2_trace,3.7103,3.833,-0.12270000000000003
fp_3_trace,1.8767,1.9942,-0.11749999999999994
web_19_trace,5.0628,5.1795,-0.1166999999999998
fp_6_trace,0.855,0.9645,-0.10950000000000004
fp_7_trace,0.9648,1.0718,-0.1070000000000001
web_12_trace,3.8768,3.9832,-0.10640000000000027
web_24_trace,1.6105,1.7147,-0.10419999999999985
int_26_trace,1.195,1.2909,-0.09589999999999987
infra_8_trace,1.2587,1.3508,-0.09210000000000007
infra_9_trace,4.4643,4.5559,-0.09160000000000057
web_21_trace,1.4569,1.5466,-0.08969999999999989
infra_11_trace,0.9468,1.0299,-0.08310000000000006
infra_12_trace,0.9276,1.0097,-0.08210000000000006
web_6_trace,4.5376,4.6115,-0.07390000000000008
int_20_trace,2.3835,2.4574,-0.07389999999999963
fp_1_trace,15.5537,15.625,-0.07130000000000081
media_3_trace,1.2465,1.315,-0.0685
fp_11_trace,0.5807,0.6464,-0.06569999999999998
web_11_trace,4.7055,4.7711,-0.06559999999999988
int_27_trace,0.7727,0.8364,-0.06369999999999998
media_0_trace,1.0511,1.1127,-0.0616000000000001
infra_5_trace,2.2161,2.2723,-0.05620000000000003
media_1_trace,1.0257,1.0802,-0.05449999999999999
int_19_trace,0.7618,0.8155,-0.05369999999999997
web_3_trace,3.5523,3.6031,-0.05080000000000018
int_6_trace,2.927,2.9749,-0.04789999999999983
int_5_trace,2.8235,2.8708,-0.0472999999999999
fp_2_trace,2.5338,2.5788,-0.04500000000000037
fp_0_trace,3.2161,3.261,-0.04490000000000016
int_36_trace,3.0001,3.0431,-0.042999999999999705
web_13_trace,2.9612,3.0009,-0.03970000000000029
int_12_trace,0.4037,0.4406,-0.03689999999999999
int_34_trace,2.8455,2.8801,-0.034600000000000186
int_24_trace,0.5115,0.5457,-0.03420000000000001
web_8_trace,4.5779,4.6116,-0.03370000000000051
web_1_trace,3.1889,3.2226,-0.03370000000000006
int_33_trace,7.4416,7.4723,-0.030699999999999505
web_17_trace,1.4197,1.4479,-0.028200000000000003
web_16_trace,1.5904,1.617,-0.026599999999999957
media_2_trace,0.5057,0.5319,-0.0262
infra_6_trace,1.19,1.2155,-0.025500000000000078
web_4_trace,4.014,4.0377,-0.023699999999999832
web_5_trace,4.2738,4.2907,-0.01690000000000058
web_9_trace,2.4821,2.4984,-0.016300000000000203
web_23_trace,0.9623,0.9772,-0.014899999999999913
web_18_trace,2.7095,2.7211,-0.011600000000000055
int_15_trace,0.462,0.4732,-0.011199999999999988
web_0_trace,1.3052,1.3145,-0.009300000000000086
fp_4_trace,0.5247,0.5332,-0.008499999999999952
int_13_trace,0.8585,0.8664,-0.007899999999999907
infra_2_trace,0.4805,0.4766,0.003899999999999959
compress_1_trace,1.633,1.6289,0.0040999999999999925
int_14_trace,0.3781,0.3731,0.0050000000000000044
compress_7_trace,2.0263,2.021,0.005300000000000082
fp_12_trace,1.0969,1.0914,0.00550000000000006
infra_3_trace,1.0135,1.0074,0.006099999999999994
compress_6_trace,1.8582,1.8499,0.008299999999999974
