trace_name,MPKI_A,MPKI_B,delta
int_21_trace,15.7181,23.759,-8.0409
fp_13_trace,8.9772,12.4478,-3.470600000000001
fp_8_trace,5.2985,7.4114,-2.1129000000000007
int_1_trace,9.2211,10.3681,-1.1470000000000002
int_2_trace,8.727,9.8611,-1.1341
int_19_trace,0.6642,0.7603,-0.09609999999999996
fp_10_trace,1.8923,1.9399,-0.047599999999999865
media_2_trace,0.5226,0.5282,-0.005600000000000049
fp_4_trace,0.5742,0.5749,-0.0006999999999999229
fp_0_trace,3.227,3.2262,0.0007999999999999119
fp_1_trace,15.5816,15.5798,0.0017999999999993577
fp_5_trace,0.9361,0.9329,0.0032000000000000917
int_25_trace,1.3214,1.3181,0.0032999999999998586
infra_8_trace,1.2565,1.2493,0.007199999999999873
int_15_trace,0.4797,0.4719,0.007800000000000029
compress_7_trace,2.0491,2.0403,0.008800000000000363
infra_5_trace,2.2115,2.199,0.012500000000000178
fp_2_trace,2.5588,2.5453,0.013500000000000068
int_14_trace,0.3952,0.3815,0.01369999999999999
infra_1_trace,0.3581,0.3399,0.018199999999999994
int_5_trace,2.8583,2.838,0.020299999999999763
compress_6_trace,1.8941,1.8737,0.020399999999999974
int_10_trace,0.5369,0.5155,0.021400000000000086
infra_0_trace,1.2782,1.2549,0.0233000000000001
infra_3_trace,1.0538,1.0277,0.026100000000000012
int_12_trace,0.4582,0.4313,0.02689999999999998
compress_2_trace,1.4847,1.457,0.027699999999999836
int_23_trace,3.454,3.4248,0.029200000000000337
compress_4_trace,1.825,1.7948,0.030200000000000005
compress_5_trace,1.9284,1.898,0.030399999999999983
infra_4_trace,2.4586,2.4276,0.03100000000000014
compress_1_trace,1.6841,1.6515,0.03259999999999996
int_6_trace,2.9626,2.9258,0.036799999999999944
compress_0_trace,3.2696,3.227,0.04260000000000019
int_27_trace,0.8656,0.8212,0.044399999999999995
int_3_trace,0.8721,0.8217,0.0504
infra_6_trace,1.2615,1.208,0.0535000000000001
fp_6_trace,0.9836,0.9236,0.06000000000000005
int_0_trace,5.1331,5.0702,0.06289999999999996
infra_9_trace,4.5987,4.5315,0.0671999999999997
infra_7_trace,1.4967,1.4282,0.0685
int_24_trace,0.5673,0.4986,0.06870000000000004
web_14_trace,3.6703,3.598,0.07230000000000025
infra_2_trace,0.4876,0.4135,0.0741
fp_3_trace,2.0208,1.9455,0.07529999999999992
int_26_trace,1.3413,1.2644,0.07689999999999997
media_1_trace,1.1588,1.0785,0.08030000000000004
infra_11_trace,1.0839,0.9969,0.08700000000000008
web_18_trace,2.8365,2.7449,0.09160000000000013
web_0_trace,1.4009,1.3081,0.0928
media_0_trace,1.1819,1.0855,0.09640000000000004
infra_12_trace,1.0757,0.9772,0.09850000000000014
fp_7_trace,1.1295,1.0289,0.10060000000000002
compress_3_trace,8.231,8.1241,0.10689999999999955
int_34_trace,3.0739,2.9654,0.10850000000000026
media_3_trace,1.4012,1.2893,0.11190000000000011
fp_11_trace,0.6972,0.5791,0.1181000000000001
int_18_trace,0.8395,0.7174,0.12209999999999999
infra_15_trace,8.4791,8.3568,0.12230000000000096
int_11_trace,4.2187,4.0919,0.12680000000000025
web_22_trace,3.3822,3.2539,0.1283000000000003
infra_14_trace,5.4178,5.2881,0.1296999999999997
infra_10_trace,5.369,5.2366,0.13239999999999963
int_31_trace,0.833,0.6936,0.13939999999999997
infra_13_trace,4.2496,4.0788,0.17079999999999984
web_23_trace,1.1653,0.9654,0.19989999999999997
int_13_trace,0.9185,0.7048,0.2137
int_35_trace,2.4776,2.2559,0.2216999999999998
web_21_trace,1.7327,1.5025,0.23019999999999996
int_32_trace,6.9621,6.7235,0.2386000000000008
int_28_trace,3.6692,3.4213,0.2479
int_33_trace,7.9657,7.7135,0.2522000000000002
fp_9_trace,4.5477,4.2942,0.25349999999999984
int_4_trace,4.1305,3.8634,0.26709999999999967
web_16_trace,1.8571,1.5849,0.2722
web_1_trace,3.5288,3.2294,0.2993999999999999
web_6_trace,4.9189,4.6074,0.31149999999999967
web_17_trace,1.7308,1.4167,0.3140999999999998
web_3_trace,3.947,3.59,0.3570000000000002
web_5_trace,4.6806,4.3019,0.37870000000000026
web_24_trace,2.049,1.6661,0.3829
web_2_trace,4.1788,3.7911,0.3876999999999997
fp_12_trace,1.214,0.8206,0.39339999999999997
web_4_trace,4.4589,4.0569,0.40200000000000014
int_20_trace,2.76,2.3513,0.4086999999999996
web_9_trace,2.9333,2.4984,0.43489999999999984
web_13_trace,3.3888,2.9499,0.43889999999999985
int_29_trace,12.3072,11.8209,0.48629999999999995
web_8_trace,5.1003,4.6136,0.4866999999999999
int_30_trace,12.7675,12.2596,0.5078999999999994
web_25_trace,6.3681,5.8386,0.5295000000000005
web_10_trace,3.3555,2.8169,0.5386000000000002
web_12_trace,4.4179,3.8667,0.5512000000000006
web_19_trace,6.0246,5.0903,0.9343000000000004
web_20_trace,4.2048,3.2389,0.9658999999999995
web_15_trace,6.0736,5.1,0.9736000000000002
int_36_trace,3.9779,2.9622,1.0156999999999998
int_9_trace,4.8603,3.7132,1.1470999999999996
web_11_trace,5.7855,4.6089,1.1765999999999996
int_8_trace,7.163,5.8786,1.2844000000000007
int_7_trace,5.7956,4.4556,1.3400000000000007
int_22_trace,5.3966,3.9788,1.4178000000000002
web_7_trace,7.7208,6.2471,1.4737
int_17_trace,6.3587,4.7592,1.5995
int_16_trace,8.1005,5.6722,2.4283
