trace_name,MPKI_A,MPKI_B,delta
int_21_trace,15.7181,23.2648,-7.546700000000001
fp_13_trace,8.9772,12.1305,-3.1532999999999998
fp_8_trace,5.2985,7.5897,-2.2912
fp_10_trace,1.8923,2.0976,-0.20529999999999982
int_19_trace,0.6642,0.7875,-0.12329999999999997
int_25_trace,1.3214,1.3236,-0.002200000000000202
media_2_trace,0.5226,0.5231,-0.000500000000000056
infra_5_trace,2.2115,2.2083,0.0032000000000000917
infra_8_trace,1.2565,1.252,0.0044999999999999485
fp_4_trace,0.5742,0.5696,0.0046000000000000485
int_10_trace,0.5369,0.5307,0.006200000000000094
infra_1_trace,0.3581,0.3503,0.007799999999999974
infra_2_trace,0.4876,0.4797,0.007899999999999963
fp_11_trace,0.6972,0.688,0.009200000000000097
fp_0_trace,3.227,3.2165,0.010499999999999954
int_14_trace,0.3952,0.3832,0.01200000000000001
fp_5_trace,0.9361,0.9212,0.014900000000000024
int_15_trace,0.4797,0.4631,0.016600000000000004
infra_3_trace,1.0538,1.019,0.034800000000000164
compress_2_trace,1.4847,1.443,0.04169999999999985
compress_6_trace,1.8941,1.8515,0.04259999999999997
compress_1_trace,1.6841,1.6407,0.04339999999999988
compress_7_trace,2.0491,2.0051,0.04400000000000004
compress_4_trace,1.825,1.7784,0.046599999999999975
compress_5_trace,1.9284,1.8814,0.04699999999999993
int_12_trace,0.4582,0.4069,0.05130000000000001
infra_7_trace,1.4967,1.445,0.05169999999999986
fp_1_trace,15.5816,15.524,0.05760000000000076
int_18_trace,0.8395,0.7793,0.06020000000000003
int_3_trace,0.8721,0.8104,0.06169999999999998
infra_0_trace,1.2782,1.2135,0.06469999999999998
int_24_trace,0.5673,0.4935,0.07380000000000003
infra_6_trace,1.2615,1.1873,0.07420000000000004
compress_0_trace,3.2696,3.1891,0.08050000000000024
infra_9_trace,4.5987,4.5178,0.08089999999999975
infra_4_trace,2.4586,2.3702,0.08840000000000003
infra_11_trace,1.0839,0.9933,0.09060000000000012
fp_2_trace,2.5588,2.4614,0.09740000000000038
infra_12_trace,1.0757,0.9752,0.10050000000000014
int_27_trace,0.8656,0.7625,0.10310000000000008
web_18_trace,2.8365,2.7317,0.1048
int_2_trace,8.727,8.6194,0.1075999999999997
web_7_trace,7.7208,7.5938,0.12699999999999978
web_0_trace,1.4009,1.2718,0.1291
int_6_trace,2.9626,2.8209,0.14170000000000016
int_5_trace,2.8583,2.7096,0.14869999999999983
int_13_trace,0.9185,0.7659,0.15259999999999996
fp_7_trace,1.1295,0.9759,0.15359999999999996
web_22_trace,3.3822,3.2276,0.1546000000000003
fp_6_trace,0.9836,0.8251,0.15850000000000009
media_1_trace,1.1588,0.9916,0.16720000000000002
int_26_trace,1.3413,1.1711,0.1701999999999999
infra_15_trace,8.4791,8.2957,0.18340000000000067
int_1_trace,9.2211,9.0328,0.1882999999999999
media_0_trace,1.1819,0.9918,0.19009999999999994
web_23_trace,1.1653,0.9747,0.1906
infra_14_trace,5.4178,5.2247,0.19309999999999938
infra_10_trace,5.369,5.1697,0.19930000000000003
fp_3_trace,2.0208,1.8114,0.20940000000000003
infra_13_trace,4.2496,4.0324,0.21720000000000006
media_3_trace,1.4012,1.1746,0.2265999999999999
int_20_trace,2.76,2.5326,0.22739999999999982
fp_9_trace,4.5477,4.2939,0.2538
web_21_trace,1.7327,1.4603,0.2724
int_23_trace,3.454,3.1809,0.27310000000000034
int_34_trace,3.0739,2.7982,0.27570000000000006
web_6_trace,4.9189,4.6389,0.28000000000000025
int_31_trace,0.833,0.5529,0.2801
web_5_trace,4.6806,4.386,0.2946
web_16_trace,1.8571,1.561,0.29610000000000003
web_4_trace,4.4589,4.1487,0.31020000000000003
web_14_trace,3.6703,3.3479,0.3224
web_17_trace,1.7308,1.4043,0.3264999999999998
web_1_trace,3.5288,3.1778,0.351
int_11_trace,4.2187,3.8485,0.3702000000000001
web_3_trace,3.947,3.5754,0.37159999999999993
int_0_trace,5.1331,4.7547,0.37840000000000007
web_8_trace,5.1003,4.7212,0.3791000000000002
web_24_trace,2.049,1.6677,0.3813
web_2_trace,4.1788,3.7939,0.3849
web_13_trace,3.3888,2.9919,0.39690000000000003
web_9_trace,2.9333,2.5177,0.41559999999999997
fp_12_trace,1.214,0.7924,0.4216
int_4_trace,4.1305,3.6396,0.49089999999999945
int_35_trace,2.4776,1.9749,0.5026999999999997
int_28_trace,3.6692,3.1619,0.5072999999999999
web_10_trace,3.3555,2.834,0.5215000000000001
web_25_trace,6.3681,5.8373,0.5308000000000002
int_30_trace,12.7675,12.2311,0.5364000000000004
int_29_trace,12.3072,11.7517,0.5555000000000003
web_12_trace,4.4179,3.855,0.5629000000000004
compress_3_trace,8.231,7.6342,0.5968
int_33_trace,7.9657,7.1681,0.7976000000000001
web_19_trace,6.0246,5.1898,0.8348000000000004
int_36_trace,3.9779,3.1277,0.8502000000000001
web_20_trace,4.2048,3.3176,0.8871999999999995
int_17_trace,6.3587,5.4692,0.8895
web_15_trace,6.0736,5.1798,0.8937999999999997
int_9_trace,4.8603,3.9141,0.9461999999999997
int_32_trace,6.9621,5.9951,0.9670000000000005
int_8_trace,7.163,6.1344,1.0286
int_7_trace,5.7956,4.682,1.1136
web_11_trace,5.7855,4.6299,1.1555999999999997
int_16_trace,8.1005,6.814,1.2865000000000002
int_22_trace,5.3966,3.5724,1.8242000000000003
