trace_name,MPKI_A,MPKI_B,delta
int_21_trace,15.7181,23.2204,-7.502300000000002
fp_13_trace,8.9772,12.6051,-3.6279000000000003
int_1_trace,9.2211,11.6182,-2.3971
fp_8_trace,5.2985,7.6591,-2.3606
int_2_trace,8.727,10.8678,-2.1408000000000005
int_19_trace,0.6642,0.8155,-0.1513
infra_8_trace,1.2565,1.3508,-0.09430000000000005
infra_5_trace,2.2115,2.2723,-0.060799999999999965
fp_1_trace,15.5816,15.625,-0.043400000000000105
fp_10_trace,1.8923,1.9276,-0.03529999999999989
fp_0_trace,3.227,3.261,-0.03400000000000025
fp_2_trace,2.5588,2.5788,-0.020000000000000018
int_23_trace,3.454,3.4717,-0.017699999999999605
int_5_trace,2.8583,2.8708,-0.012500000000000178
int_6_trace,2.9626,2.9749,-0.012299999999999756
media_2_trace,0.5226,0.5319,-0.009300000000000086
int_25_trace,1.3214,1.3197,0.0016999999999998128
infra_1_trace,0.3581,0.3543,0.00379999999999997
int_15_trace,0.4797,0.4732,0.006500000000000006
infra_2_trace,0.4876,0.4766,0.010999999999999954
int_12_trace,0.4582,0.4406,0.017600000000000005
web_14_trace,3.6703,3.6513,0.019000000000000128
fp_6_trace,0.9836,0.9645,0.019100000000000006
int_24_trace,0.5673,0.5457,0.021600000000000064
int_14_trace,0.3952,0.3731,0.02210000000000001
fp_3_trace,2.0208,1.9942,0.026599999999999957
compress_7_trace,2.0491,2.021,0.028100000000000236
int_27_trace,0.8656,0.8364,0.029200000000000004
int_11_trace,4.2187,4.1844,0.0343
int_10_trace,0.5369,0.4983,0.03860000000000002
int_18_trace,0.8395,0.8006,0.038900000000000046
fp_4_trace,0.5742,0.5332,0.041000000000000036
infra_9_trace,4.5987,4.5559,0.04279999999999973
compress_6_trace,1.8941,1.8499,0.044199999999999795
infra_6_trace,1.2615,1.2155,0.04600000000000004
infra_3_trace,1.0538,1.0074,0.0464
infra_0_trace,1.2782,1.2289,0.0492999999999999
int_26_trace,1.3413,1.2909,0.0504
fp_11_trace,0.6972,0.6464,0.05080000000000007
int_13_trace,0.9185,0.8664,0.052100000000000035
compress_4_trace,1.825,1.7729,0.052100000000000035
infra_11_trace,1.0839,1.0299,0.05400000000000005
compress_1_trace,1.6841,1.6289,0.055199999999999916
infra_15_trace,8.4791,8.4228,0.05630000000000024
compress_2_trace,1.4847,1.4278,0.05689999999999995
fp_7_trace,1.1295,1.0718,0.05769999999999986
infra_14_trace,5.4178,5.3572,0.06059999999999999
compress_5_trace,1.9284,1.863,0.0653999999999999
infra_12_trace,1.0757,1.0097,0.06600000000000006
infra_10_trace,5.369,5.3028,0.06619999999999937
media_0_trace,1.1819,1.1127,0.06919999999999993
fp_9_trace,4.5477,4.4698,0.07789999999999964
media_1_trace,1.1588,1.0802,0.0786
int_31_trace,0.833,0.7521,0.08089999999999997
media_3_trace,1.4012,1.315,0.08620000000000005
web_0_trace,1.4009,1.3145,0.08640000000000003
infra_4_trace,2.4586,2.3511,0.10749999999999993
int_3_trace,0.8721,0.763,0.10909999999999997
infra_13_trace,4.2496,4.1401,0.10949999999999971
web_18_trace,2.8365,2.7211,0.11540000000000017
fp_12_trace,1.214,1.0914,0.12260000000000004
int_22_trace,5.3966,5.247,0.1496000000000004
web_22_trace,3.3822,3.2192,0.16300000000000026
infra_7_trace,1.4967,1.3292,0.16749999999999998
web_21_trace,1.7327,1.5466,0.18609999999999993
web_23_trace,1.1653,0.9772,0.18810000000000004
int_35_trace,2.4776,2.2847,0.19289999999999985
int_34_trace,3.0739,2.8801,0.19379999999999997
web_16_trace,1.8571,1.617,0.24009999999999998
compress_3_trace,8.231,7.9811,0.24990000000000023
int_4_trace,4.1305,3.8687,0.2617999999999996
web_17_trace,1.7308,1.4479,0.28289999999999993
int_28_trace,3.6692,3.3729,0.2963
int_20_trace,2.76,2.4574,0.3026
web_1_trace,3.5288,3.2226,0.3062
web_6_trace,4.9189,4.6115,0.30739999999999945
int_29_trace,12.3072,11.9748,0.3323999999999998
web_24_trace,2.049,1.7147,0.33430000000000004
int_30_trace,12.7675,12.4295,0.3379999999999992
web_3_trace,3.947,3.6031,0.3439000000000001
web_2_trace,4.1788,3.833,0.34579999999999966
web_13_trace,3.3888,3.0009,0.3878999999999997
web_5_trace,4.6806,4.2907,0.3898999999999999
int_32_trace,6.9621,6.5669,0.3952
web_4_trace,4.4589,4.0377,0.4211999999999998
fp_5_trace,0.9361,0.5128,0.4233
web_12_trace,4.4179,3.9832,0.4347000000000003
web_9_trace,2.9333,2.4984,0.43489999999999984
web_8_trace,5.1003,4.6116,0.4886999999999997
int_33_trace,7.9657,7.4723,0.4934000000000003
web_25_trace,6.3681,5.8643,0.5038
compress_0_trace,3.2696,2.7349,0.5347
web_10_trace,3.3555,2.7344,0.6211000000000002
web_7_trace,7.7208,6.9881,0.7326999999999995
web_15_trace,6.0736,5.2809,0.7927
web_20_trace,4.2048,3.3873,0.8174999999999994
int_0_trace,5.1331,4.3111,0.8220000000000001
web_19_trace,6.0246,5.1795,0.8451000000000004
int_9_trace,4.8603,3.9419,0.9183999999999997
int_36_trace,3.9779,3.0431,0.9348000000000001
web_11_trace,5.7855,4.7711,1.0144000000000002
int_7_trace,5.7956,4.6386,1.157
int_8_trace,7.163,5.9655,1.1975000000000007
int_17_trace,6.3587,5.0345,1.3241999999999994
int_16_trace,8.1005,6.0105,2.09
