trace_name,MPKI_A,MPKI_B,delta
web_7_trace,6.2471,7.5938,-1.3467000000000002
int_16_trace,5.6722,6.814,-1.1418
int_17_trace,4.7592,5.4692,-0.71
int_8_trace,5.8786,6.1344,-0.2558000000000007
int_7_trace,4.4556,4.682,-0.22640000000000082
int_9_trace,3.7132,3.9141,-0.20089999999999986
int_20_trace,2.3513,2.5326,-0.1812999999999998
fp_8_trace,7.4114,7.5897,-0.17829999999999924
int_36_trace,2.9622,3.1277,-0.16549999999999976
fp_10_trace,1.9399,2.0976,-0.15769999999999995
fp_11_trace,0.5791,0.688,-0.1089
web_8_trace,4.6136,4.7212,-0.1075999999999997
web_19_trace,5.0903,5.1898,-0.09949999999999992
web_4_trace,4.0569,4.1487,-0.0918000000000001
web_5_trace,4.3019,4.386,-0.08410000000000029
web_15_trace,5.1,5.1798,-0.07980000000000054
web_20_trace,3.2389,3.3176,-0.07869999999999999
infra_2_trace,0.4135,0.4797,-0.06620000000000004
int_18_trace,0.7174,0.7793,-0.061899999999999955
int_13_trace,0.7048,0.7659,-0.06110000000000004
web_13_trace,2.9499,2.9919,-0.041999999999999815
web_6_trace,4.6074,4.6389,-0.03149999999999942
int_19_trace,0.7603,0.7875,-0.027200000000000002
web_11_trace,4.6089,4.6299,-0.020999999999999908
web_9_trace,2.4984,2.5177,-0.019299999999999873
web_10_trace,2.8169,2.834,-0.017100000000000115
infra_7_trace,1.4282,1.445,-0.016800000000000148
int_10_trace,0.5155,0.5307,-0.015199999999999991
infra_1_trace,0.3399,0.3503,-0.01040000000000002
infra_5_trace,2.199,2.2083,-0.009300000000000086
web_23_trace,0.9654,0.9747,-0.009299999999999975
int_25_trace,1.3181,1.3236,-0.00550000000000006
web_2_trace,3.7911,3.7939,-0.0027999999999996916
infra_8_trace,1.2493,1.252,-0.0026999999999999247
int_14_trace,0.3815,0.3832,-0.0016999999999999793
web_24_trace,1.6661,1.6677,-0.0016000000000000458
fp_9_trace,4.2942,4.2939,0.000300000000000189
web_25_trace,5.8386,5.8373,0.0012999999999996348
infra_12_trace,0.9772,0.9752,0.0020000000000000018
infra_11_trace,0.9969,0.9933,0.0036000000000000476
int_24_trace,0.4986,0.4935,0.005099999999999993
media_2_trace,0.5282,0.5231,0.005099999999999993
fp_4_trace,0.5749,0.5696,0.005299999999999971
infra_3_trace,1.0277,1.019,0.008700000000000152
int_15_trace,0.4719,0.4631,0.008799999999999975
fp_0_trace,3.2262,3.2165,0.009700000000000042
compress_1_trace,1.6515,1.6407,0.01079999999999992
int_3_trace,0.8217,0.8104,0.011299999999999977
web_12_trace,3.8667,3.855,0.011699999999999822
fp_5_trace,0.9329,0.9212,0.011699999999999933
web_17_trace,1.4167,1.4043,0.012399999999999967
web_18_trace,2.7449,2.7317,0.013199999999999878
infra_9_trace,4.5315,4.5178,0.013700000000000045
compress_2_trace,1.457,1.443,0.014000000000000012
web_3_trace,3.59,3.5754,0.014599999999999724
compress_4_trace,1.7948,1.7784,0.01639999999999997
compress_5_trace,1.898,1.8814,0.016599999999999948
infra_6_trace,1.208,1.1873,0.02069999999999994
compress_6_trace,1.8737,1.8515,0.022199999999999998
web_16_trace,1.5849,1.561,0.023900000000000032
int_12_trace,0.4313,0.4069,0.024400000000000033
web_22_trace,3.2539,3.2276,0.02629999999999999
fp_12_trace,0.8206,0.7924,0.028200000000000003
int_30_trace,12.2596,12.2311,0.02850000000000108
compress_7_trace,2.0403,2.0051,0.035199999999999676
web_0_trace,1.3081,1.2718,0.0363
compress_0_trace,3.227,3.1891,0.037900000000000045
infra_0_trace,1.2549,1.2135,0.04139999999999988
web_21_trace,1.5025,1.4603,0.042200000000000015
infra_13_trace,4.0788,4.0324,0.04640000000000022
web_1_trace,3.2294,3.1778,0.05160000000000009
fp_7_trace,1.0289,0.9759,0.052999999999999936
fp_1_trace,15.5798,15.524,0.055800000000001404
infra_4_trace,2.4276,2.3702,0.057399999999999896
int_27_trace,0.8212,0.7625,0.058700000000000085
infra_15_trace,8.3568,8.2957,0.06109999999999971
infra_14_trace,5.2881,5.2247,0.06339999999999968
infra_10_trace,5.2366,5.1697,0.0669000000000004
int_29_trace,11.8209,11.7517,0.06920000000000037
fp_2_trace,2.5453,2.4614,0.08390000000000031
media_1_trace,1.0785,0.9916,0.08689999999999998
int_26_trace,1.2644,1.1711,0.09329999999999994
media_0_trace,1.0855,0.9918,0.0936999999999999
fp_6_trace,0.9236,0.8251,0.09850000000000003
int_6_trace,2.9258,2.8209,0.10490000000000022
media_3_trace,1.2893,1.1746,0.1146999999999998
int_5_trace,2.838,2.7096,0.12840000000000007
fp_3_trace,1.9455,1.8114,0.1341000000000001
int_31_trace,0.6936,0.5529,0.14070000000000005
int_34_trace,2.9654,2.7982,0.1671999999999998
int_4_trace,3.8634,3.6396,0.22379999999999978
int_11_trace,4.0919,3.8485,0.24339999999999984
int_23_trace,3.4248,3.1809,0.2439
web_14_trace,3.598,3.3479,0.25009999999999977
int_28_trace,3.4213,3.1619,0.25939999999999985
int_35_trace,2.2559,1.9749,0.2809999999999999
int_0_trace,5.0702,4.7547,0.3155000000000001
fp_13_trace,12.4478,12.1305,0.31730000000000125
int_22_trace,3.9788,3.5724,0.4064000000000001
compress_3_trace,8.1241,7.6342,0.48990000000000045
int_21_trace,23.759,23.2648,0.4941999999999993
int_33_trace,7.7135,7.1681,0.5453999999999999
int_32_trace,6.7235,5.9951,0.7283999999999997
int_2_trace,9.8611,8.6194,1.2416999999999998
int_1_trace,10.3681,9.0328,1.3353000000000002
