trace_name,MPKI_A,MPKI_B,delta
int_22_trace,3.9788,5.247,-1.2681999999999998
int_1_trace,10.3681,11.6182,-1.2500999999999998
int_2_trace,9.8611,10.8678,-1.0067000000000004
web_7_trace,6.2471,6.9881,-0.7410000000000005
int_16_trace,5.6722,6.0105,-0.33830000000000027
int_17_trace,4.7592,5.0345,-0.27530000000000054
fp_12_trace,0.8206,1.0914,-0.27079999999999993
fp_8_trace,7.4114,7.6591,-0.24769999999999914
int_9_trace,3.7132,3.9419,-0.2286999999999999
int_7_trace,4.4556,4.6386,-0.18300000000000072
web_15_trace,5.1,5.2809,-0.18090000000000028
fp_9_trace,4.2942,4.4698,-0.1756000000000002
int_30_trace,12.2596,12.4295,-0.16990000000000016
web_11_trace,4.6089,4.7711,-0.16219999999999946
int_13_trace,0.7048,0.8664,-0.16159999999999997
fp_13_trace,12.4478,12.6051,-0.15729999999999933
int_29_trace,11.8209,11.9748,-0.15390000000000015
web_20_trace,3.2389,3.3873,-0.1484000000000001
web_12_trace,3.8667,3.9832,-0.11650000000000027
int_20_trace,2.3513,2.4574,-0.10609999999999964
infra_8_trace,1.2493,1.3508,-0.10149999999999992
int_11_trace,4.0919,4.1844,-0.09250000000000025
web_19_trace,5.0903,5.1795,-0.08919999999999995
int_8_trace,5.8786,5.9655,-0.08689999999999998
int_18_trace,0.7174,0.8006,-0.08319999999999994
int_36_trace,2.9622,3.0431,-0.08089999999999975
infra_5_trace,2.199,2.2723,-0.07330000000000014
infra_14_trace,5.2881,5.3572,-0.06909999999999972
fp_11_trace,0.5791,0.6464,-0.06730000000000003
infra_10_trace,5.2366,5.3028,-0.06620000000000026
infra_15_trace,8.3568,8.4228,-0.06600000000000072
infra_2_trace,0.4135,0.4766,-0.06310000000000004
infra_13_trace,4.0788,4.1401,-0.06130000000000013
int_31_trace,0.6936,0.7521,-0.058499999999999996
int_19_trace,0.7603,0.8155,-0.05520000000000003
web_14_trace,3.598,3.6513,-0.053300000000000125
web_13_trace,2.9499,3.0009,-0.051000000000000156
int_6_trace,2.9258,2.9749,-0.0490999999999997
fp_3_trace,1.9455,1.9942,-0.048699999999999966
web_24_trace,1.6661,1.7147,-0.04859999999999998
int_24_trace,0.4986,0.5457,-0.047099999999999975
int_23_trace,3.4248,3.4717,-0.04689999999999994
fp_1_trace,15.5798,15.625,-0.04519999999999946
web_21_trace,1.5025,1.5466,-0.04410000000000003
fp_7_trace,1.0289,1.0718,-0.04290000000000016
web_2_trace,3.7911,3.833,-0.04190000000000005
fp_6_trace,0.9236,0.9645,-0.04090000000000005
fp_0_trace,3.2262,3.261,-0.034800000000000164
fp_2_trace,2.5453,2.5788,-0.033500000000000085
infra_11_trace,0.9969,1.0299,-0.03300000000000003
int_5_trace,2.838,2.8708,-0.03279999999999994
infra_12_trace,0.9772,1.0097,-0.032500000000000084
web_16_trace,1.5849,1.617,-0.03210000000000002
web_17_trace,1.4167,1.4479,-0.031199999999999894
int_35_trace,2.2559,2.2847,-0.028799999999999937
media_0_trace,1.0855,1.1127,-0.027200000000000113
int_26_trace,1.2644,1.2909,-0.026499999999999968
web_25_trace,5.8386,5.8643,-0.0257000000000005
media_3_trace,1.2893,1.315,-0.025700000000000056
infra_9_trace,4.5315,4.5559,-0.024399999999999977
int_27_trace,0.8212,0.8364,-0.015199999999999991
infra_1_trace,0.3399,0.3543,-0.014400000000000024
web_3_trace,3.59,3.6031,-0.013100000000000112
web_23_trace,0.9654,0.9772,-0.011799999999999922
int_12_trace,0.4313,0.4406,-0.009299999999999975
infra_6_trace,1.208,1.2155,-0.007500000000000062
web_0_trace,1.3081,1.3145,-0.006399999999999961
int_4_trace,3.8634,3.8687,-0.005300000000000082
web_6_trace,4.6074,4.6115,-0.004100000000000215
media_2_trace,0.5282,0.5319,-0.0037000000000000366
media_1_trace,1.0785,1.0802,-0.0017000000000000348
int_25_trace,1.3181,1.3197,-0.0016000000000000458
int_15_trace,0.4719,0.4732,-0.0013000000000000234
web_9_trace,2.4984,2.4984,0.0
web_8_trace,4.6136,4.6116,0.0019999999999997797
web_1_trace,3.2294,3.2226,0.006800000000000139
int_14_trace,0.3815,0.3731,0.008400000000000019
web_5_trace,4.3019,4.2907,0.011199999999999655
fp_10_trace,1.9399,1.9276,0.012299999999999978
int_10_trace,0.5155,0.4983,0.017199999999999938
web_4_trace,4.0569,4.0377,0.019199999999999662
compress_7_trace,2.0403,2.021,0.019299999999999873
infra_3_trace,1.0277,1.0074,0.020299999999999985
compress_4_trace,1.7948,1.7729,0.02190000000000003
compress_1_trace,1.6515,1.6289,0.022599999999999953
compress_6_trace,1.8737,1.8499,0.02379999999999982
web_18_trace,2.7449,2.7211,0.023800000000000043
infra_0_trace,1.2549,1.2289,0.0259999999999998
compress_2_trace,1.457,1.4278,0.029200000000000115
web_22_trace,3.2539,3.2192,0.03469999999999995
compress_5_trace,1.898,1.863,0.03499999999999992
fp_4_trace,0.5749,0.5332,0.04169999999999996
int_28_trace,3.4213,3.3729,0.0484
int_3_trace,0.8217,0.763,0.058699999999999974
infra_4_trace,2.4276,2.3511,0.07649999999999979
web_10_trace,2.8169,2.7344,0.08250000000000002
int_34_trace,2.9654,2.8801,0.08529999999999971
infra_7_trace,1.4282,1.3292,0.09899999999999998
compress_3_trace,8.1241,7.9811,0.14300000000000068
int_32_trace,6.7235,6.5669,0.15659999999999918
int_33_trace,7.7135,7.4723,0.24120000000000008
fp_5_trace,0.9329,0.5128,0.4200999999999999
compress_0_trace,3.227,2.7349,0.49209999999999976
int_21_trace,23.759,23.2204,0.5385999999999989
int_0_trace,5.0702,4.3111,0.7591000000000001
