trace_name,MPKI_A,MPKI_B,delta
int_1_trace,9.0328,11.6182,-2.5854
int_2_trace,8.6194,10.8678,-2.2484
int_22_trace,3.5724,5.247,-1.6745999999999999
int_32_trace,5.9951,6.5669,-0.5718000000000005
fp_13_trace,12.1305,12.6051,-0.4746000000000006
compress_3_trace,7.6342,7.9811,-0.34689999999999976
int_11_trace,3.8485,4.1844,-0.3359000000000001
int_35_trace,1.9749,2.2847,-0.30979999999999985
int_33_trace,7.1681,7.4723,-0.3041999999999998
web_14_trace,3.3479,3.6513,-0.3033999999999999
fp_12_trace,0.7924,1.0914,-0.29899999999999993
int_23_trace,3.1809,3.4717,-0.29079999999999995
int_4_trace,3.6396,3.8687,-0.22909999999999986
int_29_trace,11.7517,11.9748,-0.22310000000000052
int_28_trace,3.1619,3.3729,-0.21099999999999985
int_31_trace,0.5529,0.7521,-0.19920000000000004
int_30_trace,12.2311,12.4295,-0.19840000000000124
fp_3_trace,1.8114,1.9942,-0.18280000000000007
fp_9_trace,4.2939,4.4698,-0.1759000000000004
int_5_trace,2.7096,2.8708,-0.1612
int_6_trace,2.8209,2.9749,-0.15399999999999991
web_11_trace,4.6299,4.7711,-0.14119999999999955
media_3_trace,1.1746,1.315,-0.14039999999999986
fp_6_trace,0.8251,0.9645,-0.13940000000000008
infra_10_trace,5.1697,5.3028,-0.13310000000000066
infra_14_trace,5.2247,5.3572,-0.1324999999999994
web_12_trace,3.855,3.9832,-0.1282000000000001
infra_15_trace,8.2957,8.4228,-0.12710000000000043
media_0_trace,0.9918,1.1127,-0.12090000000000001
int_26_trace,1.1711,1.2909,-0.1197999999999999
fp_2_trace,2.4614,2.5788,-0.11740000000000039
infra_13_trace,4.0324,4.1401,-0.10770000000000035
web_15_trace,5.1798,5.2809,-0.10109999999999975
fp_1_trace,15.524,15.625,-0.10100000000000087
int_13_trace,0.7659,0.8664,-0.10049999999999992
infra_8_trace,1.252,1.3508,-0.0988
fp_7_trace,0.9759,1.0718,-0.0959000000000001
media_1_trace,0.9916,1.0802,-0.08860000000000001
web_21_trace,1.4603,1.5466,-0.08630000000000004
int_34_trace,2.7982,2.8801,-0.08190000000000008
