pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
ball-fun,baseline,compress_4_trace,1.825,1.8228,0.0021999999999999797
ball-fun,baseline,compress_1_trace,1.6841,1.6834,0.0006999999999999229
ball-fun,baseline,compress_2_trace,1.4847,1.4826,0.0020999999999999908
ball-fun,baseline,compress_6_trace,1.8941,1.9036,-0.009500000000000064
ball-fun,baseline,compress_5_trace,1.9284,1.9322,-0.0038000000000000256
ball-fun,baseline,infra_7_trace,1.4967,1.4983,-0.0016000000000000458
ball-fun,baseline,infra_1_trace,0.3581,0.3574,0.0006999999999999784
ball-fun,baseline,infra_0_trace,1.2782,1.2832,-0.004999999999999893
ball-fun,baseline,infra_6_trace,1.2615,1.2642,-0.0026999999999999247
ball-fun,baseline,infra_4_trace,2.4586,2.479,-0.020399999999999974
ball-fun,baseline,infra_10_trace,5.369,5.3543,0.014699999999999491
ball-fun,baseline,infra_11_trace,1.0839,1.0885,-0.0045999999999999375
ball-fun,baseline,infra_15_trace,8.4791,8.4547,0.024399999999999977
ball-fun,baseline,infra_14_trace,5.4178,5.4033,0.014499999999999957
ball-fun,baseline,infra_5_trace,2.2115,2.2119,-0.00039999999999995595
ball-fun,baseline,infra_8_trace,1.2565,1.2568,-0.00029999999999996696
ball-fun,baseline,infra_9_trace,4.5987,4.5907,0.008000000000000007
ball-fun,baseline,web_21_trace,1.7327,1.7274,0.00529999999999986
ball-fun,baseline,compress_0_trace,3.2696,3.2681,0.0015000000000000568
ball-fun,baseline,web_15_trace,6.0736,6.1054,-0.031800000000000495
ball-fun,baseline,web_20_trace,4.2048,4.218,-0.013200000000000323
ball-fun,baseline,compress_3_trace,8.231,8.2499,-0.01890000000000036
ball-fun,baseline,web_18_trace,2.8365,2.8461,-0.009599999999999831
ball-fun,baseline,web_19_trace,6.0246,6.0075,0.017100000000000115
ball-fun,baseline,web_12_trace,4.4179,4.4363,-0.01839999999999975
ball-fun,baseline,infra_12_trace,1.0757,1.0706,0.0051000000000001044
ball-fun,baseline,infra_3_trace,1.0538,1.0632,-0.009399999999999853
ball-fun,baseline,infra_13_trace,4.2496,4.2404,0.009199999999999875
ball-fun,baseline,compress_7_trace,2.0491,2.048,0.001100000000000101
ball-fun,baseline,web_17_trace,1.7308,1.7267,0.0040999999999999925
ball-fun,baseline,web_0_trace,1.4009,1.3961,0.0048000000000001375
ball-fun,baseline,web_1_trace,3.5288,3.5186,0.010199999999999765
ball-fun,baseline,web_16_trace,1.8571,1.8538,0.0033000000000000806
ball-fun,baseline,web_7_trace,7.7208,7.7526,-0.031800000000000495
ball-fun,baseline,web_22_trace,3.3822,3.3895,-0.007299999999999862
ball-fun,baseline,web_11_trace,5.7855,5.7895,-0.004000000000000448
ball-fun,baseline,web_23_trace,1.1653,1.1539,0.011400000000000077
