CMD:./cbp traces/fp/fp_2_trace.gz
L_PERCEP PC=0xFFFFF1F29D18, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  30, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29CE8, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29CE8, theta= 320, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  28, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29D18, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29D18, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29CE8, theta= 261, max bias=   7, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29CE8, theta= 320, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F44784, theta= 312, max bias=  14, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F44784, theta= 261, max bias=  18, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29CA4, theta= 253, max bias=  33, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29D18, theta= 253, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  32, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29CE8, theta= 261, max bias=  13, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29CE8, theta= 320, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29D18, theta= 261, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F44670, theta= 312, max bias=  29, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29BA0, theta= 261, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 312, max bias=  39, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
5000000 instrs 
L_PERCEP PC=0xFFFFF1F29CE8, theta= 261, max bias=   5, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29CE8, theta= 320, max bias=  21, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29D18, theta= 261, max bias=  16, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29CA4, theta= 312, max bias=  34, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F449C4, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F449C4, theta= 320, max bias=  27, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29B50, theta= 261, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29B50, theta= 320, max bias=  24, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29BA0, theta= 320, max bias=   6, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0xFFFFF1F29D18, theta= 320, max bias=  41, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0xFFFFF1F29CE8, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
