CMD:./cbp traces/int/int_32_trace.gz
L_PERCEP PC=0x002A2450, theta= 245, max bias=  10, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 304, max bias=  39, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A24F4, theta= 312, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   9, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2434, theta= 320, max bias=  39, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2434, theta= 261, max bias=  22, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=   3, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5CE8, theta= 253, max bias=  23, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5CE8, theta= 304, max bias=  41, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 296, max bias=  51, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24F4, theta= 261, max bias=  36, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 312, max bias=  31, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A5D74, theta= 312, max bias=  31, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A2450, theta= 261, max bias=  15, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 304, max bias=  47, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5C3C, theta= 261, max bias=  19, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A5D74, theta= 253, max bias=  20, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A68D8, theta= 261, max bias=  26, baseline_comp=  8, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x002A5C3C, theta= 312, max bias=  47, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A68D8, theta= 312, max bias=  25, baseline_comp=  9, stable_cnt=  0, grace_period=511, time_alive=65535
G_PERCEP PC=0x002A24F4, theta= 304, max bias=  45, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
G_PERCEP PC=0x002A2450, theta= 296, max bias=  56, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
L_PERCEP PC=0x002A24F4, theta= 261, max bias=   8, baseline_comp=  0, stable_cnt=255, grace_period=511, time_alive=  0
