Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_3_trace,334.29114055633545,Pass,3032.7386980056763,130000020,58336712,2.2284,15702832,992445,0.2692,0.0170,6.3202%,7.6342,46335559,46.6883,356.4273,65000020,25683398,2.5308,7896218,465612,0.3074,0.0181,5.8966%,7.1633,19345106,41.5477,297.6169
compress,compress_2_trace,111.43396472930908,Pass,295.8702766895294,32339109,6620983,4.8843,3601347,46665,0.5439,0.0070,1.2958%,1.4430,1227009,26.2940,37.9420,16339109,3013212,5.4225,1821008,26152,0.6043,0.0087,1.4361%,1.6006,598090,22.8698,36.6048
compress,compress_4_trace,108.21294689178467,Pass,284.58975315093994,31160801,6558344,4.7513,3496423,55416,0.5331,0.0084,1.5849%,1.7784,1440230,25.9894,46.2193,16160801,3002451,5.3825,1816226,26559,0.6049,0.0088,1.4623%,1.6434,644416,24.2636,39.8753
compress,compress_5_trace,111.82196044921875,Pass,2300.271432876587,33811883,6969066,4.8517,3890650,63612,0.5583,0.0091,1.6350%,1.8814,1655166,26.0197,48.9522,17811883,3225726,5.5218,2056891,29737,0.6377,0.0092,1.4457%,1.6695,748592,25.1738,42.0277
compress,compress_0_trace,334.9084711074829,Pass,981.4103918075562,120000052,25337072,4.7361,11747875,382688,0.4637,0.0151,3.2575%,3.1891,13741751,35.9085,114.5145,60000052,11853995,5.0616,5895554,191415,0.4973,0.0161,3.2468%,3.1902,6339586,33.1196,105.6597
compress,compress_1_trace,108.6102991104126,Pass,285.6152992248535,30778699,6533458,4.7109,3314657,50498,0.5073,0.0077,1.5235%,1.6407,1284219,25.4311,41.7243,15778699,3001522,5.2569,1700956,28197,0.5667,0.0094,1.6577%,1.7870,618835,21.9468,39.2196
compress,compress_7_trace,399.4104585647583,Pass,3154.7035009860992,130000052,23929051,5.4327,15042451,260658,0.6286,0.0109,1.7328%,2.0051,6631191,25.4402,51.0091,65000052,12249246,5.3065,7447474,162567,0.6080,0.0133,2.1828%,2.5010,3835019,23.5904,59.0002
compress,compress_6_trace,111.95520496368408,Pass,307.65012097358704,33826271,6982315,4.8446,3887104,62629,0.5567,0.0090,1.6112%,1.8515,1629028,26.0108,48.1587,17826271,3229549,5.5197,2060235,29323,0.6379,0.0091,1.4233%,1.6449,735840,25.0943,41.2784
infra,infra_7_trace,65.31903553009033,Pass,393.87847995758057,40000016,21775676,1.8369,6716982,57800,0.3085,0.0027,0.8605%,1.4450,8038488,139.0742,200.9621,20000016,11115160,1.7993,3345402,15389,0.3010,0.0014,0.4600%,0.7694,3246394,210.9555,162.3196
infra,infra_6_trace,168.09687328338623,Pass,2619.7190129756927,64718349,15293252,4.2318,9187928,76841,0.6008,0.0050,0.8363%,1.1873,3042890,39.5998,47.0174,32718349,7695327,4.2517,5004718,37678,0.6504,0.0049,0.7528%,1.1516,1747587,46.3822,53.4131
infra,infra_0_trace,94.09143447875977,Pass,374.8672208786011,40000016,8802610,4.5441,5140781,48542,0.5840,0.0055,0.9443%,1.2135,1434168,29.5449,35.8542,20000016,4380481,4.5657,2582400,25205,0.5895,0.0058,0.9760%,1.2602,769274,30.5207,38.4637
infra,infra_1_trace,175.13615703582764,Pass,360.6039297580719,37799521,8181667,4.6200,4337669,13241,0.5302,0.0016,0.3053%,0.3503,587687,44.3839,15.5475,19799521,3727177,5.3122,2263258,3768,0.6072,0.0010,0.1665%,0.1903,125406,33.2818,6.3338
infra,infra_11_trace,209.36411476135254,Pass,2448.035493850708,50000052,18233149,2.7423,7754708,49667,0.4253,0.0027,0.6405%,0.9933,3746838,75.4392,74.9367,25000052,9176907,2.7242,3881908,23623,0.4230,0.0026,0.6085%,0.9449,2142688,90.7035,85.7073
infra,infra_10_trace,117.67702960968018,Pass,432.874529838562,50000052,18267670,2.7371,6548159,258486,0.3585,0.0141,3.9475%,5.1697,12976049,50.2002,259.5207,25000052,6272551,3.9856,3150015,114406,0.5022,0.0182,3.6319%,4.5762,4020600,35.1433,160.8237
