Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_3_trace,334.29114055633545,Pass,1154.0280339717865,130000020,59421982,2.1877,15702832,1059547,0.2643,0.0178,6.7475%,8.1504,47460964,44.7936,365.0843,65000020,26202105,2.4807,7896218,495550,0.3014,0.0189,6.2758%,7.6238,19883690,40.1245,305.9028
compress,compress_2_trace,111.43396472930908,Pass,281.6519751548767,32339109,6612057,4.8909,3601347,45983,0.5447,0.0070,1.2768%,1.4219,1219156,26.5132,37.6991,16339109,3005529,5.4364,1821008,25594,0.6059,0.0085,1.4055%,1.5664,589413,23.0293,36.0738
compress,compress_4_trace,108.21294689178467,Pass,258.23073983192444,31160801,6542402,4.7629,3496423,54454,0.5344,0.0083,1.5574%,1.7475,1423867,26.1481,45.6942,16160801,2988779,5.4072,1816226,25690,0.6077,0.0086,1.4145%,1.5896,629330,24.4971,38.9418
compress,compress_5_trace,111.82196044921875,Pass,321.9212808609009,33811883,6951162,4.8642,3890650,62500,0.5597,0.0090,1.6064%,1.8485,1639301,26.2288,48.4830,17811883,3211492,5.5463,2056891,28785,0.6405,0.0090,1.3994%,1.6161,734793,25.5269,41.2530
compress,compress_0_trace,334.9084711074829,Pass,1025.671062707901,120000052,25342838,4.7351,11747875,383806,0.4636,0.0151,3.2670%,3.1984,13751706,35.8298,114.5975,60000052,11842956,5.0663,5895554,191028,0.4978,0.0161,3.2402%,3.1838,6327936,33.1257,105.4655
compress,compress_1_trace,108.6102991104126,Pass,259.50510907173157,30778699,6519567,4.7210,3314657,49615,0.5084,0.0076,1.4968%,1.6120,1273241,25.6624,41.3676,15778699,2993102,5.2717,1700956,27639,0.5683,0.0092,1.6249%,1.7517,610825,22.1001,38.7120
compress,compress_7_trace,399.4104585647583,Pass,1283.2286009788513,130000052,23782761,5.4661,15042451,249357,0.6325,0.0105,1.6577%,1.9181,6477998,25.9788,49.8307,65000052,12139240,5.3545,7447474,154350,0.6135,0.0127,2.0725%,2.3746,3715620,24.0727,57.1633
compress,compress_6_trace,111.95520496368408,Pass,275.37546706199646,33826271,6965508,4.8563,3887104,61637,0.5581,0.0088,1.5857%,1.8222,1612855,26.1670,47.6805,17826271,3216686,5.5418,2060235,28487,0.6405,0.0089,1.3827%,1.5980,721780,25.3372,40.4897
infra,infra_7_trace,65.31903553009033,Pass,358.0378170013428,40000016,21685872,1.8445,6716982,48374,0.3097,0.0022,0.7202%,1.2093,7932952,163.9921,198.3237,20000016,11159734,1.7922,3345402,14709,0.2998,0.0013,0.4397%,0.7354,3336637,226.8432,166.8317
infra,infra_6_trace,168.09687328338623,Pass,664.5583868026733,64718349,15330663,4.2215,9187928,78555,0.5993,0.0051,0.8550%,1.2138,3091361,39.3528,47.7664,32718349,7708364,4.2445,5004718,38075,0.6493,0.0049,0.7608%,1.1637,1766394,46.3925,53.9879
infra,infra_0_trace,94.09143447875977,Pass,389.4331829547882,40000016,8727445,4.5832,5140781,39487,0.5890,0.0045,0.7681%,0.9872,1318207,33.3833,32.9552,20000016,4333041,4.6157,2582400,19604,0.5960,0.0045,0.7591%,0.9802,695827,35.4941,34.7913
infra,infra_1_trace,175.13615703582764,Pass,350.2605891227722,37799521,8161678,4.6313,4337669,11048,0.5315,0.0014,0.2547%,0.2923,550115,49.7932,14.5535,19799521,3716684,5.3272,2263258,2516,0.6089,0.0007,0.1112%,0.1271,108449,43.1037,5.4774
infra,infra_11_trace,209.36411476135254,Pass,485.9365339279175,50000052,18227296,2.7431,7754708,50111,0.4254,0.0027,0.6462%,1.0022,3760271,75.0388,75.2053,25000052,9163931,2.7281,3881908,23681,0.4236,0.0026,0.6100%,0.9472,2131551,90.0110,85.2619
infra,infra_10_trace,117.67702960968018,Pass,454.7967128753662,50000052,18337405,2.7267,6548159,260857,0.3571,0.0142,3.9837%,5.2171,13063989,50.0810,261.2795,25000052,6283683,3.9786,3150015,114835,0.5013,0.0183,3.6455%,4.5934,4029295,35.0877,161.1715
infra,infra_15_trace,101.22027969360352,Pass,427.2571289539337,50000052,34281262,1.4585,6957507,416334,0.2030,0.0121,5.9840%,8.3267,29751293,71.4602,595.0252,25000052,6304332,3.9655,3466846,140789,0.5499,0.0223,4.0610%,5.6315,4023414,28.5776,160.9362
infra,infra_14_trace,118.4549331665039,Pass,476.20448088645935,50000052,17848134,2.8014,6536492,263422,0.3662,0.0148,4.0300%,5.2684,12749782,48.4006,254.9954,25000052,6250175,3.9999,3156210,113994,0.5050,0.0182,3.6117%,4.5598,4001303,35.1010,160.0518
infra,infra_4_trace,84.87091732025146,Pass,409.8963871002197,40000016,22743797,1.7587,5988066,73244,0.2633,0.0032,1.2232%,1.8311,10297901,140.5972,257.4474,20000016,11315775,1.7674,2971304,34888,0.2626,0.0031,1.1742%,1.7444,5053670,144.8541,252.6833
infra,infra_5_trace,58.871103286743164,Pass,403.9707329273224,40000016,34447204,1.1612,7268207,83630,0.2110,0.0024,1.1506%,2.0907,26273246,314.1605,656.8309,20000016,22093619,0.9052,3539219,58332,0.1602,0.0026,1.6482%,2.9166,18252181,312.9017,912.6083
infra,infra_9_trace,141.69822597503662,Pass,481.1448791027069,50000052,29189694,1.7129,7203244,227564,0.2468,0.0078,3.1592%,4.5513,19602253,86.1395,392.0447,25000052,17292051,1.4458,3405201,171902,0.1969,0.0099,5.0482%,6.8761,14692132,85.4681,587.6841
infra,infra_8_trace,54.09443473815918,Pass,401.65582513809204,40000016,24589950,1.6267,7460282,49937,0.3034,0.0020,0.6694%,1.2484,15907605,318.5535,397.6900,20000016,12254461,1.6321,3730712,24724,0.3044,0.0020,0.6627%,1.2362,7901698,319.5963,395.0846
infra,infra_12_trace,207.57365608215332,Pass,461.9978401660919,50000052,17437142,2.8674,7862103,49661,0.4509,0.0028,0.6317%,0.9932,3305250,66.5563,66.1049,25000052,8295807,3.0136,3927069,23116,0.4734,0.0028,0.5886%,0.9246,1606996,69.5188,64.2797
infra,infra_13_trace,139.63556957244873,Pass,475.90372705459595,50000052,20335754,2.4587,6532412,202931,0.3212,0.0100,3.1065%,4.0586,13530716,66.6764,270.6140,25000052,9595817,2.6053,3378036,82506,0.3520,0.0086,2.4424%,3.3002,5085623,61.6394,203.4245
infra,infra_3_trace,83.57435989379883,Pass,390.03875494003296,40000016,7960804,5.0246,5433078,32198,0.6825,0.0040,0.5926%,0.8049,957391,29.7345,23.9348,20000016,3940858,5.0750,2737308,13743,0.6946,0.0035,0.5021%,0.6871,440087,32.0226,22.0043
infra,infra_2_trace,221.61112022399902,Pass,684.6908941268921,47546686,10596886,4.4869,5818731,20387,0.5491,0.0019,0.3504%,0.4288,678462,33.2791,14.2694,24546686,4304759,5.7022,2997214,6286,0.6963,0.0015,0.2097%,0.2561,129552,20.6096,5.2778
web,web_21_trace,37.0328950881958,Pass,131.08678793907166,15000054,5923041,2.5325,2614946,23794,0.4415,0.0040,0.9099%,1.5863,2035255,85.5365,135.6832,8000054,4734190,1.6898,1411368,18990,0.2981,0.0040,1.3455%,2.3737,1848371,97.3339,231.0448
web,web_20_trace,91.22524166107178,Pass,181.8319969177246,20000004,10268737,1.9477,3186911,65974,0.3104,0.0064,2.0702%,3.2987,2031250,30.7886,101.5625,10000004,3743541,2.6713,1586755,18469,0.4239,0.0049,1.1639%,1.8469,575323,31.1507,57.5323
web,web_15_trace,61.94837951660156,Pass,141.20153713226318,14999858,7907999,1.8968,2411251,77260,0.3049,0.0098,3.2041%,5.1507,2318872,30.0139,154.5929,7999858,3233336,2.4742,1229867,34230,0.3804,0.0106,2.7832%,4.2788,908639,26.5451,113.5819
web,web_14_trace,235.48800468444824,Pass,696.8295791149139,70000043,19653185,3.5618,11059737,244530,0.5627,0.0124,2.2110%,3.4933,10542729,43.1143,150.6103,35000043,8494415,4.1204,5268168,95587,0.6202,0.0113,1.8144%,2.7311,4143113,43.3439,118.3745
web,web_0_trace,104.021315574646,Pass,426.1611771583557,39999493,19400668,2.0618,11904941,52627,0.6136,0.0027,0.4421%,1.3157,5876674,111.6665,146.9187,20999493,9701764,2.1645,6370198,19215,0.6566,0.0020,0.3016%,0.9150,2175220,113.2043,103.5844
web,web_1_trace,158.93916416168213,Pass,363.2545359134674,39999048,11899402,3.3614,5515292,125427,0.4635,0.0105,2.2742%,3.1357,4328226,34.5079,108.2082,20999048,4909678,4.2771,2909408,65562,0.5926,0.0134,2.2534%,3.1221,1874207,28.5868,89.2520
web,web_18_trace,40.12125015258789,Pass,122.67314100265503,15000059,3923200,3.8234,1853795,41392,0.4725,0.0106,2.2328%,2.7595,2035859,49.1848,135.7234,8000059,1977566,4.0454,994147,20657,0.5027,0.0104,2.0779%,2.5821,1027619,49.7468,128.4514
web,web_19_trace,46.80075454711914,Pass,137.48522400856018,15000016,9449913,1.5873,2562002,77244,0.2711,0.0082,3.0150%,5.1496,2381110,30.8258,158.7405,8000016,4297241,1.8617,1380363,50538,0.3212,0.0118,3.6612%,6.3172,1204668,23.8369,150.5832
web,web_12_trace,61.48514461517334,Pass,141.19473886489868,15000009,9193638,1.6316,2254326,59961,0.2452,0.0065,2.6598%,3.9974,2003120,33.4070,133.5413,8000009,4263904,1.8762,1175254,37374,0.2756,0.0088,3.1801%,4.6717,1126174,30.1326,140.7716
