Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_1_trace,108.6102991104126,Pass,241.23024797439575,30778699,6490431,4.7422,3314657,46554,0.5107,0.0072,1.4045%,1.5125,1245334,26.7503,40.4609,15778699,2967054,5.3180,1700956,25091,0.5733,0.0085,1.4751%,1.5902,585915,23.3516,37.1333
compress,compress_4_trace,108.21294689178467,Pass,242.68872094154358,31160801,6507242,4.7886,3496423,50783,0.5373,0.0078,1.4524%,1.6297,1387309,27.3184,44.5210,16160801,2978148,5.4265,1816226,24346,0.6099,0.0082,1.3405%,1.5065,619912,25.4626,38.3590
compress,compress_2_trace,111.43396472930908,Pass,253.7986559867859,32339109,6590871,4.9067,3601347,43797,0.5464,0.0066,1.2161%,1.3543,1197789,27.3487,37.0384,16339109,2987806,5.4686,1821008,23764,0.6095,0.0080,1.3050%,1.4544,572213,24.0790,35.0211
compress,compress_6_trace,111.95520496368408,Pass,261.35859394073486,33826271,6921858,4.8869,3887104,57186,0.5616,0.0083,1.4712%,1.6906,1567384,27.4085,46.3363,17826271,3199954,5.5708,2060235,26675,0.6438,0.0083,1.2948%,1.4964,706002,26.4668,39.6046
compress,compress_5_trace,111.82196044921875,Pass,261.8065040111542,33811883,6914769,4.8898,3890650,58624,0.5627,0.0085,1.5068%,1.7338,1600783,27.3059,47.3438,17811883,3200263,5.5658,2056891,27497,0.6427,0.0086,1.3368%,1.5437,723477,26.3111,40.6177
infra,infra_7_trace,65.31903553009033,Pass,311.9308879375458,40000016,21685872,1.8445,6716982,48374,0.3097,0.0022,0.7202%,1.2093,7932952,163.9921,198.3237,20000016,11159734,1.7922,3345402,14709,0.2998,0.0013,0.4397%,0.7354,3336637,226.8432,166.8317
infra,infra_1_trace,175.13615703582764,Pass,313.2063241004944,37799521,8161678,4.6313,4337669,11048,0.5315,0.0014,0.2547%,0.2923,550115,49.7932,14.5535,19799521,3716684,5.3272,2263258,2516,0.6089,0.0007,0.1112%,0.1271,108449,43.1037,5.4774
infra,infra_0_trace,94.09143447875977,Pass,322.13034105300903,40000016,8727445,4.5832,5140781,39487,0.5890,0.0045,0.7681%,0.9872,1318207,33.3833,32.9552,20000016,4333041,4.6157,2582400,19604,0.5960,0.0045,0.7591%,0.9802,695827,35.4941,34.7913
infra,infra_11_trace,209.36411476135254,Pass,374.2313222885132,50000052,18227296,2.7431,7754708,50111,0.4254,0.0027,0.6462%,1.0022,3760271,75.0388,75.2053,25000052,9163931,2.7281,3881908,23681,0.4236,0.0026,0.6100%,0.9472,2131551,90.0110,85.2619
infra,infra_6_trace,168.09687328338623,Pass,513.3332071304321,64718349,15330663,4.2215,9187928,78555,0.5993,0.0051,0.8550%,1.2138,3091361,39.3528,47.7664,32718349,7708364,4.2445,5004718,38075,0.6493,0.0049,0.7608%,1.1637,1766394,46.3925,53.9879
compress,compress_0_trace,334.9084711074829,Pass,816.4069440364838,120000052,25190628,4.7637,11747875,371617,0.4664,0.0148,3.1633%,3.0968,13581663,36.5475,113.1805,60000052,11740306,5.1106,5895554,183468,0.5022,0.0156,3.1120%,3.0578,6217511,33.8888,103.6251
compress,compress_3_trace,334.29114055633545,Pass,865.6567387580872,130000020,58111256,2.2371,15702832,995109,0.2702,0.0171,6.3371%,7.6547,46104586,46.3312,354.6506,65000020,25635027,2.5356,7896218,467672,0.3080,0.0182,5.9227%,7.1950,19294379,41.2562,296.8365
infra,infra_10_trace,117.67702960968018,Pass,357.9967029094696,50000052,18337405,2.7267,6548159,260857,0.3571,0.0142,3.9837%,5.2171,13063989,50.0810,261.2795,25000052,6283683,3.9786,3150015,114835,0.5013,0.0183,3.6455%,4.5934,4029295,35.0877,161.1715
infra,infra_15_trace,101.22027969360352,Pass,353.003054857254,50000052,34281262,1.4585,6957507,416334,0.2030,0.0121,5.9840%,8.3267,29751293,71.4602,595.0252,25000052,6304332,3.9655,3466846,140789,0.5499,0.0223,4.0610%,5.6315,4023414,28.5776,160.9362
infra,infra_14_trace,118.4549331665039,Pass,360.5713951587677,50000052,17848134,2.8014,6536492,263422,0.3662,0.0148,4.0300%,5.2684,12749782,48.4006,254.9954,25000052,6250175,3.9999,3156210,113994,0.5050,0.0182,3.6117%,4.5598,4001303,35.1010,160.0518
infra,infra_4_trace,84.87091732025146,Pass,314.12414956092834,40000016,22743797,1.7587,5988066,73244,0.2633,0.0032,1.2232%,1.8311,10297901,140.5972,257.4474,20000016,11315775,1.7674,2971304,34888,0.2626,0.0031,1.1742%,1.7444,5053670,144.8541,252.6833
compress,compress_7_trace,399.4104585647583,Pass,952.4745893478394,130000052,23643568,5.4983,15042451,234866,0.6362,0.0099,1.5614%,1.8067,6330516,26.9537,48.6963,65000052,12037691,5.3997,7447474,143207,0.6187,0.0119,1.9229%,2.2032,3615633,25.2476,55.6251
web,web_21_trace,37.0328950881958,Pass,108.71567678451538,15000054,5899162,2.5427,2614946,21858,0.4433,0.0037,0.8359%,1.4572,2009325,91.9263,133.9545,8000054,4717701,1.6958,1411368,17458,0.2992,0.0037,1.2370%,2.1822,1829945,104.8199,228.7416
infra,infra_5_trace,58.871103286743164,Pass,307.5287911891937,40000016,34447204,1.1612,7268207,83630,0.2110,0.0024,1.1506%,2.0907,26273246,314.1605,656.8309,20000016,22093619,0.9052,3539219,58332,0.1602,0.0026,1.6482%,2.9166,18252181,312.9017,912.6083
web,web_15_trace,61.94837951660156,Pass,109.60653901100159,14999858,7900297,1.8986,2411251,76791,0.3052,0.0097,3.1847%,5.1194,2311235,30.0977,154.0838,7999858,3226886,2.4791,1229867,33777,0.3811,0.0105,2.7464%,4.2222,903897,26.7607,112.9891
infra,infra_9_trace,141.69822597503662,Pass,365.8056788444519,50000052,29189694,1.7129,7203244,227564,0.2468,0.0078,3.1592%,4.5513,19602253,86.1395,392.0447,25000052,17292051,1.4458,3405201,171902,0.1969,0.0099,5.0482%,6.8761,14692132,85.4681,587.6841
infra,infra_8_trace,54.09443473815918,Pass,318.36038303375244,40000016,24589950,1.6267,7460282,49937,0.3034,0.0020,0.6694%,1.2484,15907605,318.5535,397.6900,20000016,12254461,1.6321,3730712,24724,0.3044,0.0020,0.6627%,1.2362,7901698,319.5963,395.0846
web,web_20_trace,91.22524166107178,Pass,144.8995361328125,20000004,10234892,1.9541,3186911,64715,0.3114,0.0063,2.0306%,3.2357,1994862,30.8253,99.7431,10000004,3742007,2.6724,1586755,18369,0.4240,0.0049,1.1576%,1.8369,574485,31.2747,57.4485
infra,infra_3_trace,83.57435989379883,Pass,312.7232687473297,40000016,7960804,5.0246,5433078,32198,0.6825,0.0040,0.5926%,0.8049,957391,29.7345,23.9348,20000016,3940858,5.0750,2737308,13743,0.6946,0.0035,0.5021%,0.6871,440087,32.0226,22.0043
infra,infra_12_trace,207.57365608215332,Pass,363.3783288002014,50000052,17437142,2.8674,7862103,49661,0.4509,0.0028,0.6317%,0.9932,3305250,66.5563,66.1049,25000052,8295807,3.0136,3927069,23116,0.4734,0.0028,0.5886%,0.9246,1606996,69.5188,64.2797
infra,infra_13_trace,139.63556957244873,Pass,361.51214814186096,50000052,20335754,2.4587,6532412,202931,0.3212,0.0100,3.1065%,4.0586,13530716,66.6764,270.6140,25000052,9595817,2.6053,3378036,82506,0.3520,0.0086,2.4424%,3.3002,5085623,61.6394,203.4245
web,web_18_trace,40.12125015258789,Pass,101.60013103485107,15000059,3882915,3.8631,1853795,39905,0.4774,0.0103,2.1526%,2.6603,1988860,49.8399,132.5901,8000059,1952556,4.0972,994147,19903,0.5092,0.0102,2.0020%,2.4879,998126,50.1495,124.7648
web,web_19_trace,46.80075454711914,Pass,105.4607081413269,15000016,9425841,1.5914,2562002,76286,0.2718,0.0081,2.9776%,5.0857,2350950,30.8176,156.7298,8000016,4285137,1.8669,1380363,49790,0.3221,0.0116,3.6070%,6.2237,1191659,23.9337,148.9571
web,web_12_trace,61.48514461517334,Pass,109.60373139381409,15000009,9156506,1.6382,2254326,57834,0.2462,0.0063,2.5655%,3.8556,1953751,33.7820,130.2500,8000009,4250679,1.8821,1175254,36525,0.2765,0.0086,3.1078%,4.5656,1112002,30.4450,139.0001
