Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_3_trace,334.29114055633545,Pass,970.2878701686859,130000020,58111256,2.2371,15702832,995109,0.2702,0.0171,6.3371%,7.6547,46104586,46.3312,354.6506,65000020,25635027,2.5356,7896218,467672,0.3080,0.0182,5.9227%,7.1950,19294379,41.2562,296.8365
compress,compress_2_trace,111.43396472930908,Pass,264.47614002227783,32339109,6590871,4.9067,3601347,43797,0.5464,0.0066,1.2161%,1.3543,1197789,27.3487,37.0384,16339109,2987806,5.4686,1821008,23764,0.6095,0.0080,1.3050%,1.4544,572213,24.0790,35.0211
compress,compress_4_trace,108.21294689178467,Pass,253.6797239780426,31160801,6507242,4.7886,3496423,50783,0.5373,0.0078,1.4524%,1.6297,1387309,27.3184,44.5210,16160801,2978148,5.4265,1816226,24346,0.6099,0.0082,1.3405%,1.5065,619912,25.4626,38.3590
compress,compress_5_trace,111.82196044921875,Pass,302.65880513191223,33811883,6914769,4.8898,3890650,58624,0.5627,0.0085,1.5068%,1.7338,1600783,27.3059,47.3438,17811883,3200263,5.5658,2056891,27497,0.6427,0.0086,1.3368%,1.5437,723477,26.3111,40.6177
compress,compress_0_trace,334.9084711074829,Pass,865.9128782749176,120000052,25190628,4.7637,11747875,371617,0.4664,0.0148,3.1633%,3.0968,13581663,36.5475,113.1805,60000052,11740306,5.1106,5895554,183468,0.5022,0.0156,3.1120%,3.0578,6217511,33.8888,103.6251
compress,compress_1_trace,108.6102991104126,Pass,249.25180292129517,30778699,6490431,4.7422,3314657,46554,0.5107,0.0072,1.4045%,1.5125,1245334,26.7503,40.4609,15778699,2967054,5.3180,1700956,25091,0.5733,0.0085,1.4751%,1.5902,585915,23.3516,37.1333
compress,compress_7_trace,399.4104585647583,Pass,1068.270380973816,130000052,23643568,5.4983,15042451,234866,0.6362,0.0099,1.5614%,1.8067,6330516,26.9537,48.6963,65000052,12037691,5.3997,7447474,143207,0.6187,0.0119,1.9229%,2.2032,3615633,25.2476,55.6251
compress,compress_6_trace,111.95520496368408,Pass,278.2870919704437,33826271,6921858,4.8869,3887104,57186,0.5616,0.0083,1.4712%,1.6906,1567384,27.4085,46.3363,17826271,3199954,5.5708,2060235,26675,0.6438,0.0083,1.2948%,1.4964,706002,26.4668,39.6046
infra,infra_7_trace,65.31903553009033,Pass,350.06339144706726,40000016,21719239,1.8417,6716982,47656,0.3093,0.0022,0.7095%,1.1914,8082036,169.5912,202.0508,20000016,11154724,1.7930,3345402,13110,0.2999,0.0012,0.3919%,0.6555,3383715,258.1018,169.1856
infra,infra_6_trace,168.09687328338623,Pass,581.329344034195,64718349,15287094,4.2335,9187928,74973,0.6010,0.0049,0.8160%,1.1585,3027462,40.3807,46.7790,32718349,7688474,4.2555,5004718,36371,0.6509,0.0047,0.7267%,1.1116,1733807,47.6700,52.9919
