Run,workload_category,baseline_MPKI,MPP_MPKI,Bullseye_MPKI,BALL_MPKI,PIP_MPKI,MPP_improvement,Bullseye_improvement,BALL_improvement,PIP_improvement,MPP_improved,Bullseye_improved,BALL_improved,PIP_improved,category
int_21_trace,int,24.1502,23.2648,23.759,15.7181,23.2204,0.8854000000000006,0.3912000000000013,8.432100000000002,0.9298000000000002,True,True,True,True,All Four
fp_1_trace,fp,15.5816,15.524,15.5798,15.5816,15.625,0.05760000000000076,0.0017999999999993577,0.0,-0.043400000000000105,False,False,False,False,None
int_30_trace,int,12.9427,12.2311,12.2596,12.7675,12.4295,0.7116000000000007,0.6830999999999996,0.17520000000000024,0.5131999999999994,True,True,True,True,All Four
fp_13_trace,fp,12.6898,12.1305,12.4478,8.9772,12.6051,0.5593000000000004,0.2419999999999991,3.7126,0.08469999999999978,True,True,True,False,MPP + Bullseye + BALL
int_29_trace,int,12.4572,11.7517,11.8209,12.3072,11.9748,0.7055000000000007,0.6363000000000003,0.15000000000000036,0.48240000000000016,True,True,True,True,All Four
int_1_trace,int,11.6458,9.0328,10.3681,9.2211,11.6182,2.6129999999999995,1.2776999999999994,2.4246999999999996,0.027599999999999625,True,True,True,False,MPP + Bullseye + BALL
int_2_trace,int,10.9652,8.6194,9.8611,8.727,10.8678,2.3457999999999988,1.104099999999999,2.238199999999999,0.0973999999999986,True,True,True,False,MPP + Bullseye + BALL
infra_15_trace,infra,8.4547,8.2957,8.3568,8.4791,8.4228,0.1590000000000007,0.09790000000000099,-0.024399999999999977,0.03190000000000026,True,False,False,False,MPP Only
compress_3_trace,compress,8.2499,7.6342,8.1241,8.231,7.9811,0.6157000000000004,0.1257999999999999,0.01890000000000036,0.2688000000000006,True,True,False,True,MPP + Bullseye + PIP
int_16_trace,int,8.1253,6.814,5.6722,8.1005,6.0105,1.3112999999999992,2.453099999999999,0.024799999999999045,2.114799999999999,True,True,False,True,MPP + Bullseye + PIP
int_33_trace,int,7.9877,7.1681,7.7135,7.9657,7.4723,0.8196000000000003,0.27420000000000044,0.02200000000000024,0.5154000000000005,True,True,False,True,MPP + Bullseye + PIP
fp_8_trace,fp,7.8738,7.5897,7.4114,5.2985,7.6591,0.28410000000000046,0.4623999999999997,2.5753000000000004,0.21470000000000056,True,True,True,True,All Four
web_7_trace,web,7.7526,7.5938,6.2471,7.7208,6.9881,0.15880000000000027,1.5055000000000005,0.031800000000000495,0.7645,True,True,False,True,MPP + Bullseye + PIP
int_8_trace,int,7.1931,6.1344,5.8786,7.163,5.9655,1.0587,1.3145000000000007,0.030100000000000016,1.2276000000000007,True,True,False,True,MPP + Bullseye + PIP
int_32_trace,int,6.9551,5.9951,6.7235,6.9621,6.5669,0.96,0.23160000000000025,-0.007000000000000561,0.38819999999999943,True,True,False,True,MPP + Bullseye + PIP
int_17_trace,int,6.3949,5.4692,4.7592,6.3587,5.0345,0.9257,1.6357,0.03620000000000001,1.3603999999999994,True,True,False,True,MPP + Bullseye + PIP
web_25_trace,web,6.3793,5.8373,5.8386,6.3681,5.8643,0.5419999999999998,0.5407000000000002,0.011199999999999655,0.5149999999999997,True,True,False,True,MPP + Bullseye + PIP
web_15_trace,web,6.1054,5.1798,5.1,6.0736,5.2809,0.9256000000000002,1.0054000000000007,0.031800000000000495,0.8245000000000005,True,True,False,True,MPP + Bullseye + PIP
web_19_trace,web,6.0075,5.1898,5.0903,6.0246,5.1795,0.8177000000000003,0.9172000000000002,-0.017100000000000115,0.8280000000000003,True,True,False,True,MPP + Bullseye + PIP
web_11_trace,web,5.7895,4.6299,4.6089,5.7855,4.7711,1.1596000000000002,1.1806,0.004000000000000448,1.0184000000000006,True,True,False,True,MPP + Bullseye + PIP
int_7_trace,int,5.7589,4.682,4.4556,5.7956,4.6386,1.0768999999999993,1.3033000000000001,-0.03670000000000062,1.1202999999999994,True,True,False,True,MPP + Bullseye + PIP
infra_14_trace,infra,5.4033,5.2247,5.2881,5.4178,5.3572,0.17859999999999943,0.11519999999999975,-0.014499999999999957,0.04610000000000003,True,True,False,False,MPP + Bullseye
int_22_trace,int,5.3965,3.5724,3.9788,5.3966,5.247,1.8240999999999996,1.4176999999999995,-0.00010000000000065512,0.14949999999999974,True,True,False,True,MPP + Bullseye + PIP
