Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_3_trace,334.29114055633545,Pass,1134.4750089645386,130000020,59313717,2.1917,15702832,1037544,0.2647,0.0175,6.6074%,7.9811,47340930,45.6279,364.1609,65000020,26162057,2.4845,7896218,486462,0.3018,0.0186,6.1607%,7.4840,19838386,40.7810,305.2058
compress,compress_2_trace,111.43396472930908,Pass,322.16267371177673,32339109,6619401,4.8855,3601347,46173,0.5441,0.0070,1.2821%,1.4278,1224596,26.5219,37.8673,16339109,3011182,5.4261,1821008,25818,0.6047,0.0086,1.4178%,1.5801,594341,23.0204,36.3754
compress,compress_4_trace,108.21294689178467,Pass,309.2253530025482,31160801,6562458,4.7483,3496423,55244,0.5328,0.0084,1.5800%,1.7729,1442287,26.1076,46.2853,16160801,3005019,5.3779,1816226,26575,0.6044,0.0088,1.4632%,1.6444,643793,24.2255,39.8367
compress,compress_5_trace,111.82196044921875,Pass,337.4023177623749,33811883,6967985,4.8525,3890650,62992,0.5584,0.0090,1.6191%,1.8630,1656344,26.2945,48.9870,17811883,3221994,5.5282,2056891,29288,0.6384,0.0091,1.4239%,1.6443,745467,25.4530,41.8522
compress,compress_0_trace,334.9084711074829,Pass,1035.7367000579834,120000052,24756609,4.8472,11747875,328194,0.4745,0.0133,2.7936%,2.7349,13081746,39.8598,109.0145,60000052,11565730,5.1877,5895554,165084,0.5097,0.0143,2.8001%,2.7514,6020780,36.4710,100.3462
compress,compress_1_trace,108.6102991104126,Pass,310.2403178215027,30778699,6533789,4.7107,3314657,50136,0.5073,0.0077,1.5126%,1.6289,1286469,25.6596,41.7974,15778699,3001131,5.2576,1700956,28069,0.5668,0.0094,1.6502%,1.7789,618581,22.0379,39.2035
compress,compress_7_trace,399.4104585647583,Pass,1255.9512503147125,130000052,23972868,5.4228,15042451,262735,0.6275,0.0110,1.7466%,2.0210,6676788,25.4126,51.3599,65000052,12268525,5.2981,7447474,163376,0.6070,0.0133,2.1937%,2.5135,3853929,23.5893,59.2912
compress,compress_6_trace,111.95520496368408,Pass,330.79601097106934,33826271,6986930,4.8414,3887104,62575,0.5563,0.0090,1.6098%,1.8499,1634426,26.1195,48.3182,17826271,3233069,5.5137,2060235,29477,0.6372,0.0091,1.4308%,1.6536,739681,25.0935,41.4939
infra,infra_7_trace,65.31903553009033,Pass,432.4086756706238,40000016,21725126,1.8412,6716982,53167,0.3092,0.0024,0.7915%,1.3292,8007784,150.6157,200.1945,20000016,11191133,1.7871,3345402,15128,0.2989,0.0014,0.4522%,0.7564,3431587,226.8368,171.5792
infra,infra_6_trace,168.09687328338623,Pass,666.2820699214935,64718349,15336069,4.2200,9187928,78667,0.5991,0.0051,0.8562%,1.2155,3087649,39.2496,47.7090,32718349,7711561,4.2428,5004718,38277,0.6490,0.0050,0.7648%,1.1699,1766391,46.1476,53.9878
