Workload,Run,TraceSize,Status,ExecTime,Instr,Cycles,IPC,NumBr,MispBr,BrPerCyc,MispBrPerCyc,MR,MPKI,CycWP,CycWPAvg,CycWPPKI,50PercInstr,50PercCycles,50PercIPC,50PercNumBr,50PercMispBr,50PercBrPerCyc,50PercMispBrPerCyc,50PercMR,50PercMPKI,50PercCycWP,50PercCycWPAvg,50PercCycWPPKI
compress,compress_3_trace,334.29114055633545,Pass,977.5705769062042,130000020,59292169,2.1925,15702832,1054517,0.2648,0.0178,6.7155%,8.1117,47336930,44.8897,364.1302,65000020,26122223,2.4883,7896218,493281,0.3023,0.0189,6.2471%,7.5889,19803113,40.1457,304.6632
compress,compress_2_trace,111.43396472930908,Pass,284.9441077709198,32339109,6627919,4.8792,3601347,47136,0.5434,0.0071,1.3088%,1.4576,1234812,26.1968,38.1832,16339109,3017739,5.4144,1821008,26471,0.6034,0.0088,1.4536%,1.6201,602386,22.7565,36.8677
compress,compress_4_trace,108.21294689178467,Pass,269.5663959980011,31160801,6567336,4.7448,3496423,56109,0.5324,0.0085,1.6048%,1.8006,1451436,25.8681,46.5789,16160801,3006154,5.3759,1816226,26937,0.6042,0.0090,1.4831%,1.6668,649333,24.1056,40.1795
compress,compress_5_trace,111.82196044921875,Pass,293.492858171463,33811883,6979135,4.8447,3890650,64412,0.5575,0.0092,1.6556%,1.9050,1670453,25.9339,49.4043,17811883,3230727,5.5133,2056891,30260,0.6367,0.0094,1.4712%,1.6989,757298,25.0264,42.5164
compress,compress_0_trace,334.9084711074829,Pass,910.7090330123901,120000052,25391577,4.7260,11747875,385552,0.4627,0.0152,3.2819%,3.2129,13802668,35.7998,115.0222,60000052,11871522,5.0541,5895554,192209,0.4966,0.0162,3.2602%,3.2035,6357932,33.0782,105.9654
compress,compress_1_trace,108.6102991104126,Pass,273.1417860984802,30778699,6540558,4.7058,3314657,51032,0.5068,0.0078,1.5396%,1.6580,1292763,25.3324,42.0019,15778699,3006171,5.2488,1700956,28642,0.5658,0.0095,1.6839%,1.8152,624184,21.7926,39.5586
compress,compress_7_trace,399.4104585647583,Pass,1088.625146150589,130000052,23988638,5.4192,15042451,264990,0.6271,0.0110,1.7616%,2.0384,6693951,25.2611,51.4919,65000052,12272746,5.2963,7447474,164268,0.6068,0.0134,2.2057%,2.5272,3860277,23.4999,59.3888
compress,compress_6_trace,111.95520496368408,Pass,294.9742012023926,33826271,6994593,4.8361,3887104,63553,0.5557,0.0091,1.6350%,1.8788,1641207,25.8242,48.5187,17826271,3236108,5.5086,2060235,29974,0.6366,0.0093,1.4549%,1.6815,742621,24.7755,41.6588
infra,infra_7_trace,65.31903553009033,Pass,351.88839197158813,40000016,21713961,1.8421,6716982,56461,0.3093,0.0026,0.8406%,1.4115,7937950,140.5917,198.4487,20000016,11173239,1.7900,3345402,15618,0.2994,0.0014,0.4668%,0.7809,3368840,215.7024,168.4419
infra,infra_6_trace,168.09687328338623,Pass,585.5686552524567,64718349,15310967,4.2269,9187928,77970,0.6001,0.0051,0.8486%,1.2048,3061290,39.2624,47.3017,32718349,7699880,4.2492,5004718,37859,0.6500,0.0049,0.7565%,1.1571,1751062,46.2522,53.5193
infra,infra_0_trace,94.09143447875977,Pass,332.80782532691956,40000016,8831015,4.5295,5140781,50213,0.5821,0.0057,0.9768%,1.2553,1460521,29.0865,36.5130,20000016,4390926,4.5549,2582400,25766,0.5881,0.0059,0.9978%,1.2883,773988,30.0391,38.6994
infra,infra_1_trace,175.13615703582764,Pass,352.53401803970337,37799521,8181966,4.6199,4337669,13123,0.5301,0.0016,0.3025%,0.3472,578725,44.1001,15.3104,19799521,3725843,5.3141,2263258,3704,0.6074,0.0010,0.1637%,0.1871,122514,33.0761,6.1877
infra,infra_11_trace,209.36411476135254,Pass,431.24017691612244,50000052,18240911,2.7411,7754708,49710,0.4251,0.0027,0.6410%,0.9942,3768828,75.8163,75.3765,25000052,9187222,2.7212,3881908,23898,0.4225,0.0026,0.6156%,0.9559,2162837,90.5028,86.5133
infra,infra_10_trace,117.67702960968018,Pass,399.7740640640259,50000052,18288958,2.7339,6548159,261067,0.3580,0.0143,3.9869%,5.2213,13001827,49.8026,260.0363,25000052,6276856,3.9829,3150015,115384,0.5018,0.0184,3.6630%,4.6154,4022336,34.8604,160.8931
infra,infra_15_trace,101.22027969360352,Pass,400.20283699035645,50000052,34230927,1.4607,6957507,415738,0.2033,0.0121,5.9754%,8.3148,29704600,71.4503,594.0914,25000052,6296595,3.9704,3466846,140846,0.5506,0.0224,4.0627%,5.6338,4015658,28.5110,160.6260
infra,infra_14_trace,118.4549331665039,Pass,413.90542483329773,50000052,17819217,2.8060,6536492,263777,0.3668,0.0148,4.0355%,5.2755,12703065,48.1583,254.0610,25000052,6246809,4.0021,3156210,114554,0.5053,0.0183,3.6295%,4.5822,3997033,34.8921,159.8810
infra,infra_4_trace,84.87091732025146,Pass,351.3444652557373,40000016,23862093,1.6763,5988066,97065,0.2509,0.0041,1.6210%,2.4266,12129537,124.9630,303.2383,20000016,11910586,1.6792,2971304,48532,0.2495,0.0041,1.6334%,2.4266,6037329,124.3989,301.8662
infra,infra_5_trace,58.871103286743164,Pass,353.53077483177185,40000016,34451714,1.1610,7268207,87846,0.2110,0.0025,1.2086%,2.1961,26269667,299.0423,656.7414,20000016,22138917,0.9034,3539219,62687,0.1599,0.0028,1.7712%,3.1343,18302005,291.9585,915.0995
infra,infra_9_trace,141.69822597503662,Pass,415.78208112716675,50000052,29056905,1.7208,7203244,226295,0.2479,0.0078,3.1416%,4.5259,19441991,85.9144,388.8394,25000052,17160949,1.4568,3405201,171051,0.1984,0.0100,5.0232%,6.8420,14543400,85.0238,581.7348
infra,infra_8_trace,54.09443473815918,Pass,351.018089056015,40000016,24540503,1.6300,7460282,49908,0.3040,0.0020,0.6690%,1.2477,15851399,317.6124,396.2848,20000016,12240397,1.6339,3730712,24781,0.3048,0.0020,0.6642%,1.2390,7887564,318.2908,394.3779
infra,infra_12_trace,207.57365608215332,Pass,414.37498903274536,50000052,17429619,2.8687,7862103,48693,0.4511,0.0028,0.6193%,0.9739,3305598,67.8865,66.1119,25000052,8310013,3.0084,3927069,22865,0.4726,0.0028,0.5822%,0.9146,1638645,71.6661,65.5457
infra,infra_13_trace,139.63556957244873,Pass,417.8362948894501,50000052,20321950,2.4604,6532412,203151,0.3214,0.0100,3.1099%,4.0630,13520753,66.5552,270.4148,25000052,9598692,2.6045,3378036,82378,0.3519,0.0086,2.4386%,3.2951,5092578,61.8196,203.7027
